Source;Target;Label;Type
1;2;"Edge 1 to 2";"Mixed"
1;3;"Edge 1 to 3";"Mixed"
1;4;"Edge 1 to 4";"Mixed"
1;6;"Edge 1 to 6";"Mixed"
1;8;"Edge 1 to 8";"Mixed"
1;14;"Edge 1 to 14";"Mixed"
1;15;"Edge 1 to 15";"Mixed"
1;17;"Edge 1 to 17";"Mixed"
1;33;"Edge 1 to 33";"Mixed"
1;38;"Edge 1 to 38";"Mixed"
1;58;"Edge 1 to 58";"Mixed"
1;78;"Edge 1 to 78";"Mixed"
1;96;"Edge 1 to 96";"Mixed"
1;158;"Edge 1 to 158";"Mixed"
1;194;"Edge 1 to 194";"Mixed"
1;338;"Edge 1 to 338";"Mixed"
1;386;"Edge 1 to 386";"Mixed"
1;453;"Edge 1 to 453";"Mixed"
1;460;"Edge 1 to 460";"Mixed"
1;687;"Edge 1 to 687";"Mixed"
1;735;"Edge 1 to 735";"Mixed"
1;889;"Edge 1 to 889";"Mixed"
1;1194;"Edge 1 to 1194";"Mixed"
1;1284;"Edge 1 to 1284";"Mixed"
1;4007;"Edge 1 to 4007";"Mixed"
1;5604;"Edge 1 to 5604";"Mixed"
2;1;"Edge 2 to 1";"Mixed"
2;3;"Edge 2 to 3";"Mixed"
2;8;"Edge 2 to 8";"Mixed"
2;11;"Edge 2 to 11";"Mixed"
2;14;"Edge 2 to 14";"Mixed"
2;35;"Edge 2 to 35";"Mixed"
2;40;"Edge 2 to 40";"Mixed"
2;52;"Edge 2 to 52";"Mixed"
2;72;"Edge 2 to 72";"Mixed"
2;180;"Edge 2 to 180";"Mixed"
2;272;"Edge 2 to 272";"Mixed"
2;370;"Edge 2 to 370";"Mixed"
2;660;"Edge 2 to 660";"Mixed"
2;847;"Edge 2 to 847";"Mixed"
2;946;"Edge 2 to 946";"Mixed"
2;999;"Edge 2 to 999";"Mixed"
2;1029;"Edge 2 to 1029";"Mixed"
2;1173;"Edge 2 to 1173";"Mixed"
2;1285;"Edge 2 to 1285";"Mixed"
2;1833;"Edge 2 to 1833";"Mixed"
2;3397;"Edge 2 to 3397";"Mixed"
2;3833;"Edge 2 to 3833";"Mixed"
2;5611;"Edge 2 to 5611";"Mixed"
3;1;"Edge 3 to 1";"Mixed"
3;2;"Edge 3 to 2";"Mixed"
3;4;"Edge 3 to 4";"Mixed"
3;5;"Edge 3 to 5";"Mixed"
3;7;"Edge 3 to 7";"Mixed"
3;12;"Edge 3 to 12";"Mixed"
3;22;"Edge 3 to 22";"Mixed"
3;27;"Edge 3 to 27";"Mixed"
3;33;"Edge 3 to 33";"Mixed"
3;641;"Edge 3 to 641";"Mixed"
3;835;"Edge 3 to 835";"Mixed"
3;3226;"Edge 3 to 3226";"Mixed"
3;3555;"Edge 3 to 3555";"Mixed"
3;4893;"Edge 3 to 4893";"Mixed"
3;6643;"Edge 3 to 6643";"Mixed"
3;8468;"Edge 3 to 8468";"Mixed"
3;9642;"Edge 3 to 9642";"Mixed"
4;1;"Edge 4 to 1";"Mixed"
4;3;"Edge 4 to 3";"Mixed"
4;5;"Edge 4 to 5";"Mixed"
4;7;"Edge 4 to 7";"Mixed"
4;9;"Edge 4 to 9";"Mixed"
4;15;"Edge 4 to 15";"Mixed"
4;18;"Edge 4 to 18";"Mixed"
4;35;"Edge 4 to 35";"Mixed"
4;97;"Edge 4 to 97";"Mixed"
4;159;"Edge 4 to 159";"Mixed"
4;176;"Edge 4 to 176";"Mixed"
4;459;"Edge 4 to 459";"Mixed"
4;645;"Edge 4 to 645";"Mixed"
4;692;"Edge 4 to 692";"Mixed"
4;963;"Edge 4 to 963";"Mixed"
4;969;"Edge 4 to 969";"Mixed"
4;3897;"Edge 4 to 3897";"Mixed"
4;4809;"Edge 4 to 4809";"Mixed"
4;9431;"Edge 4 to 9431";"Mixed"
5;3;"Edge 5 to 3";"Mixed"
5;4;"Edge 5 to 4";"Mixed"
5;6;"Edge 5 to 6";"Mixed"
5;9;"Edge 5 to 9";"Mixed"
5;13;"Edge 5 to 13";"Mixed"
5;16;"Edge 5 to 16";"Mixed"
5;31;"Edge 5 to 31";"Mixed"
5;76;"Edge 5 to 76";"Mixed"
5;99;"Edge 5 to 99";"Mixed"
5;120;"Edge 5 to 120";"Mixed"
5;238;"Edge 5 to 238";"Mixed"
5;246;"Edge 5 to 246";"Mixed"
5;503;"Edge 5 to 503";"Mixed"
5;912;"Edge 5 to 912";"Mixed"
5;1150;"Edge 5 to 1150";"Mixed"
5;1441;"Edge 5 to 1441";"Mixed"
5;1632;"Edge 5 to 1632";"Mixed"
5;4288;"Edge 5 to 4288";"Mixed"
6;1;"Edge 6 to 1";"Mixed"
6;5;"Edge 6 to 5";"Mixed"
6;11;"Edge 6 to 11";"Mixed"
6;49;"Edge 6 to 49";"Mixed"
6;62;"Edge 6 to 62";"Mixed"
6;178;"Edge 6 to 178";"Mixed"
6;335;"Edge 6 to 335";"Mixed"
6;981;"Edge 6 to 981";"Mixed"
6;3161;"Edge 6 to 3161";"Mixed"
6;4992;"Edge 6 to 4992";"Mixed"
6;7079;"Edge 6 to 7079";"Mixed"
7;3;"Edge 7 to 3";"Mixed"
7;4;"Edge 7 to 4";"Mixed"
7;10;"Edge 7 to 10";"Mixed"
7;12;"Edge 7 to 12";"Mixed"
7;23;"Edge 7 to 23";"Mixed"
7;32;"Edge 7 to 32";"Mixed"
7;40;"Edge 7 to 40";"Mixed"
7;50;"Edge 7 to 50";"Mixed"
7;73;"Edge 7 to 73";"Mixed"
7;74;"Edge 7 to 74";"Mixed"
7;75;"Edge 7 to 75";"Mixed"
7;89;"Edge 7 to 89";"Mixed"
7;191;"Edge 7 to 191";"Mixed"
7;195;"Edge 7 to 195";"Mixed"
7;221;"Edge 7 to 221";"Mixed"
7;258;"Edge 7 to 258";"Mixed"
7;1095;"Edge 7 to 1095";"Mixed"
7;1488;"Edge 7 to 1488";"Mixed"
7;2022;"Edge 7 to 2022";"Mixed"
7;3041;"Edge 7 to 3041";"Mixed"
7;5656;"Edge 7 to 5656";"Mixed"
8;1;"Edge 8 to 1";"Mixed"
8;2;"Edge 8 to 2";"Mixed"
8;19;"Edge 8 to 19";"Mixed"
8;93;"Edge 8 to 93";"Mixed"
8;618;"Edge 8 to 618";"Mixed"
8;776;"Edge 8 to 776";"Mixed"
8;2452;"Edge 8 to 2452";"Mixed"
8;3016;"Edge 8 to 3016";"Mixed"
9;4;"Edge 9 to 4";"Mixed"
9;5;"Edge 9 to 5";"Mixed"
9;10;"Edge 9 to 10";"Mixed"
9;39;"Edge 9 to 39";"Mixed"
9;68;"Edge 9 to 68";"Mixed"
9;114;"Edge 9 to 114";"Mixed"
9;149;"Edge 9 to 149";"Mixed"
9;160;"Edge 9 to 160";"Mixed"
9;269;"Edge 9 to 269";"Mixed"
9;340;"Edge 9 to 340";"Mixed"
9;401;"Edge 9 to 401";"Mixed"
9;502;"Edge 9 to 502";"Mixed"
9;763;"Edge 9 to 763";"Mixed"
9;1086;"Edge 9 to 1086";"Mixed"
9;1110;"Edge 9 to 1110";"Mixed"
9;1563;"Edge 9 to 1563";"Mixed"
