Source;Target;Label;Type
1;2;"Edge 1 to 2";"Mixed"
1;3;"Edge 1 to 3";"Mixed"
1;4;"Edge 1 to 4";"Mixed"
1;5;"Edge 1 to 5";"Mixed"
1;6;"Edge 1 to 6";"Mixed"
1;7;"Edge 1 to 7";"Mixed"
1;9;"Edge 1 to 9";"Mixed"
1;10;"Edge 1 to 10";"Mixed"
1;11;"Edge 1 to 11";"Mixed"
1;13;"Edge 1 to 13";"Mixed"
1;18;"Edge 1 to 18";"Mixed"
1;25;"Edge 1 to 25";"Mixed"
1;27;"Edge 1 to 27";"Mixed"
1;33;"Edge 1 to 33";"Mixed"
1;37;"Edge 1 to 37";"Mixed"
1;62;"Edge 1 to 62";"Mixed"
1;65;"Edge 1 to 65";"Mixed"
1;70;"Edge 1 to 70";"Mixed"
2;1;"Edge 2 to 1";"Mixed"
2;3;"Edge 2 to 3";"Mixed"
2;4;"Edge 2 to 4";"Mixed"
2;5;"Edge 2 to 5";"Mixed"
2;6;"Edge 2 to 6";"Mixed"
2;7;"Edge 2 to 7";"Mixed"
2;8;"Edge 2 to 8";"Mixed"
2;9;"Edge 2 to 9";"Mixed"
2;11;"Edge 2 to 11";"Mixed"
2;14;"Edge 2 to 14";"Mixed"
2;15;"Edge 2 to 15";"Mixed"
2;19;"Edge 2 to 19";"Mixed"
2;22;"Edge 2 to 22";"Mixed"
2;28;"Edge 2 to 28";"Mixed"
2;30;"Edge 2 to 30";"Mixed"
2;43;"Edge 2 to 43";"Mixed"
2;44;"Edge 2 to 44";"Mixed"
2;48;"Edge 2 to 48";"Mixed"
2;52;"Edge 2 to 52";"Mixed"
2;64;"Edge 2 to 64";"Mixed"
2;85;"Edge 2 to 85";"Mixed"
2;90;"Edge 2 to 90";"Mixed"
3;1;"Edge 3 to 1";"Mixed"
3;2;"Edge 3 to 2";"Mixed"
3;4;"Edge 3 to 4";"Mixed"
3;5;"Edge 3 to 5";"Mixed"
3;6;"Edge 3 to 6";"Mixed"
3;7;"Edge 3 to 7";"Mixed"
3;8;"Edge 3 to 8";"Mixed"
3;9;"Edge 3 to 9";"Mixed"
3;10;"Edge 3 to 10";"Mixed"
3;12;"Edge 3 to 12";"Mixed"
3;13;"Edge 3 to 13";"Mixed"
3;16;"Edge 3 to 16";"Mixed"
3;27;"Edge 3 to 27";"Mixed"
3;36;"Edge 3 to 36";"Mixed"
3;49;"Edge 3 to 49";"Mixed"
3;88;"Edge 3 to 88";"Mixed"
3;92;"Edge 3 to 92";"Mixed"
3;93;"Edge 3 to 93";"Mixed"
4;1;"Edge 4 to 1";"Mixed"
4;2;"Edge 4 to 2";"Mixed"
4;3;"Edge 4 to 3";"Mixed"
4;5;"Edge 4 to 5";"Mixed"
4;6;"Edge 4 to 6";"Mixed"
4;7;"Edge 4 to 7";"Mixed"
4;8;"Edge 4 to 8";"Mixed"
4;9;"Edge 4 to 9";"Mixed"
4;10;"Edge 4 to 10";"Mixed"
4;11;"Edge 4 to 11";"Mixed"
4;12;"Edge 4 to 12";"Mixed"
4;15;"Edge 4 to 15";"Mixed"
4;16;"Edge 4 to 16";"Mixed"
4;25;"Edge 4 to 25";"Mixed"
4;29;"Edge 4 to 29";"Mixed"
4;32;"Edge 4 to 32";"Mixed"
4;41;"Edge 4 to 41";"Mixed"
4;44;"Edge 4 to 44";"Mixed"
4;55;"Edge 4 to 55";"Mixed"
4;60;"Edge 4 to 60";"Mixed"
4;76;"Edge 4 to 76";"Mixed"
4;79;"Edge 4 to 79";"Mixed"
4;86;"Edge 4 to 86";"Mixed"
4;91;"Edge 4 to 91";"Mixed"
5;1;"Edge 5 to 1";"Mixed"
5;2;"Edge 5 to 2";"Mixed"
5;3;"Edge 5 to 3";"Mixed"
5;4;"Edge 5 to 4";"Mixed"
5;6;"Edge 5 to 6";"Mixed"
5;8;"Edge 5 to 8";"Mixed"
5;13;"Edge 5 to 13";"Mixed"
5;15;"Edge 5 to 15";"Mixed"
5;17;"Edge 5 to 17";"Mixed"
5;18;"Edge 5 to 18";"Mixed"
5;22;"Edge 5 to 22";"Mixed"
5;24;"Edge 5 to 24";"Mixed"
5;27;"Edge 5 to 27";"Mixed"
5;31;"Edge 5 to 31";"Mixed"
5;40;"Edge 5 to 40";"Mixed"
5;73;"Edge 5 to 73";"Mixed"
5;89;"Edge 5 to 89";"Mixed"
5;99;"Edge 5 to 99";"Mixed"
6;1;"Edge 6 to 1";"Mixed"
6;2;"Edge 6 to 2";"Mixed"
6;3;"Edge 6 to 3";"Mixed"
6;4;"Edge 6 to 4";"Mixed"
6;5;"Edge 6 to 5";"Mixed"
6;7;"Edge 6 to 7";"Mixed"
6;8;"Edge 6 to 8";"Mixed"
6;10;"Edge 6 to 10";"Mixed"
6;11;"Edge 6 to 11";"Mixed"
6;14;"Edge 6 to 14";"Mixed"
6;17;"Edge 6 to 17";"Mixed"
6;24;"Edge 6 to 24";"Mixed"
6;37;"Edge 6 to 37";"Mixed"
6;50;"Edge 6 to 50";"Mixed"
6;51;"Edge 6 to 51";"Mixed"
7;1;"Edge 7 to 1";"Mixed"
7;2;"Edge 7 to 2";"Mixed"
7;3;"Edge 7 to 3";"Mixed"
7;4;"Edge 7 to 4";"Mixed"
7;6;"Edge 7 to 6";"Mixed"
7;12;"Edge 7 to 12";"Mixed"
7;14;"Edge 7 to 14";"Mixed"
7;17;"Edge 7 to 17";"Mixed"
7;18;"Edge 7 to 18";"Mixed"
7;38;"Edge 7 to 38";"Mixed"
7;47;"Edge 7 to 47";"Mixed"
7;48;"Edge 7 to 48";"Mixed"
7;51;"Edge 7 to 51";"Mixed"
7;64;"Edge 7 to 64";"Mixed"
7;74;"Edge 7 to 74";"Mixed"
8;2;"Edge 8 to 2";"Mixed"
8;3;"Edge 8 to 3";"Mixed"
8;4;"Edge 8 to 4";"Mixed"
8;5;"Edge 8 to 5";"Mixed"
8;6;"Edge 8 to 6";"Mixed"
8;9;"Edge 8 to 9";"Mixed"
8;13;"Edge 8 to 13";"Mixed"
8;16;"Edge 8 to 16";"Mixed"
8;26;"Edge 8 to 26";"Mixed"
8;47;"Edge 8 to 47";"Mixed"
8;49;"Edge 8 to 49";"Mixed"
8;54;"Edge 8 to 54";"Mixed"
8;65;"Edge 8 to 65";"Mixed"
8;66;"Edge 8 to 66";"Mixed"
8;72;"Edge 8 to 72";"Mixed"
8;82;"Edge 8 to 82";"Mixed"
8;86;"Edge 8 to 86";"Mixed"
8;90;"Edge 8 to 90";"Mixed"
9;1;"Edge 9 to 1";"Mixed"
9;2;"Edge 9 to 2";"Mixed"
9;3;"Edge 9 to 3";"Mixed"
9;4;"Edge 9 to 4";"Mixed"
9;8;"Edge 9 to 8";"Mixed"
9;10;"Edge 9 to 10";"Mixed"
9;17;"Edge 9 to 17";"Mixed"
9;20;"Edge 9 to 20";"Mixed"
9;21;"Edge 9 to 21";"Mixed"
9;22;"Edge 9 to 22";"Mixed"
9;26;"Edge 9 to 26";"Mixed"
9;31;"Edge 9 to 31";"Mixed"
9;32;"Edge 9 to 32";"Mixed"
9;34;"Edge 9 to 34";"Mixed"
9;39;"Edge 9 to 39";"Mixed"
