Source,Target,Weight,Type,Start,End,Label
1,2,1,"undirected",1,208,"node 1 to 2"
1,3,1,"undirected",1,208,"node 1 to 3"
1,4,1,"undirected",1,208,"node 1 to 4"
1,5,1,"undirected",1,208,"node 1 to 5"
1,6,1,"undirected",1,208,"node 1 to 6"
1,10,1,"undirected",1,208,"node 1 to 10"
1,11,1,"undirected",1,208,"node 1 to 11"
1,13,1,"undirected",1,208,"node 1 to 13"
1,21,1,"undirected",1,208,"node 1 to 21"
1,32,1,"undirected",1,208,"node 1 to 32"
1,34,1,"undirected",1,208,"node 1 to 34"
1,35,1,"undirected",1,208,"node 1 to 35"
1,40,1,"undirected",1,208,"node 1 to 40"
1,43,1,"undirected",1,208,"node 1 to 43"
1,44,1,"undirected",1,208,"node 1 to 44"
1,46,1,"undirected",1,208,"node 1 to 46"
1,49,1,"undirected",1,208,"node 1 to 49"
1,58,1,"undirected",1,208,"node 1 to 58"
1,60,1,"undirected",1,208,"node 1 to 60"
1,65,1,"undirected",1,208,"node 1 to 65"
1,68,1,"undirected",1,208,"node 1 to 68"
1,72,1,"undirected",1,208,"node 1 to 72"
1,74,1,"undirected",1,208,"node 1 to 74"
1,81,1,"undirected",1,208,"node 1 to 81"
1,93,1,"undirected",1,208,"node 1 to 93"
1,95,1,"undirected",1,208,"node 1 to 95"
1,100,1,"undirected",1,208,"node 1 to 100"
1,112,1,"undirected",1,208,"node 1 to 112"
1,113,1,"undirected",1,208,"node 1 to 113"
1,115,1,"undirected",1,208,"node 1 to 115"
1,119,1,"undirected",1,208,"node 1 to 119"
1,132,1,"undirected",1,208,"node 1 to 132"
1,150,1,"undirected",1,208,"node 1 to 150"
1,154,1,"undirected",1,208,"node 1 to 154"
1,173,1,"undirected",1,208,"node 1 to 173"
1,177,1,"undirected",1,208,"node 1 to 177"
1,183,1,"undirected",1,208,"node 1 to 183"
1,185,1,"undirected",1,208,"node 1 to 185"
1,193,1,"undirected",1,208,"node 1 to 193"
1,203,1,"undirected",1,208,"node 1 to 203"
1,205,1,"undirected",1,208,"node 1 to 205"
1,220,1,"undirected",1,208,"node 1 to 220"
1,232,1,"undirected",1,208,"node 1 to 232"
1,242,1,"undirected",1,208,"node 1 to 242"
1,253,1,"undirected",1,208,"node 1 to 253"
1,260,1,"undirected",1,208,"node 1 to 260"
1,296,1,"undirected",1,208,"node 1 to 296"
1,298,1,"undirected",1,208,"node 1 to 298"
1,330,1,"undirected",1,208,"node 1 to 330"
1,353,1,"undirected",1,208,"node 1 to 353"
1,357,1,"undirected",1,208,"node 1 to 357"
1,401,1,"undirected",1,208,"node 1 to 401"
1,409,1,"undirected",1,208,"node 1 to 409"
1,465,1,"undirected",1,208,"node 1 to 465"
1,467,1,"undirected",1,208,"node 1 to 467"
1,468,1,"undirected",1,208,"node 1 to 468"
1,482,1,"undirected",1,208,"node 1 to 482"
1,585,1,"undirected",1,208,"node 1 to 585"
1,600,1,"undirected",1,208,"node 1 to 600"
2,1,1,"undirected",1,208,"node 2 to 1"
2,3,1,"undirected",1,208,"node 2 to 3"
2,4,1,"undirected",1,208,"node 2 to 4"
2,5,1,"undirected",1,208,"node 2 to 5"
2,6,1,"undirected",1,208,"node 2 to 6"
2,7,1,"undirected",1,208,"node 2 to 7"
2,8,1,"undirected",1,208,"node 2 to 8"
2,9,1,"undirected",1,208,"node 2 to 9"
2,10,1,"undirected",1,208,"node 2 to 10"
2,11,1,"undirected",1,208,"node 2 to 11"
2,12,1,"undirected",1,208,"node 2 to 12"
2,13,1,"undirected",1,208,"node 2 to 13"
2,14,1,"undirected",1,208,"node 2 to 14"
2,15,1,"undirected",1,208,"node 2 to 15"
2,16,1,"undirected",1,208,"node 2 to 16"
2,17,1,"undirected",1,208,"node 2 to 17"
2,18,1,"undirected",1,208,"node 2 to 18"
2,19,1,"undirected",1,208,"node 2 to 19"
2,21,1,"undirected",1,208,"node 2 to 21"
2,22,1,"undirected",1,208,"node 2 to 22"
2,23,1,"undirected",1,208,"node 2 to 23"
2,24,1,"undirected",1,208,"node 2 to 24"
2,25,1,"undirected",1,208,"node 2 to 25"
2,26,1,"undirected",1,208,"node 2 to 26"
2,27,1,"undirected",1,208,"node 2 to 27"
2,28,1,"undirected",1,208,"node 2 to 28"
2,29,1,"undirected",1,208,"node 2 to 29"
2,30,1,"undirected",1,208,"node 2 to 30"
2,31,1,"undirected",1,208,"node 2 to 31"
2,32,1,"undirected",1,208,"node 2 to 32"
2,33,1,"undirected",1,208,"node 2 to 33"
2,34,1,"undirected",1,208,"node 2 to 34"
2,35,1,"undirected",1,208,"node 2 to 35"
2,36,1,"undirected",1,208,"node 2 to 36"
2,37,1,"undirected",1,208,"node 2 to 37"
2,38,1,"undirected",1,208,"node 2 to 38"
2,39,1,"undirected",1,208,"node 2 to 39"
2,40,1,"undirected",1,208,"node 2 to 40"
2,41,1,"undirected",1,208,"node 2 to 41"
2,42,1,"undirected",1,208,"node 2 to 42"
2,43,1,"undirected",1,208,"node 2 to 43"
2,44,1,"undirected",1,208,"node 2 to 44"
2,45,1,"undirected",1,208,"node 2 to 45"
2,46,1,"undirected",1,208,"node 2 to 46"
2,47,1,"undirected",1,208,"node 2 to 47"
2,48,1,"undirected",1,208,"node 2 to 48"
2,49,1,"undirected",1,208,"node 2 to 49"
2,50,1,"undirected",1,208,"node 2 to 50"
2,52,1,"undirected",1,208,"node 2 to 52"
2,53,1,"undirected",1,208,"node 2 to 53"
2,54,1,"undirected",1,208,"node 2 to 54"
2,55,1,"undirected",1,208,"node 2 to 55"
2,56,1,"undirected",1,208,"node 2 to 56"
2,57,1,"undirected",1,208,"node 2 to 57"
2,58,1,"undirected",1,208,"node 2 to 58"
2,59,1,"undirected",1,208,"node 2 to 59"
2,60,1,"undirected",1,208,"node 2 to 60"
2,61,1,"undirected",1,208,"node 2 to 61"
2,62,1,"undirected",1,208,"node 2 to 62"
2,63,1,"undirected",1,208,"node 2 to 63"
2,64,1,"undirected",1,208,"node 2 to 64"
2,65,1,"undirected",1,208,"node 2 to 65"
2,66,1,"undirected",1,208,"node 2 to 66"
2,67,1,"undirected",1,208,"node 2 to 67"
2,68,1,"undirected",1,208,"node 2 to 68"
2,69,1,"undirected",1,208,"node 2 to 69"
2,70,1,"undirected",1,208,"node 2 to 70"
2,71,1,"undirected",1,208,"node 2 to 71"
2,72,1,"undirected",1,208,"node 2 to 72"
2,73,1,"undirected",1,208,"node 2 to 73"
2,74,1,"undirected",1,208,"node 2 to 74"
2,75,1,"undirected",1,208,"node 2 to 75"
2,76,1,"undirected",1,208,"node 2 to 76"
2,77,1,"undirected",1,208,"node 2 to 77"
2,78,1,"undirected",1,208,"node 2 to 78"
2,79,1,"undirected",1,208,"node 2 to 79"
