Source,Target,Weight,Type,Start,End,Label
1,2,1,"undirected",1,19,"node 1 to 2"
1,3,1,"undirected",1,19,"node 1 to 3"
1,4,1,"undirected",1,19,"node 1 to 4"
1,5,1,"undirected",1,19,"node 1 to 5"
1,6,1,"undirected",1,19,"node 1 to 6"
1,7,1,"undirected",1,19,"node 1 to 7"
1,8,1,"undirected",1,19,"node 1 to 8"
1,9,1,"undirected",1,19,"node 1 to 9"
1,10,1,"undirected",1,19,"node 1 to 10"
1,11,1,"undirected",1,19,"node 1 to 11"
1,12,1,"undirected",1,19,"node 1 to 12"
1,13,1,"undirected",1,19,"node 1 to 13"
1,14,1,"undirected",1,19,"node 1 to 14"
1,15,1,"undirected",1,19,"node 1 to 15"
1,16,1,"undirected",1,19,"node 1 to 16"
1,18,1,"undirected",1,19,"node 1 to 18"
1,20,1,"undirected",1,19,"node 1 to 20"
1,21,1,"undirected",1,19,"node 1 to 21"
1,22,1,"undirected",1,19,"node 1 to 22"
1,23,1,"undirected",1,19,"node 1 to 23"
1,24,1,"undirected",1,19,"node 1 to 24"
1,29,1,"undirected",1,19,"node 1 to 29"
1,30,1,"undirected",1,19,"node 1 to 30"
1,35,1,"undirected",1,19,"node 1 to 35"
1,36,1,"undirected",1,19,"node 1 to 36"
1,38,1,"undirected",1,19,"node 1 to 38"
1,40,1,"undirected",1,19,"node 1 to 40"
1,42,1,"undirected",1,19,"node 1 to 42"
1,43,1,"undirected",1,19,"node 1 to 43"
1,46,1,"undirected",1,19,"node 1 to 46"
1,52,1,"undirected",1,19,"node 1 to 52"
1,53,1,"undirected",1,19,"node 1 to 53"
1,63,1,"undirected",1,19,"node 1 to 63"
1,65,1,"undirected",1,19,"node 1 to 65"
1,66,1,"undirected",1,19,"node 1 to 66"
1,67,1,"undirected",1,19,"node 1 to 67"
1,69,1,"undirected",1,19,"node 1 to 69"
1,72,1,"undirected",1,19,"node 1 to 72"
1,73,1,"undirected",1,19,"node 1 to 73"
1,74,1,"undirected",1,19,"node 1 to 74"
1,77,1,"undirected",1,19,"node 1 to 77"
1,85,1,"undirected",1,19,"node 1 to 85"
1,93,1,"undirected",1,19,"node 1 to 93"
2,1,1,"undirected",1,19,"node 2 to 1"
2,3,1,"undirected",1,19,"node 2 to 3"
2,4,1,"undirected",1,19,"node 2 to 4"
2,5,1,"undirected",1,19,"node 2 to 5"
2,6,1,"undirected",1,19,"node 2 to 6"
2,7,1,"undirected",1,19,"node 2 to 7"
2,8,1,"undirected",1,19,"node 2 to 8"
2,9,1,"undirected",1,19,"node 2 to 9"
2,10,1,"undirected",1,19,"node 2 to 10"
2,11,1,"undirected",1,19,"node 2 to 11"
