Id,Label,Start,End,Interval
1,"Node 1",1,19,"<[1,19]>"
2,"Node 2",1,19,"<[1,19]>"
3,"Node 3",1,19,"<[1,19]>"
4,"Node 4",1,19,"<[1,19]>"
5,"Node 5",1,19,"<[1,19]>"
6,"Node 6",1,19,"<[1,19]>"
7,"Node 7",1,19,"<[1,19]>"
8,"Node 8",1,19,"<[1,19]>"
9,"Node 9",1,19,"<[1,19]>"
10,"Node 10",1,19,"<[1,19]>"
11,"Node 11",2,19,"<[2,19]>"
12,"Node 12",2,19,"<[2,19]>"
13,"Node 13",2,19,"<[2,19]>"
14,"Node 14",2,19,"<[2,19]>"
15,"Node 15",2,19,"<[2,19]>"
16,"Node 16",3,19,"<[3,19]>"
17,"Node 17",3,19,"<[3,19]>"
18,"Node 18",3,19,"<[3,19]>"
19,"Node 19",3,19,"<[3,19]>"
20,"Node 20",3,19,"<[3,19]>"
21,"Node 21",4,19,"<[4,19]>"
22,"Node 22",4,19,"<[4,19]>"
23,"Node 23",4,19,"<[4,19]>"
24,"Node 24",4,19,"<[4,19]>"
25,"Node 25",4,19,"<[4,19]>"
26,"Node 26",5,19,"<[5,19]>"
27,"Node 27",5,19,"<[5,19]>"
28,"Node 28",5,19,"<[5,19]>"
29,"Node 29",5,19,"<[5,19]>"
30,"Node 30",5,19,"<[5,19]>"
31,"Node 31",6,19,"<[6,19]>"
32,"Node 32",6,19,"<[6,19]>"
33,"Node 33",6,19,"<[6,19]>"
34,"Node 34",6,19,"<[6,19]>"
35,"Node 35",6,19,"<[6,19]>"
36,"Node 36",7,19,"<[7,19]>"
37,"Node 37",7,19,"<[7,19]>"
38,"Node 38",7,19,"<[7,19]>"
39,"Node 39",7,19,"<[7,19]>"
40,"Node 40",7,19,"<[7,19]>"
41,"Node 41",8,19,"<[8,19]>"
42,"Node 42",8,19,"<[8,19]>"
43,"Node 43",8,19,"<[8,19]>"
44,"Node 44",8,19,"<[8,19]>"
45,"Node 45",8,19,"<[8,19]>"
46,"Node 46",9,19,"<[9,19]>"
47,"Node 47",9,19,"<[9,19]>"
48,"Node 48",9,19,"<[9,19]>"
49,"Node 49",9,19,"<[9,19]>"
50,"Node 50",9,19,"<[9,19]>"
51,"Node 51",10,19,"<[10,19]>"
52,"Node 52",10,19,"<[10,19]>"
53,"Node 53",10,19,"<[10,19]>"
54,"Node 54",10,19,"<[10,19]>"
55,"Node 55",10,19,"<[10,19]>"
56,"Node 56",11,19,"<[11,19]>"
57,"Node 57",11,19,"<[11,19]>"
58,"Node 58",11,19,"<[11,19]>"
59,"Node 59",11,19,"<[11,19]>"
60,"Node 60",11,19,"<[11,19]>"
61,"Node 61",12,19,"<[12,19]>"
62,"Node 62",12,19,"<[12,19]>"
63,"Node 63",12,19,"<[12,19]>"
64,"Node 64",12,19,"<[12,19]>"
65,"Node 65",12,19,"<[12,19]>"
66,"Node 66",13,19,"<[13,19]>"
67,"Node 67",13,19,"<[13,19]>"
68,"Node 68",13,19,"<[13,19]>"
69,"Node 69",13,19,"<[13,19]>"
70,"Node 70",13,19,"<[13,19]>"
71,"Node 71",14,19,"<[14,19]>"
72,"Node 72",14,19,"<[14,19]>"
73,"Node 73",14,19,"<[14,19]>"
74,"Node 74",14,19,"<[14,19]>"
75,"Node 75",14,19,"<[14,19]>"
76,"Node 76",15,19,"<[15,19]>"
77,"Node 77",15,19,"<[15,19]>"
78,"Node 78",15,19,"<[15,19]>"
79,"Node 79",15,19,"<[15,19]>"
80,"Node 80",15,19,"<[15,19]>"
81,"Node 81",16,19,"<[16,19]>"
82,"Node 82",16,19,"<[16,19]>"
83,"Node 83",16,19,"<[16,19]>"
84,"Node 84",16,19,"<[16,19]>"
85,"Node 85",16,19,"<[16,19]>"
86,"Node 86",17,19,"<[17,19]>"
87,"Node 87",17,19,"<[17,19]>"
88,"Node 88",17,19,"<[17,19]>"
89,"Node 89",17,19,"<[17,19]>"
90,"Node 90",17,19,"<[17,19]>"
91,"Node 91",18,19,"<[18,19]>"
92,"Node 92",18,19,"<[18,19]>"
93,"Node 93",18,19,"<[18,19]>"
94,"Node 94",18,19,"<[18,19]>"
95,"Node 95",18,19,"<[18,19]>"
96,"Node 96",19,19,"<[19,19]>"
97,"Node 97",19,19,"<[19,19]>"
98,"Node 98",19,19,"<[19,19]>"
99,"Node 99",19,19,"<[19,19]>"
100,"Node 100",19,19,"<[19,19]>"
