Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 203.00, 0.00, 5.00, 627.00, 0.00, 0.00,  0,  2
2,"Node 2", 204.00, 0.00, 4.00, 284.00, 0.00, 0.00,  0,  2
3,"Node 3", 180.00, 0.00, 28.00, 8020.00, 0.00, 0.00,  0,  1
4,"Node 4", 206.00, 0.00, 2.00, 86.00, 0.00, 0.00,  0,  2
5,"Node 5", 181.00, 0.00, 27.00, 11309.00, 0.00, 0.00,  0,  1
6,"Node 6", 185.00, 0.00, 23.00, 5840.00, 0.00, 0.00,  0,  1
7,"Node 7", 189.00, 0.00, 19.00, 8509.00, 0.00, 0.00,  0,  1
8,"Node 8", 183.00, 0.00, 25.00, 9735.00, 0.00, 0.00,  0,  1
9,"Node 9", 184.00, 0.00, 24.00, 5929.00, 0.00, 0.00,  0,  1
10,"Node 10", 195.00, 0.00, 13.00, 4352.00, 0.00, 0.00,  0,  1
11,"Node 11", 180.00, 0.00, 28.00, 5743.00, 0.00, 0.00,  0,  1
12,"Node 12", 0.00, 0.00, 0.00, 1874.00, 0.00, 0.00,  0,  0
13,"Node 13", 186.00, 0.00, 22.00, 3887.00, 0.00, 0.00,  0,  1
14,"Node 14", 0.00, 0.00, 0.00, 1218.00, 0.00, 0.00,  0,  0
15,"Node 15", 206.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 177.00, 0.00, 31.00, 6912.00, 0.00, 0.00,  0,  1
17,"Node 17", 182.00, 0.00, 26.00, 4190.00, 0.00, 0.00,  0,  1
18,"Node 18", 193.00, 0.00, 15.00, 1546.00, 0.00, 0.00,  0,  1
19,"Node 19", 180.00, 0.00, 28.00, 2949.00, 0.00, 0.00,  0,  1
20,"Node 20", 199.00, 0.00, 9.00, 710.00, 0.00, 0.00,  0,  1
21,"Node 21", 189.00, 0.00, 19.00, 1876.00, 0.00, 0.00,  0,  1
22,"Node 22", 202.00, 0.00, 6.00, 45.00, 0.00, 0.00,  0,  2
23,"Node 23", 191.00, 0.00, 17.00, 1840.00, 0.00, 0.00,  0,  1
24,"Node 24", 203.00, 0.00, 5.00, 78.00, 0.00, 0.00,  0,  1
25,"Node 25", 203.00, 0.00, 5.00, 225.00, 0.00, 0.00,  0,  1
26,"Node 26", 189.00, 0.00, 19.00, 1872.00, 0.00, 0.00,  0,  1
27,"Node 27", 187.00, 0.00, 21.00, 2572.00, 0.00, 0.00,  0,  1
28,"Node 28", 187.00, 0.00, 21.00, 4474.00, 0.00, 0.00,  0,  1
29,"Node 29", 190.00, 0.00, 18.00, 2971.00, 0.00, 0.00,  0,  1
30,"Node 30", 194.00, 0.00, 14.00, 704.00, 0.00, 0.00,  0,  1
31,"Node 31", 192.00, 0.00, 16.00, 1457.00, 0.00, 0.00,  0,  1
32,"Node 32", 189.00, 0.00, 19.00, 1404.00, 0.00, 0.00,  0,  1
33,"Node 33", 184.00, 0.00, 24.00, 2598.00, 0.00, 0.00,  0,  1
34,"Node 34", 200.00, 0.00, 8.00, 3.00, 0.00, 0.00,  0,  1
35,"Node 35", 195.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
36,"Node 36", 188.00, 0.00, 20.00, 3215.00, 0.00, 0.00,  0,  1
37,"Node 37", 193.00, 0.00, 15.00, 3463.00, 0.00, 0.00,  0,  1
38,"Node 38", 193.00, 0.00, 15.00, 1621.00, 0.00, 0.00,  0,  1
39,"Node 39", 183.00, 0.00, 25.00, 2550.00, 0.00, 0.00,  0,  1
40,"Node 40", 188.00, 0.00, 20.00, 2109.00, 0.00, 0.00,  0,  1
41,"Node 41", 192.00, 0.00, 16.00, 807.00, 0.00, 0.00,  0,  1
42,"Node 42", 198.00, 0.00, 10.00, 0.00, 0.00, 0.00,  0,  2
43,"Node 43", 196.00, 0.00, 12.00, 32.00, 0.00, 0.00,  0,  1
44,"Node 44", 205.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
45,"Node 45", 200.00, 0.00, 8.00, 1.00, 0.00, 0.00,  0,  1
46,"Node 46", 188.00, 0.00, 20.00, 1029.00, 0.00, 0.00,  0,  1
47,"Node 47", 196.00, 0.00, 12.00, 1003.00, 0.00, 0.00,  0,  1
48,"Node 48", 189.00, 0.00, 19.00, 565.00, 0.00, 0.00,  0,  1
49,"Node 49", 196.00, 0.00, 12.00, 718.00, 0.00, 0.00,  0,  1
50,"Node 50", 199.00, 0.00, 9.00, 8.00, 0.00, 0.00,  0,  1
51,"Node 51", 194.00, 0.00, 14.00, 16.00, 0.00, 0.00,  0,  1
52,"Node 52", 174.00, 0.00, 34.00, 2002.00, 0.00, 0.00,  0,  1
53,"Node 53", 201.00, 0.00, 7.00, 156.00, 0.00, 0.00,  0,  1
54,"Node 54", 0.00, 0.00, 0.00, 2.00, 0.00, 0.00,  0,  0
55,"Node 55", 190.00, 0.00, 18.00, 830.00, 0.00, 0.00,  0,  1
56,"Node 56", 192.00, 0.00, 16.00, 109.00, 0.00, 0.00,  0,  1
57,"Node 57", 198.00, 0.00, 10.00, 46.00, 0.00, 0.00,  0,  1
58,"Node 58", 205.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
59,"Node 59", 205.00, 0.00, 3.00, 248.00, 0.00, 0.00,  0,  1
60,"Node 60", 195.00, 0.00, 13.00, 193.00, 0.00, 0.00,  0,  1
61,"Node 61", 202.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  1
62,"Node 62", 192.00, 0.00, 16.00, 14.00, 0.00, 0.00,  0,  1
63,"Node 63", 190.00, 0.00, 18.00, 302.00, 0.00, 0.00,  0,  1
