Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 27.00, 3.00, 22.00, 0.00, 0.00
2,"Node 2", 17.00, 1.00, 34.00, 0.00, 0.00
3,"Node 3", 21.00, 3.00, 28.00, 0.00, 0.00
4,"Node 4", 19.00, 8.00, 25.00, 0.00, 0.00
5,"Node 5", 0.00, 0.00, 0.00, 0.00, 0.00
6,"Node 6", 0.00, 0.00, 0.00, 0.00, 0.00
7,"Node 7", 0.00, 0.00, 0.00, 0.00, 0.00
8,"Node 8", 0.00, 0.00, 0.00, 0.00, 0.00
9,"Node 9", 17.00, 5.00, 30.00, 0.00, 0.00
10,"Node 10", 31.00, 5.00, 16.00, 0.00, 0.00
11,"Node 11", 33.00, 1.00, 18.00, 0.00, 0.00
12,"Node 12", 34.00, 6.00, 12.00, 0.00, 0.00
13,"Node 13", 23.00, 11.00, 18.00, 0.00, 0.00
14,"Node 14", 0.00, 0.00, 0.00, 0.00, 0.00
15,"Node 15", 25.00, 5.00, 22.00, 0.00, 0.00
16,"Node 16", 27.00, 3.00, 22.00, 0.00, 0.00
17,"Node 17", 26.00, 0.00, 26.00, 0.00, 0.00
18,"Node 18", 27.00, 7.00, 18.00, 0.00, 0.00
19,"Node 19", 0.00, 0.00, 0.00, 0.00, 0.00
20,"Node 20", 31.00, 2.00, 19.00, 0.00, 0.00
21,"Node 21", 0.00, 0.00, 0.00, 0.00, 0.00
22,"Node 22", 17.00, 6.00, 29.00, 0.00, 0.00
23,"Node 23", 20.00, 15.00, 17.00, 0.00, 0.00
24,"Node 24", 25.00, 16.00, 11.00, 0.00, 0.00
25,"Node 25", 0.00, 0.00, 0.00, 0.00, 0.00
26,"Node 26", 23.00, 14.00, 15.00, 0.00, 0.00
27,"Node 27", 0.00, 0.00, 0.00, 0.00, 0.00
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00
29,"Node 29", 23.00, 4.00, 25.00, 0.00, 0.00
30,"Node 30", 22.00, 18.00, 12.00, 0.00, 0.00
31,"Node 31", 23.00, 14.00, 15.00, 0.00, 0.00
32,"Node 32", 23.00, 5.00, 24.00, 0.00, 0.00
33,"Node 33", 10.00, 36.00, 6.00, 0.00, 0.00
34,"Node 34", 0.00, 0.00, 0.00, 0.00, 0.00
35,"Node 35", 33.00, 4.00, 15.00, 0.00, 0.00
36,"Node 36", 23.00, 12.00, 17.00, 0.00, 0.00
37,"Node 37", 0.00, 0.00, 0.00, 0.00, 0.00
38,"Node 38", 0.00, 0.00, 0.00, 0.00, 0.00
39,"Node 39", 33.00, 4.00, 15.00, 0.00, 0.00
40,"Node 40", 35.00, 7.00, 10.00, 0.00, 0.00
41,"Node 41", 34.00, 4.00, 14.00, 0.00, 0.00
42,"Node 42", 22.00, 2.00, 28.00, 0.00, 0.00
43,"Node 43", 17.00, 18.00, 17.00, 0.00, 0.00
44,"Node 44", 32.00, 8.00, 12.00, 0.00, 0.00
45,"Node 45", 34.00, 3.00, 15.00, 0.00, 0.00
46,"Node 46", 20.00, 15.00, 17.00, 0.00, 0.00
47,"Node 47", 29.00, 4.00, 19.00, 0.00, 0.00
48,"Node 48", 16.00, 22.00, 14.00, 0.00, 0.00
49,"Node 49", 0.00, 0.00, 0.00, 0.00, 0.00
50,"Node 50", 11.00, 41.00, 0.00, 0.00, 0.00
51,"Node 51", 0.00, 0.00, 0.00, 0.00, 0.00
52,"Node 52", 0.00, 0.00, 0.00, 0.00, 0.00
53,"Node 53", 0.00, 0.00, 0.00, 0.00, 0.00
54,"Node 54", 31.00, 5.00, 16.00, 0.00, 0.00
55,"Node 55", 0.00, 0.00, 0.00, 0.00, 0.00
56,"Node 56", 23.00, 10.00, 19.00, 0.00, 0.00
57,"Node 57", 23.00, 3.00, 26.00, 0.00, 0.00
58,"Node 58", 17.00, 22.00, 13.00, 0.00, 0.00
59,"Node 59", 24.00, 7.00, 21.00, 0.00, 0.00
60,"Node 60", 26.00, 6.00, 20.00, 0.00, 0.00
61,"Node 61", 14.00, 8.00, 30.00, 0.00, 0.00
62,"Node 62", 27.00, 7.00, 18.00, 0.00, 0.00
63,"Node 63", 30.00, 6.00, 16.00, 0.00, 0.00
64,"Node 64", 3.00, 49.00, 0.00, 0.00, 0.00
65,"Node 65", 25.00, 22.00, 5.00, 0.00, 0.00
66,"Node 66", 26.00, 7.00, 19.00, 0.00, 0.00
67,"Node 67", 22.00, 13.00, 17.00, 0.00, 0.00
68,"Node 68", 20.00, 25.00, 7.00, 0.00, 0.00
69,"Node 69", 0.00, 0.00, 0.00, 0.00, 0.00
70,"Node 70", 31.00, 3.00, 18.00, 0.00, 0.00
71,"Node 71", 19.00, 29.00, 4.00, 0.00, 0.00
72,"Node 72", 26.00, 11.00, 15.00, 0.00, 0.00
73,"Node 73", 19.00, 24.00, 9.00, 0.00, 0.00
74,"Node 74", 24.00, 3.00, 25.00, 0.00, 0.00
75,"Node 75", 24.00, 12.00, 16.00, 0.00, 0.00
76,"Node 76", 0.00, 0.00, 0.00, 0.00, 0.00
77,"Node 77", 33.00, 6.00, 13.00, 0.00, 0.00
78,"Node 78", 23.00, 6.00, 23.00, 0.00, 0.00
79,"Node 79", 34.00, 2.00, 16.00, 0.00, 0.00
80,"Node 80", 29.00, 5.00, 18.00, 0.00, 0.00
81,"Node 81", 35.00, 5.00, 12.00, 0.00, 0.00
82,"Node 82", 28.00, 3.00, 21.00, 0.00, 0.00
83,"Node 83", 23.00, 6.00, 23.00, 0.00, 0.00
84,"Node 84", 27.00, 10.00, 15.00, 0.00, 0.00
85,"Node 85", 0.00, 0.00, 0.00, 0.00, 0.00
86,"Node 86", 0.00, 0.00, 0.00, 0.00, 0.00
87,"Node 87", 18.00, 20.00, 14.00, 0.00, 0.00
88,"Node 88", 23.00, 21.00, 8.00, 0.00, 0.00
89,"Node 89", 0.00, 0.00, 0.00, 0.00, 0.00
90,"Node 90", 0.00, 0.00, 0.00, 0.00, 0.00
91,"Node 91", 30.00, 5.00, 17.00, 0.00, 0.00
92,"Node 92", 10.00, 26.00, 16.00, 0.00, 0.00
93,"Node 93", 21.00, 8.00, 23.00, 0.00, 0.00
94,"Node 94", 20.00, 13.00, 19.00, 0.00, 0.00
95,"Node 95", 21.00, 13.00, 18.00, 0.00, 0.00
96,"Node 96", 31.00, 7.00, 14.00, 0.00, 0.00
97,"Node 97", 19.00, 17.00, 16.00, 0.00, 0.00
98,"Node 98", 19.00, 10.00, 23.00, 0.00, 0.00
99,"Node 99", 0.00, 0.00, 0.00, 0.00, 0.00
100,"Node 100", 23.00, 8.00, 21.00, 0.00, 0.00
101,"Node 101", 25.00, 17.00, 10.00, 0.00, 0.00
