Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 29.00, 9.00, 14.00, 0.00, 0.00
2,"Node 2", 31.00, 7.00, 14.00, 0.00, 0.00
3,"Node 3", 21.00, 12.00, 19.00, 0.00, 0.00
4,"Node 4", 17.00, 21.00, 14.00, 0.00, 0.00
5,"Node 5", 25.00, 13.00, 14.00, 0.00, 0.00
6,"Node 6", 26.00, 19.00, 7.00, 0.00, 0.00
7,"Node 7", 18.00, 21.00, 13.00, 0.00, 0.00
8,"Node 8", 0.00, 0.00, 0.00, 0.00, 0.00
9,"Node 9", 15.00, 21.00, 16.00, 0.00, 0.00
10,"Node 10", 0.00, 0.00, 0.00, 0.00, 0.00
11,"Node 11", 23.00, 15.00, 14.00, 0.00, 0.00
12,"Node 12", 22.00, 18.00, 12.00, 0.00, 0.00
13,"Node 13", 11.00, 33.00, 8.00, 0.00, 0.00
14,"Node 14", 0.00, 0.00, 0.00, 0.00, 0.00
15,"Node 15", 16.00, 28.00, 8.00, 0.00, 0.00
16,"Node 16", 0.00, 0.00, 0.00, 0.00, 0.00
17,"Node 17", 24.00, 18.00, 10.00, 0.00, 0.00
18,"Node 18", 21.00, 27.00, 4.00, 0.00, 0.00
19,"Node 19", 19.00, 17.00, 16.00, 0.00, 0.00
20,"Node 20", 14.00, 32.00, 6.00, 0.00, 0.00
21,"Node 21", 18.00, 30.00, 4.00, 0.00, 0.00
22,"Node 22", 0.00, 0.00, 0.00, 0.00, 0.00
23,"Node 23", 0.00, 0.00, 0.00, 0.00, 0.00
24,"Node 24", 0.00, 0.00, 0.00, 0.00, 0.00
25,"Node 25", 27.00, 19.00, 6.00, 0.00, 0.00
26,"Node 26", 8.00, 43.00, 1.00, 0.00, 0.00
27,"Node 27", 27.00, 16.00, 9.00, 0.00, 0.00
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00
29,"Node 29", 18.00, 19.00, 15.00, 0.00, 0.00
30,"Node 30", 7.00, 44.00, 1.00, 0.00, 0.00
31,"Node 31", 13.00, 37.00, 2.00, 0.00, 0.00
32,"Node 32", 25.00, 15.00, 12.00, 0.00, 0.00
33,"Node 33", 0.00, 0.00, 0.00, 0.00, 0.00
34,"Node 34", 10.00, 16.00, 26.00, 0.00, 0.00
35,"Node 35", 0.00, 0.00, 0.00, 0.00, 0.00
36,"Node 36", 0.00, 0.00, 0.00, 0.00, 0.00
37,"Node 37", 0.00, 0.00, 0.00, 0.00, 0.00
38,"Node 38", 5.00, 43.00, 4.00, 0.00, 0.00
39,"Node 39", 25.00, 19.00, 8.00, 0.00, 0.00
40,"Node 40", 25.00, 17.00, 10.00, 0.00, 0.00
41,"Node 41", 15.00, 30.00, 7.00, 0.00, 0.00
42,"Node 42", 24.00, 13.00, 15.00, 0.00, 0.00
43,"Node 43", 0.00, 0.00, 0.00, 0.00, 0.00
44,"Node 44", 0.00, 0.00, 0.00, 0.00, 0.00
45,"Node 45", 16.00, 23.00, 13.00, 0.00, 0.00
46,"Node 46", 0.00, 0.00, 0.00, 0.00, 0.00
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00
48,"Node 48", 8.00, 40.00, 4.00, 0.00, 0.00
49,"Node 49", 19.00, 26.00, 7.00, 0.00, 0.00
50,"Node 50", 6.00, 46.00, 0.00, 0.00, 0.00
51,"Node 51", 32.00, 11.00, 9.00, 0.00, 0.00
52,"Node 52", 0.00, 0.00, 0.00, 0.00, 0.00
