Source,Target,Label,Type
1,2,"Edge 1 to 2","Mixed"
1,3,"Edge 1 to 3","Mixed"
1,4,"Edge 1 to 4","Mixed"
1,5,"Edge 1 to 5","Mixed"
1,7,"Edge 1 to 7","Mixed"
1,10,"Edge 1 to 10","Mixed"
1,12,"Edge 1 to 12","Mixed"
1,14,"Edge 1 to 14","Mixed"
1,15,"Edge 1 to 15","Mixed"
1,16,"Edge 1 to 16","Mixed"
1,18,"Edge 1 to 18","Mixed"
1,22,"Edge 1 to 22","Mixed"
1,24,"Edge 1 to 24","Mixed"
1,27,"Edge 1 to 27","Mixed"
1,28,"Edge 1 to 28","Mixed"
1,30,"Edge 1 to 30","Mixed"
1,34,"Edge 1 to 34","Mixed"
1,37,"Edge 1 to 37","Mixed"
1,39,"Edge 1 to 39","Mixed"
1,41,"Edge 1 to 41","Mixed"
1,42,"Edge 1 to 42","Mixed"
1,49,"Edge 1 to 49","Mixed"
1,76,"Edge 1 to 76","Mixed"
1,85,"Edge 1 to 85","Mixed"
1,95,"Edge 1 to 95","Mixed"
2,1,"Edge 2 to 1","Mixed"
2,3,"Edge 2 to 3","Mixed"
2,4,"Edge 2 to 4","Mixed"
2,6,"Edge 2 to 6","Mixed"
2,8,"Edge 2 to 8","Mixed"
2,20,"Edge 2 to 20","Mixed"
2,22,"Edge 2 to 22","Mixed"
2,33,"Edge 2 to 33","Mixed"
2,52,"Edge 2 to 52","Mixed"
2,73,"Edge 2 to 73","Mixed"
2,75,"Edge 2 to 75","Mixed"
3,1,"Edge 3 to 1","Mixed"
3,2,"Edge 3 to 2","Mixed"
3,6,"Edge 3 to 6","Mixed"
3,9,"Edge 3 to 9","Mixed"
3,13,"Edge 3 to 13","Mixed"
3,14,"Edge 3 to 14","Mixed"
3,21,"Edge 3 to 21","Mixed"
3,26,"Edge 3 to 26","Mixed"
3,28,"Edge 3 to 28","Mixed"
3,29,"Edge 3 to 29","Mixed"
3,37,"Edge 3 to 37","Mixed"
3,42,"Edge 3 to 42","Mixed"
3,46,"Edge 3 to 46","Mixed"
3,47,"Edge 3 to 47","Mixed"
3,66,"Edge 3 to 66","Mixed"
3,68,"Edge 3 to 68","Mixed"
3,72,"Edge 3 to 72","Mixed"
3,75,"Edge 3 to 75","Mixed"
3,87,"Edge 3 to 87","Mixed"
3,90,"Edge 3 to 90","Mixed"
4,1,"Edge 4 to 1","Mixed"
4,2,"Edge 4 to 2","Mixed"
4,5,"Edge 4 to 5","Mixed"
4,7,"Edge 4 to 7","Mixed"
4,8,"Edge 4 to 8","Mixed"
4,10,"Edge 4 to 10","Mixed"
4,11,"Edge 4 to 11","Mixed"
4,19,"Edge 4 to 19","Mixed"
4,21,"Edge 4 to 21","Mixed"
4,29,"Edge 4 to 29","Mixed"
4,36,"Edge 4 to 36","Mixed"
4,40,"Edge 4 to 40","Mixed"
4,60,"Edge 4 to 60","Mixed"
4,62,"Edge 4 to 62","Mixed"
4,63,"Edge 4 to 63","Mixed"
4,89,"Edge 4 to 89","Mixed"
5,1,"Edge 5 to 1","Mixed"
5,4,"Edge 5 to 4","Mixed"
5,17,"Edge 5 to 17","Mixed"
5,45,"Edge 5 to 45","Mixed"
5,52,"Edge 5 to 52","Mixed"
5,68,"Edge 5 to 68","Mixed"
5,83,"Edge 5 to 83","Mixed"
5,88,"Edge 5 to 88","Mixed"
6,2,"Edge 6 to 2","Mixed"
6,3,"Edge 6 to 3","Mixed"
6,9,"Edge 6 to 9","Mixed"
6,18,"Edge 6 to 18","Mixed"
6,32,"Edge 6 to 32","Mixed"
6,44,"Edge 6 to 44","Mixed"
6,55,"Edge 6 to 55","Mixed"
6,57,"Edge 6 to 57","Mixed"
6,73,"Edge 6 to 73","Mixed"
6,87,"Edge 6 to 87","Mixed"
6,100,"Edge 6 to 100","Mixed"
7,1,"Edge 7 to 1","Mixed"
7,4,"Edge 7 to 4","Mixed"
7,16,"Edge 7 to 16","Mixed"
7,26,"Edge 7 to 26","Mixed"
7,32,"Edge 7 to 32","Mixed"
7,36,"Edge 7 to 36","Mixed"
7,40,"Edge 7 to 40","Mixed"
7,48,"Edge 7 to 48","Mixed"
7,60,"Edge 7 to 60","Mixed"
7,65,"Edge 7 to 65","Mixed"
7,69,"Edge 7 to 69","Mixed"
7,70,"Edge 7 to 70","Mixed"
7,79,"Edge 7 to 79","Mixed"
7,81,"Edge 7 to 81","Mixed"
7,94,"Edge 7 to 94","Mixed"
7,100,"Edge 7 to 100","Mixed"
8,2,"Edge 8 to 2","Mixed"
8,4,"Edge 8 to 4","Mixed"
8,12,"Edge 8 to 12","Mixed"
8,23,"Edge 8 to 23","Mixed"
8,24,"Edge 8 to 24","Mixed"
8,27,"Edge 8 to 27","Mixed"
8,30,"Edge 8 to 30","Mixed"
8,34,"Edge 8 to 34","Mixed"
8,35,"Edge 8 to 35","Mixed"
8,45,"Edge 8 to 45","Mixed"
8,61,"Edge 8 to 61","Mixed"
8,63,"Edge 8 to 63","Mixed"
8,64,"Edge 8 to 64","Mixed"
8,72,"Edge 8 to 72","Mixed"
9,3,"Edge 9 to 3","Mixed"
9,6,"Edge 9 to 6","Mixed"
9,11,"Edge 9 to 11","Mixed"
9,78,"Edge 9 to 78","Mixed"
9,91,"Edge 9 to 91","Mixed"
10,1,"Edge 10 to 1","Mixed"
10,4,"Edge 10 to 4","Mixed"
10,19,"Edge 10 to 19","Mixed"
10,25,"Edge 10 to 25","Mixed"
10,56,"Edge 10 to 56","Mixed"
11,4,"Edge 11 to 4","Mixed"
11,9,"Edge 11 to 9","Mixed"
11,17,"Edge 11 to 17","Mixed"
11,59,"Edge 11 to 59","Mixed"
11,81,"Edge 11 to 81","Mixed"
12,1,"Edge 12 to 1","Mixed"
12,8,"Edge 12 to 8","Mixed"
12,13,"Edge 12 to 13","Mixed"
12,39,"Edge 12 to 39","Mixed"
12,51,"Edge 12 to 51","Mixed"
12,64,"Edge 12 to 64","Mixed"
12,74,"Edge 12 to 74","Mixed"
13,3,"Edge 13 to 3","Mixed"
13,12,"Edge 13 to 12","Mixed"
13,35,"Edge 13 to 35","Mixed"
14,1,"Edge 14 to 1","Mixed"
14,3,"Edge 14 to 3","Mixed"
14,15,"Edge 14 to 15","Mixed"
14,48,"Edge 14 to 48","Mixed"
14,53,"Edge 14 to 53","Mixed"
14,61,"Edge 14 to 61","Mixed"
14,69,"Edge 14 to 69","Mixed"
15,1,"Edge 15 to 1","Mixed"
15,14,"Edge 15 to 14","Mixed"
16,1,"Edge 16 to 1","Mixed"
16,7,"Edge 16 to 7","Mixed"
16,20,"Edge 16 to 20","Mixed"
16,98,"Edge 16 to 98","Mixed"
17,5,"Edge 17 to 5","Mixed"
17,11,"Edge 17 to 11","Mixed"
17,23,"Edge 17 to 23","Mixed"
17,59,"Edge 17 to 59","Mixed"
18,1,"Edge 18 to 1","Mixed"
18,6,"Edge 18 to 6","Mixed"
18,25,"Edge 18 to 25","Mixed"
18,43,"Edge 18 to 43","Mixed"
18,44,"Edge 18 to 44","Mixed"
18,51,"Edge 18 to 51","Mixed"
18,66,"Edge 18 to 66","Mixed"
