Source;Target;Label;Type
1;2;"Edge 1 to 2";"Mixed"
1;3;"Edge 1 to 3";"Mixed"
1;4;"Edge 1 to 4";"Mixed"
1;5;"Edge 1 to 5";"Mixed"
1;6;"Edge 1 to 6";"Mixed"
1;7;"Edge 1 to 7";"Mixed"
1;8;"Edge 1 to 8";"Mixed"
1;9;"Edge 1 to 9";"Mixed"
1;10;"Edge 1 to 10";"Mixed"
1;13;"Edge 1 to 13";"Mixed"
1;14;"Edge 1 to 14";"Mixed"
1;17;"Edge 1 to 17";"Mixed"
1;18;"Edge 1 to 18";"Mixed"
1;23;"Edge 1 to 23";"Mixed"
1;33;"Edge 1 to 33";"Mixed"
1;35;"Edge 1 to 35";"Mixed"
1;44;"Edge 1 to 44";"Mixed"
1;45;"Edge 1 to 45";"Mixed"
1;51;"Edge 1 to 51";"Mixed"
1;60;"Edge 1 to 60";"Mixed"
1;62;"Edge 1 to 62";"Mixed"
1;66;"Edge 1 to 66";"Mixed"
1;69;"Edge 1 to 69";"Mixed"
1;71;"Edge 1 to 71";"Mixed"
1;79;"Edge 1 to 79";"Mixed"
1;83;"Edge 1 to 83";"Mixed"
1;89;"Edge 1 to 89";"Mixed"
1;92;"Edge 1 to 92";"Mixed"
1;98;"Edge 1 to 98";"Mixed"
2;1;"Edge 2 to 1";"Mixed"
2;3;"Edge 2 to 3";"Mixed"
2;4;"Edge 2 to 4";"Mixed"
2;5;"Edge 2 to 5";"Mixed"
2;6;"Edge 2 to 6";"Mixed"
2;7;"Edge 2 to 7";"Mixed"
2;8;"Edge 2 to 8";"Mixed"
2;16;"Edge 2 to 16";"Mixed"
2;18;"Edge 2 to 18";"Mixed"
2;20;"Edge 2 to 20";"Mixed"
2;24;"Edge 2 to 24";"Mixed"
2;25;"Edge 2 to 25";"Mixed"
2;26;"Edge 2 to 26";"Mixed"
2;31;"Edge 2 to 31";"Mixed"
2;47;"Edge 2 to 47";"Mixed"
2;83;"Edge 2 to 83";"Mixed"
2;89;"Edge 2 to 89";"Mixed"
2;97;"Edge 2 to 97";"Mixed"
3;1;"Edge 3 to 1";"Mixed"
3;2;"Edge 3 to 2";"Mixed"
3;4;"Edge 3 to 4";"Mixed"
3;5;"Edge 3 to 5";"Mixed"
3;6;"Edge 3 to 6";"Mixed"
3;7;"Edge 3 to 7";"Mixed"
3;8;"Edge 3 to 8";"Mixed"
3;9;"Edge 3 to 9";"Mixed"
3;10;"Edge 3 to 10";"Mixed"
3;11;"Edge 3 to 11";"Mixed"
3;12;"Edge 3 to 12";"Mixed"
3;14;"Edge 3 to 14";"Mixed"
3;15;"Edge 3 to 15";"Mixed"
3;16;"Edge 3 to 16";"Mixed"
3;17;"Edge 3 to 17";"Mixed"
3;19;"Edge 3 to 19";"Mixed"
3;21;"Edge 3 to 21";"Mixed"
3;22;"Edge 3 to 22";"Mixed"
3;25;"Edge 3 to 25";"Mixed"
3;27;"Edge 3 to 27";"Mixed"
3;28;"Edge 3 to 28";"Mixed"
3;35;"Edge 3 to 35";"Mixed"
3;39;"Edge 3 to 39";"Mixed"
3;41;"Edge 3 to 41";"Mixed"
3;42;"Edge 3 to 42";"Mixed"
3;44;"Edge 3 to 44";"Mixed"
3;45;"Edge 3 to 45";"Mixed"
3;47;"Edge 3 to 47";"Mixed"
3;51;"Edge 3 to 51";"Mixed"
3;52;"Edge 3 to 52";"Mixed"
3;55;"Edge 3 to 55";"Mixed"
3;59;"Edge 3 to 59";"Mixed"
3;60;"Edge 3 to 60";"Mixed"
3;62;"Edge 3 to 62";"Mixed"
3;64;"Edge 3 to 64";"Mixed"
3;69;"Edge 3 to 69";"Mixed"
3;72;"Edge 3 to 72";"Mixed"
3;76;"Edge 3 to 76";"Mixed"
3;78;"Edge 3 to 78";"Mixed"
3;79;"Edge 3 to 79";"Mixed"
3;82;"Edge 3 to 82";"Mixed"
3;87;"Edge 3 to 87";"Mixed"
3;89;"Edge 3 to 89";"Mixed"
4;1;"Edge 4 to 1";"Mixed"
4;2;"Edge 4 to 2";"Mixed"
4;3;"Edge 4 to 3";"Mixed"
4;5;"Edge 4 to 5";"Mixed"
4;6;"Edge 4 to 6";"Mixed"
4;10;"Edge 4 to 10";"Mixed"
4;22;"Edge 4 to 22";"Mixed"
4;24;"Edge 4 to 24";"Mixed"
4;26;"Edge 4 to 26";"Mixed"
4;32;"Edge 4 to 32";"Mixed"
4;37;"Edge 4 to 37";"Mixed"
4;45;"Edge 4 to 45";"Mixed"
4;48;"Edge 4 to 48";"Mixed"
4;53;"Edge 4 to 53";"Mixed"
4;55;"Edge 4 to 55";"Mixed"
4;56;"Edge 4 to 56";"Mixed"
4;59;"Edge 4 to 59";"Mixed"
4;60;"Edge 4 to 60";"Mixed"
4;76;"Edge 4 to 76";"Mixed"
4;90;"Edge 4 to 90";"Mixed"
4;93;"Edge 4 to 93";"Mixed"
5;1;"Edge 5 to 1";"Mixed"
5;2;"Edge 5 to 2";"Mixed"
5;3;"Edge 5 to 3";"Mixed"
5;4;"Edge 5 to 4";"Mixed"
5;6;"Edge 5 to 6";"Mixed"
5;7;"Edge 5 to 7";"Mixed"
5;8;"Edge 5 to 8";"Mixed"
5;9;"Edge 5 to 9";"Mixed"
5;11;"Edge 5 to 11";"Mixed"
5;12;"Edge 5 to 12";"Mixed"
5;15;"Edge 5 to 15";"Mixed"
5;17;"Edge 5 to 17";"Mixed"
5;18;"Edge 5 to 18";"Mixed"
5;20;"Edge 5 to 20";"Mixed"
5;23;"Edge 5 to 23";"Mixed"
5;30;"Edge 5 to 30";"Mixed"
5;32;"Edge 5 to 32";"Mixed"
5;34;"Edge 5 to 34";"Mixed"
5;36;"Edge 5 to 36";"Mixed"
5;38;"Edge 5 to 38";"Mixed"
5;63;"Edge 5 to 63";"Mixed"
5;70;"Edge 5 to 70";"Mixed"
5;74;"Edge 5 to 74";"Mixed"
5;78;"Edge 5 to 78";"Mixed"
5;92;"Edge 5 to 92";"Mixed"
5;96;"Edge 5 to 96";"Mixed"
5;97;"Edge 5 to 97";"Mixed"
6;1;"Edge 6 to 1";"Mixed"
6;2;"Edge 6 to 2";"Mixed"
6;3;"Edge 6 to 3";"Mixed"
6;4;"Edge 6 to 4";"Mixed"
6;5;"Edge 6 to 5";"Mixed"
6;7;"Edge 6 to 7";"Mixed"
6;8;"Edge 6 to 8";"Mixed"
6;9;"Edge 6 to 9";"Mixed"
6;12;"Edge 6 to 12";"Mixed"
6;13;"Edge 6 to 13";"Mixed"
6;14;"Edge 6 to 14";"Mixed"
6;16;"Edge 6 to 16";"Mixed"
6;19;"Edge 6 to 19";"Mixed"
6;21;"Edge 6 to 21";"Mixed"
6;22;"Edge 6 to 22";"Mixed"
6;23;"Edge 6 to 23";"Mixed"
6;36;"Edge 6 to 36";"Mixed"
6;42;"Edge 6 to 42";"Mixed"
6;46;"Edge 6 to 46";"Mixed"
6;47;"Edge 6 to 47";"Mixed"
6;50;"Edge 6 to 50";"Mixed"
6;55;"Edge 6 to 55";"Mixed"
6;61;"Edge 6 to 61";"Mixed"
6;62;"Edge 6 to 62";"Mixed"
6;77;"Edge 6 to 77";"Mixed"
