Source,Target,Label,Type
1,2,"Edge 1 to 2","Mixed"
1,3,"Edge 1 to 3","Mixed"
1,4,"Edge 1 to 4","Mixed"
1,5,"Edge 1 to 5","Mixed"
1,6,"Edge 1 to 6","Mixed"
1,7,"Edge 1 to 7","Mixed"
1,8,"Edge 1 to 8","Mixed"
1,9,"Edge 1 to 9","Mixed"
1,10,"Edge 1 to 10","Mixed"
1,11,"Edge 1 to 11","Mixed"
1,13,"Edge 1 to 13","Mixed"
1,15,"Edge 1 to 15","Mixed"
1,19,"Edge 1 to 19","Mixed"
1,21,"Edge 1 to 21","Mixed"
1,26,"Edge 1 to 26","Mixed"
1,29,"Edge 1 to 29","Mixed"
1,30,"Edge 1 to 30","Mixed"
1,33,"Edge 1 to 33","Mixed"
1,35,"Edge 1 to 35","Mixed"
1,38,"Edge 1 to 38","Mixed"
1,39,"Edge 1 to 39","Mixed"
1,41,"Edge 1 to 41","Mixed"
1,45,"Edge 1 to 45","Mixed"
1,61,"Edge 1 to 61","Mixed"
1,64,"Edge 1 to 64","Mixed"
1,70,"Edge 1 to 70","Mixed"
1,71,"Edge 1 to 71","Mixed"
1,116,"Edge 1 to 116","Mixed"
2,1,"Edge 2 to 1","Mixed"
2,3,"Edge 2 to 3","Mixed"
2,4,"Edge 2 to 4","Mixed"
2,5,"Edge 2 to 5","Mixed"
2,6,"Edge 2 to 6","Mixed"
2,7,"Edge 2 to 7","Mixed"
2,8,"Edge 2 to 8","Mixed"
2,9,"Edge 2 to 9","Mixed"
2,10,"Edge 2 to 10","Mixed"
2,13,"Edge 2 to 13","Mixed"
2,14,"Edge 2 to 14","Mixed"
2,15,"Edge 2 to 15","Mixed"
2,17,"Edge 2 to 17","Mixed"
2,18,"Edge 2 to 18","Mixed"
2,22,"Edge 2 to 22","Mixed"
2,23,"Edge 2 to 23","Mixed"
2,30,"Edge 2 to 30","Mixed"
2,31,"Edge 2 to 31","Mixed"
2,41,"Edge 2 to 41","Mixed"
2,43,"Edge 2 to 43","Mixed"
2,47,"Edge 2 to 47","Mixed"
2,52,"Edge 2 to 52","Mixed"
2,53,"Edge 2 to 53","Mixed"
2,62,"Edge 2 to 62","Mixed"
2,67,"Edge 2 to 67","Mixed"
2,69,"Edge 2 to 69","Mixed"
2,76,"Edge 2 to 76","Mixed"
2,90,"Edge 2 to 90","Mixed"
2,97,"Edge 2 to 97","Mixed"
2,99,"Edge 2 to 99","Mixed"
2,101,"Edge 2 to 101","Mixed"
2,114,"Edge 2 to 114","Mixed"
2,123,"Edge 2 to 123","Mixed"
2,129,"Edge 2 to 129","Mixed"
3,1,"Edge 3 to 1","Mixed"
3,2,"Edge 3 to 2","Mixed"
3,4,"Edge 3 to 4","Mixed"
3,5,"Edge 3 to 5","Mixed"
3,6,"Edge 3 to 6","Mixed"
3,7,"Edge 3 to 7","Mixed"
3,8,"Edge 3 to 8","Mixed"
3,9,"Edge 3 to 9","Mixed"
3,10,"Edge 3 to 10","Mixed"
3,11,"Edge 3 to 11","Mixed"
3,12,"Edge 3 to 12","Mixed"
3,13,"Edge 3 to 13","Mixed"
3,14,"Edge 3 to 14","Mixed"
3,15,"Edge 3 to 15","Mixed"
3,16,"Edge 3 to 16","Mixed"
3,17,"Edge 3 to 17","Mixed"
3,23,"Edge 3 to 23","Mixed"
3,24,"Edge 3 to 24","Mixed"
3,32,"Edge 3 to 32","Mixed"
3,38,"Edge 3 to 38","Mixed"
3,42,"Edge 3 to 42","Mixed"
3,49,"Edge 3 to 49","Mixed"
3,58,"Edge 3 to 58","Mixed"
3,64,"Edge 3 to 64","Mixed"
3,70,"Edge 3 to 70","Mixed"
3,72,"Edge 3 to 72","Mixed"
3,77,"Edge 3 to 77","Mixed"
3,78,"Edge 3 to 78","Mixed"
3,85,"Edge 3 to 85","Mixed"
3,87,"Edge 3 to 87","Mixed"
3,90,"Edge 3 to 90","Mixed"
4,1,"Edge 4 to 1","Mixed"
4,2,"Edge 4 to 2","Mixed"
4,3,"Edge 4 to 3","Mixed"
4,5,"Edge 4 to 5","Mixed"
4,6,"Edge 4 to 6","Mixed"
4,7,"Edge 4 to 7","Mixed"
4,8,"Edge 4 to 8","Mixed"
4,9,"Edge 4 to 9","Mixed"
4,10,"Edge 4 to 10","Mixed"
4,12,"Edge 4 to 12","Mixed"
4,14,"Edge 4 to 14","Mixed"
4,15,"Edge 4 to 15","Mixed"
4,16,"Edge 4 to 16","Mixed"
4,19,"Edge 4 to 19","Mixed"
4,20,"Edge 4 to 20","Mixed"
4,27,"Edge 4 to 27","Mixed"
4,29,"Edge 4 to 29","Mixed"
4,31,"Edge 4 to 31","Mixed"
4,34,"Edge 4 to 34","Mixed"
4,37,"Edge 4 to 37","Mixed"
4,40,"Edge 4 to 40","Mixed"
4,47,"Edge 4 to 47","Mixed"
4,54,"Edge 4 to 54","Mixed"
4,56,"Edge 4 to 56","Mixed"
4,82,"Edge 4 to 82","Mixed"
4,88,"Edge 4 to 88","Mixed"
4,102,"Edge 4 to 102","Mixed"
4,108,"Edge 4 to 108","Mixed"
5,1,"Edge 5 to 1","Mixed"
5,2,"Edge 5 to 2","Mixed"
5,3,"Edge 5 to 3","Mixed"
5,4,"Edge 5 to 4","Mixed"
5,6,"Edge 5 to 6","Mixed"
5,7,"Edge 5 to 7","Mixed"
5,8,"Edge 5 to 8","Mixed"
5,9,"Edge 5 to 9","Mixed"
5,10,"Edge 5 to 10","Mixed"
5,12,"Edge 5 to 12","Mixed"
5,13,"Edge 5 to 13","Mixed"
5,14,"Edge 5 to 14","Mixed"
5,16,"Edge 5 to 16","Mixed"
5,17,"Edge 5 to 17","Mixed"
5,18,"Edge 5 to 18","Mixed"
5,21,"Edge 5 to 21","Mixed"
5,23,"Edge 5 to 23","Mixed"
5,27,"Edge 5 to 27","Mixed"
5,35,"Edge 5 to 35","Mixed"
5,38,"Edge 5 to 38","Mixed"
5,40,"Edge 5 to 40","Mixed"
5,45,"Edge 5 to 45","Mixed"
5,50,"Edge 5 to 50","Mixed"
5,52,"Edge 5 to 52","Mixed"
5,67,"Edge 5 to 67","Mixed"
5,69,"Edge 5 to 69","Mixed"
5,73,"Edge 5 to 73","Mixed"
5,74,"Edge 5 to 74","Mixed"
5,97,"Edge 5 to 97","Mixed"
5,110,"Edge 5 to 110","Mixed"
5,115,"Edge 5 to 115","Mixed"
5,124,"Edge 5 to 124","Mixed"
5,125,"Edge 5 to 125","Mixed"
6,1,"Edge 6 to 1","Mixed"
6,2,"Edge 6 to 2","Mixed"
6,3,"Edge 6 to 3","Mixed"
6,4,"Edge 6 to 4","Mixed"
6,5,"Edge 6 to 5","Mixed"
6,11,"Edge 6 to 11","Mixed"
6,25,"Edge 6 to 25","Mixed"
6,28,"Edge 6 to 28","Mixed"
6,52,"Edge 6 to 52","Mixed"
6,54,"Edge 6 to 54","Mixed"
6,69,"Edge 6 to 69","Mixed"
6,75,"Edge 6 to 75","Mixed"
7,1,"Edge 7 to 1","Mixed"
7,2,"Edge 7 to 2","Mixed"
7,3,"Edge 7 to 3","Mixed"
7,4,"Edge 7 to 4","Mixed"
