Source,Target,Weight,Type,Start,End,Label
1,2,1,"undirected",1,52,"node 1 to 2"
1,3,1,"undirected",1,52,"node 1 to 3"
1,4,1,"undirected",1,52,"node 1 to 4"
1,5,1,"undirected",1,52,"node 1 to 5"
1,6,1,"undirected",1,52,"node 1 to 6"
1,9,1,"undirected",1,52,"node 1 to 9"
1,10,1,"undirected",1,52,"node 1 to 10"
1,12,1,"undirected",1,52,"node 1 to 12"
1,13,1,"undirected",1,52,"node 1 to 13"
1,14,1,"undirected",1,52,"node 1 to 14"
1,16,1,"undirected",1,52,"node 1 to 16"
1,17,1,"undirected",1,52,"node 1 to 17"
1,18,1,"undirected",1,52,"node 1 to 18"
1,19,1,"undirected",1,52,"node 1 to 19"
1,20,1,"undirected",1,52,"node 1 to 20"
1,23,1,"undirected",1,52,"node 1 to 23"
1,25,1,"undirected",1,52,"node 1 to 25"
1,50,1,"undirected",1,52,"node 1 to 50"
1,58,1,"undirected",1,52,"node 1 to 58"
1,59,1,"undirected",1,52,"node 1 to 59"
1,64,1,"undirected",1,52,"node 1 to 64"
1,69,1,"undirected",1,52,"node 1 to 69"
1,72,1,"undirected",1,52,"node 1 to 72"
1,73,1,"undirected",1,52,"node 1 to 73"
1,86,1,"undirected",1,52,"node 1 to 86"
1,98,1,"undirected",1,52,"node 1 to 98"
1,99,1,"undirected",1,52,"node 1 to 99"
2,1,1,"undirected",1,52,"node 2 to 1"
2,3,1,"undirected",1,52,"node 2 to 3"
2,4,1,"undirected",1,52,"node 2 to 4"
2,5,1,"undirected",1,52,"node 2 to 5"
2,6,1,"undirected",1,52,"node 2 to 6"
2,7,1,"undirected",1,52,"node 2 to 7"
2,8,1,"undirected",1,52,"node 2 to 8"
2,9,1,"undirected",1,52,"node 2 to 9"
2,10,1,"undirected",1,52,"node 2 to 10"
2,11,1,"undirected",1,52,"node 2 to 11"
2,12,1,"undirected",1,52,"node 2 to 12"
2,13,1,"undirected",1,52,"node 2 to 13"
2,14,1,"undirected",1,52,"node 2 to 14"
2,15,1,"undirected",1,52,"node 2 to 15"
2,16,1,"undirected",1,52,"node 2 to 16"
2,17,1,"undirected",1,52,"node 2 to 17"
2,18,1,"undirected",1,52,"node 2 to 18"
2,20,1,"undirected",1,52,"node 2 to 20"
2,21,1,"undirected",1,52,"node 2 to 21"
2,23,1,"undirected",1,52,"node 2 to 23"
2,24,1,"undirected",1,52,"node 2 to 24"
2,25,1,"undirected",1,52,"node 2 to 25"
2,26,1,"undirected",1,52,"node 2 to 26"
2,29,1,"undirected",1,52,"node 2 to 29"
2,30,1,"undirected",1,52,"node 2 to 30"
2,31,1,"undirected",1,52,"node 2 to 31"
2,32,1,"undirected",1,52,"node 2 to 32"
2,34,1,"undirected",1,52,"node 2 to 34"
2,36,1,"undirected",1,52,"node 2 to 36"
2,37,1,"undirected",1,52,"node 2 to 37"
2,38,1,"undirected",1,52,"node 2 to 38"
2,39,1,"undirected",1,52,"node 2 to 39"
2,40,1,"undirected",1,52,"node 2 to 40"
2,41,1,"undirected",1,52,"node 2 to 41"
2,42,1,"undirected",1,52,"node 2 to 42"
2,43,1,"undirected",1,52,"node 2 to 43"
2,44,1,"undirected",1,52,"node 2 to 44"
2,45,1,"undirected",1,52,"node 2 to 45"
2,46,1,"undirected",1,52,"node 2 to 46"
2,48,1,"undirected",1,52,"node 2 to 48"
2,50,1,"undirected",1,52,"node 2 to 50"
2,51,1,"undirected",1,52,"node 2 to 51"
2,52,1,"undirected",1,52,"node 2 to 52"
2,53,1,"undirected",1,52,"node 2 to 53"
2,54,1,"undirected",1,52,"node 2 to 54"
2,55,1,"undirected",1,52,"node 2 to 55"
2,57,1,"undirected",1,52,"node 2 to 57"
2,59,1,"undirected",1,52,"node 2 to 59"
2,62,1,"undirected",1,52,"node 2 to 62"
2,63,1,"undirected",1,52,"node 2 to 63"
2,65,1,"undirected",1,52,"node 2 to 65"
2,67,1,"undirected",1,52,"node 2 to 67"
2,68,1,"undirected",1,52,"node 2 to 68"
2,69,1,"undirected",1,52,"node 2 to 69"
2,70,1,"undirected",1,52,"node 2 to 70"
2,71,1,"undirected",1,52,"node 2 to 71"
2,72,1,"undirected",1,52,"node 2 to 72"
2,74,1,"undirected",1,52,"node 2 to 74"
2,77,1,"undirected",1,52,"node 2 to 77"
2,80,1,"undirected",1,52,"node 2 to 80"
2,85,1,"undirected",1,52,"node 2 to 85"
2,86,1,"undirected",1,52,"node 2 to 86"
2,90,1,"undirected",1,52,"node 2 to 90"
2,91,1,"undirected",1,52,"node 2 to 91"
2,92,1,"undirected",1,52,"node 2 to 92"
2,94,1,"undirected",1,52,"node 2 to 94"
2,102,1,"undirected",1,52,"node 2 to 102"
2,103,1,"undirected",1,52,"node 2 to 103"
3,1,1,"undirected",2,52,"node 3 to 1"
3,2,1,"undirected",2,52,"node 3 to 2"
3,43,1,"undirected",2,52,"node 3 to 43"
3,57,1,"undirected",2,52,"node 3 to 57"
4,1,1,"undirected",2,52,"node 4 to 1"
4,2,1,"undirected",2,52,"node 4 to 2"
4,7,1,"undirected",2,52,"node 4 to 7"
4,8,1,"undirected",2,52,"node 4 to 8"
4,22,1,"undirected",2,52,"node 4 to 22"
4,47,1,"undirected",2,52,"node 4 to 47"
4,66,1,"undirected",2,52,"node 4 to 66"
5,1,1,"undirected",3,52,"node 5 to 1"
5,2,1,"undirected",3,52,"node 5 to 2"
5,15,1,"undirected",3,52,"node 5 to 15"
5,35,1,"undirected",3,52,"node 5 to 35"
6,1,1,"undirected",3,52,"node 6 to 1"
6,2,1,"undirected",3,52,"node 6 to 2"
6,24,1,"undirected",3,52,"node 6 to 24"
6,28,1,"undirected",3,52,"node 6 to 28"
6,29,1,"undirected",3,52,"node 6 to 29"
6,32,1,"undirected",3,52,"node 6 to 32"
6,71,1,"undirected",3,52,"node 6 to 71"
6,100,1,"undirected",3,52,"node 6 to 100"
7,2,1,"undirected",4,52,"node 7 to 2"
7,4,1,"undirected",4,52,"node 7 to 4"
7,8,1,"undirected",4,52,"node 7 to 8"
7,9,1,"undirected",4,52,"node 7 to 9"
7,11,1,"undirected",4,52,"node 7 to 11"
7,15,1,"undirected",4,52,"node 7 to 15"
7,16,1,"undirected",4,52,"node 7 to 16"
7,19,1,"undirected",4,52,"node 7 to 19"
7,29,1,"undirected",4,52,"node 7 to 29"
7,33,1,"undirected",4,52,"node 7 to 33"
7,36,1,"undirected",4,52,"node 7 to 36"
7,43,1,"undirected",4,52,"node 7 to 43"
7,73,1,"undirected",4,52,"node 7 to 73"
7,74,1,"undirected",4,52,"node 7 to 74"
7,76,1,"undirected",4,52,"node 7 to 76"
7,77,1,"undirected",4,52,"node 7 to 77"
7,87,1,"undirected",4,52,"node 7 to 87"
7,88,1,"undirected",4,52,"node 7 to 88"
8,2,1,"undirected",4,52,"node 8 to 2"
8,4,1,"undirected",4,52,"node 8 to 4"
8,7,1,"undirected",4,52,"node 8 to 7"
8,28,1,"undirected",4,52,"node 8 to 28"
8,33,1,"undirected",4,52,"node 8 to 33"
8,37,1,"undirected",4,52,"node 8 to 37"
8,45,1,"undirected",4,52,"node 8 to 45"
8,50,1,"undirected",4,52,"node 8 to 50"
8,87,1,"undirected",4,52,"node 8 to 87"
8,89,1,"undirected",4,52,"node 8 to 89"
9,1,1,"undirected",5,52,"node 9 to 1"
9,2,1,"undirected",5,52,"node 9 to 2"
9,7,1,"undirected",5,52,"node 9 to 7"
9,14,1,"undirected",5,52,"node 9 to 14"
9,30,1,"undirected",5,52,"node 9 to 30"
9,68,1,"undirected",5,52,"node 9 to 68"
9,103,1,"undirected",5,52,"node 9 to 103"
10,1,1,"undirected",5,52,"node 10 to 1"
10,2,1,"undirected",5,52,"node 10 to 2"
10,40,1,"undirected",5,52,"node 10 to 40"
10,63,1,"undirected",5,52,"node 10 to 63"
11,2,1,"undirected",6,52,"node 11 to 2"
11,7,1,"undirected",6,52,"node 11 to 7"
11,18,1,"undirected",6,52,"node 11 to 18"
11,27,1,"undirected",6,52,"node 11 to 27"
11,30,1,"undirected",6,52,"node 11 to 30"
11,49,1,"undirected",6,52,"node 11 to 49"
11,63,1,"undirected",6,52,"node 11 to 63"
11,79,1,"undirected",6,52,"node 11 to 79"
11,89,1,"undirected",6,52,"node 11 to 89"
11,98,1,"undirected",6,52,"node 11 to 98"
12,1,1,"undirected",6,52,"node 12 to 1"
12,2,1,"undirected",6,52,"node 12 to 2"
12,22,1,"undirected",6,52,"node 12 to 22"
13,1,1,"undirected",7,52,"node 13 to 1"
13,2,1,"undirected",7,52,"node 13 to 2"
13,41,1,"undirected",7,52,"node 13 to 41"
13,53,1,"undirected",7,52,"node 13 to 53"
13,75,1,"undirected",7,52,"node 13 to 75"
14,1,1,"undirected",7,52,"node 14 to 1"
14,2,1,"undirected",7,52,"node 14 to 2"
14,9,1,"undirected",7,52,"node 14 to 9"
14,20,1,"undirected",7,52,"node 14 to 20"
14,21,1,"undirected",7,52,"node 14 to 21"
14,26,1,"undirected",7,52,"node 14 to 26"
14,42,1,"undirected",7,52,"node 14 to 42"
14,67,1,"undirected",7,52,"node 14 to 67"
15,2,1,"undirected",8,52,"node 15 to 2"
15,5,1,"undirected",8,52,"node 15 to 5"
15,7,1,"undirected",8,52,"node 15 to 7"
15,34,1,"undirected",8,52,"node 15 to 34"
15,75,1,"undirected",8,52,"node 15 to 75"
16,1,1,"undirected",8,52,"node 16 to 1"
16,2,1,"undirected",8,52,"node 16 to 2"
16,7,1,"undirected",8,52,"node 16 to 7"
16,37,1,"undirected",8,52,"node 16 to 37"
16,56,1,"undirected",8,52,"node 16 to 56"
17,1,1,"undirected",9,52,"node 17 to 1"
17,2,1,"undirected",9,52,"node 17 to 2"
17,23,1,"undirected",9,52,"node 17 to 23"
18,1,1,"undirected",9,52,"node 18 to 1"
18,2,1,"undirected",9,52,"node 18 to 2"
18,11,1,"undirected",9,52,"node 18 to 11"
18,27,1,"undirected",9,52,"node 18 to 27"
18,34,1,"undirected",9,52,"node 18 to 34"
18,36,1,"undirected",9,52,"node 18 to 36"
18,38,1,"undirected",9,52,"node 18 to 38"
18,41,1,"undirected",9,52,"node 18 to 41"
18,81,1,"undirected",9,52,"node 18 to 81"
19,1,1,"undirected",10,52,"node 19 to 1"
19,7,1,"undirected",10,52,"node 19 to 7"
20,1,1,"undirected",10,52,"node 20 to 1"
20,2,1,"undirected",10,52,"node 20 to 2"
20,14,1,"undirected",10,52,"node 20 to 14"
20,24,1,"undirected",10,52,"node 20 to 24"
20,35,1,"undirected",10,52,"node 20 to 35"
20,48,1,"undirected",10,52,"node 20 to 48"
20,85,1,"undirected",10,52,"node 20 to 85"
21,2,1,"undirected",11,52,"node 21 to 2"
21,14,1,"undirected",11,52,"node 21 to 14"
22,4,1,"undirected",11,52,"node 22 to 4"
22,12,1,"undirected",11,52,"node 22 to 12"
23,1,1,"undirected",12,52,"node 23 to 1"
23,2,1,"undirected",12,52,"node 23 to 2"
23,17,1,"undirected",12,52,"node 23 to 17"
23,101,1,"undirected",12,52,"node 23 to 101"
24,2,1,"undirected",12,52,"node 24 to 2"
24,6,1,"undirected",12,52,"node 24 to 6"
24,20,1,"undirected",12,52,"node 24 to 20"
24,51,1,"undirected",12,52,"node 24 to 51"
24,71,1,"undirected",12,52,"node 24 to 71"
25,1,1,"undirected",13,52,"node 25 to 1"
25,2,1,"undirected",13,52,"node 25 to 2"
25,39,1,"undirected",13,52,"node 25 to 39"
26,2,1,"undirected",13,52,"node 26 to 2"
26,14,1,"undirected",13,52,"node 26 to 14"
26,31,1,"undirected",13,52,"node 26 to 31"
26,44,1,"undirected",13,52,"node 26 to 44"
26,52,1,"undirected",13,52,"node 26 to 52"
26,93,1,"undirected",13,52,"node 26 to 93"
26,97,1,"undirected",13,52,"node 26 to 97"
27,11,1,"undirected",14,52,"node 27 to 11"
27,18,1,"undirected",14,52,"node 27 to 18"
28,6,1,"undirected",14,52,"node 28 to 6"
28,8,1,"undirected",14,52,"node 28 to 8"
29,2,1,"undirected",15,52,"node 29 to 2"
29,6,1,"undirected",15,52,"node 29 to 6"
29,7,1,"undirected",15,52,"node 29 to 7"
29,49,1,"undirected",15,52,"node 29 to 49"
30,2,1,"undirected",15,52,"node 30 to 2"
30,9,1,"undirected",15,52,"node 30 to 9"
30,11,1,"undirected",15,52,"node 30 to 11"
30,47,1,"undirected",15,52,"node 30 to 47"
30,52,1,"undirected",15,52,"node 30 to 52"
31,2,1,"undirected",16,52,"node 31 to 2"
31,26,1,"undirected",16,52,"node 31 to 26"
31,65,1,"undirected",16,52,"node 31 to 65"
31,94,1,"undirected",16,52,"node 31 to 94"
32,2,1,"undirected",16,52,"node 32 to 2"
32,6,1,"undirected",16,52,"node 32 to 6"
32,57,1,"undirected",16,52,"node 32 to 57"
33,7,1,"undirected",17,52,"node 33 to 7"
33,8,1,"undirected",17,52,"node 33 to 8"
34,2,1,"undirected",17,52,"node 34 to 2"
34,15,1,"undirected",17,52,"node 34 to 15"
34,18,1,"undirected",17,52,"node 34 to 18"
34,46,1,"undirected",17,52,"node 34 to 46"
35,5,1,"undirected",18,52,"node 35 to 5"
35,20,1,"undirected",18,52,"node 35 to 20"
