Source,Target,Label,Type
1,2,"Edge 1 to 2","Mixed"
1,3,"Edge 1 to 3","Mixed"
1,4,"Edge 1 to 4","Mixed"
1,5,"Edge 1 to 5","Mixed"
1,6,"Edge 1 to 6","Mixed"
1,7,"Edge 1 to 7","Mixed"
1,8,"Edge 1 to 8","Mixed"
1,9,"Edge 1 to 9","Mixed"
1,15,"Edge 1 to 15","Mixed"
1,19,"Edge 1 to 19","Mixed"
1,20,"Edge 1 to 20","Mixed"
1,23,"Edge 1 to 23","Mixed"
1,30,"Edge 1 to 30","Mixed"
1,33,"Edge 1 to 33","Mixed"
1,38,"Edge 1 to 38","Mixed"
1,45,"Edge 1 to 45","Mixed"
1,48,"Edge 1 to 48","Mixed"
1,49,"Edge 1 to 49","Mixed"
1,58,"Edge 1 to 58","Mixed"
1,59,"Edge 1 to 59","Mixed"
1,64,"Edge 1 to 64","Mixed"
1,76,"Edge 1 to 76","Mixed"
1,80,"Edge 1 to 80","Mixed"
1,82,"Edge 1 to 82","Mixed"
1,87,"Edge 1 to 87","Mixed"
1,88,"Edge 1 to 88","Mixed"
1,95,"Edge 1 to 95","Mixed"
1,102,"Edge 1 to 102","Mixed"
1,103,"Edge 1 to 103","Mixed"
1,104,"Edge 1 to 104","Mixed"
1,120,"Edge 1 to 120","Mixed"
1,121,"Edge 1 to 121","Mixed"
1,122,"Edge 1 to 122","Mixed"
1,124,"Edge 1 to 124","Mixed"
2,1,"Edge 2 to 1","Mixed"
2,3,"Edge 2 to 3","Mixed"
2,4,"Edge 2 to 4","Mixed"
2,5,"Edge 2 to 5","Mixed"
2,6,"Edge 2 to 6","Mixed"
2,7,"Edge 2 to 7","Mixed"
2,8,"Edge 2 to 8","Mixed"
2,9,"Edge 2 to 9","Mixed"
2,10,"Edge 2 to 10","Mixed"
2,11,"Edge 2 to 11","Mixed"
2,12,"Edge 2 to 12","Mixed"
2,13,"Edge 2 to 13","Mixed"
2,14,"Edge 2 to 14","Mixed"
2,15,"Edge 2 to 15","Mixed"
2,16,"Edge 2 to 16","Mixed"
2,17,"Edge 2 to 17","Mixed"
2,18,"Edge 2 to 18","Mixed"
2,19,"Edge 2 to 19","Mixed"
2,20,"Edge 2 to 20","Mixed"
2,21,"Edge 2 to 21","Mixed"
2,22,"Edge 2 to 22","Mixed"
2,23,"Edge 2 to 23","Mixed"
2,24,"Edge 2 to 24","Mixed"
2,25,"Edge 2 to 25","Mixed"
2,26,"Edge 2 to 26","Mixed"
2,27,"Edge 2 to 27","Mixed"
2,28,"Edge 2 to 28","Mixed"
2,29,"Edge 2 to 29","Mixed"
2,30,"Edge 2 to 30","Mixed"
2,31,"Edge 2 to 31","Mixed"
2,32,"Edge 2 to 32","Mixed"
2,33,"Edge 2 to 33","Mixed"
2,35,"Edge 2 to 35","Mixed"
2,36,"Edge 2 to 36","Mixed"
2,37,"Edge 2 to 37","Mixed"
2,38,"Edge 2 to 38","Mixed"
2,39,"Edge 2 to 39","Mixed"
2,42,"Edge 2 to 42","Mixed"
2,43,"Edge 2 to 43","Mixed"
2,44,"Edge 2 to 44","Mixed"
2,45,"Edge 2 to 45","Mixed"
2,46,"Edge 2 to 46","Mixed"
2,47,"Edge 2 to 47","Mixed"
2,48,"Edge 2 to 48","Mixed"
2,49,"Edge 2 to 49","Mixed"
2,51,"Edge 2 to 51","Mixed"
2,52,"Edge 2 to 52","Mixed"
2,53,"Edge 2 to 53","Mixed"
2,54,"Edge 2 to 54","Mixed"
2,55,"Edge 2 to 55","Mixed"
2,56,"Edge 2 to 56","Mixed"
2,57,"Edge 2 to 57","Mixed"
2,58,"Edge 2 to 58","Mixed"
2,60,"Edge 2 to 60","Mixed"
2,61,"Edge 2 to 61","Mixed"
2,62,"Edge 2 to 62","Mixed"
2,63,"Edge 2 to 63","Mixed"
2,64,"Edge 2 to 64","Mixed"
2,66,"Edge 2 to 66","Mixed"
2,67,"Edge 2 to 67","Mixed"
2,68,"Edge 2 to 68","Mixed"
2,69,"Edge 2 to 69","Mixed"
2,70,"Edge 2 to 70","Mixed"
2,71,"Edge 2 to 71","Mixed"
2,73,"Edge 2 to 73","Mixed"
2,74,"Edge 2 to 74","Mixed"
2,75,"Edge 2 to 75","Mixed"
2,76,"Edge 2 to 76","Mixed"
2,77,"Edge 2 to 77","Mixed"
2,78,"Edge 2 to 78","Mixed"
2,79,"Edge 2 to 79","Mixed"
2,81,"Edge 2 to 81","Mixed"
2,82,"Edge 2 to 82","Mixed"
2,83,"Edge 2 to 83","Mixed"
2,86,"Edge 2 to 86","Mixed"
2,87,"Edge 2 to 87","Mixed"
2,88,"Edge 2 to 88","Mixed"
2,89,"Edge 2 to 89","Mixed"
2,90,"Edge 2 to 90","Mixed"
2,91,"Edge 2 to 91","Mixed"
2,92,"Edge 2 to 92","Mixed"
2,93,"Edge 2 to 93","Mixed"
2,94,"Edge 2 to 94","Mixed"
2,101,"Edge 2 to 101","Mixed"
2,104,"Edge 2 to 104","Mixed"
2,107,"Edge 2 to 107","Mixed"
2,111,"Edge 2 to 111","Mixed"
2,114,"Edge 2 to 114","Mixed"
2,115,"Edge 2 to 115","Mixed"
2,116,"Edge 2 to 116","Mixed"
2,118,"Edge 2 to 118","Mixed"
2,120,"Edge 2 to 120","Mixed"
2,121,"Edge 2 to 121","Mixed"
2,124,"Edge 2 to 124","Mixed"
2,125,"Edge 2 to 125","Mixed"
3,1,"Edge 3 to 1","Mixed"
3,2,"Edge 3 to 2","Mixed"
3,4,"Edge 3 to 4","Mixed"
3,5,"Edge 3 to 5","Mixed"
3,8,"Edge 3 to 8","Mixed"
3,12,"Edge 3 to 12","Mixed"
3,15,"Edge 3 to 15","Mixed"
3,18,"Edge 3 to 18","Mixed"
3,23,"Edge 3 to 23","Mixed"
3,26,"Edge 3 to 26","Mixed"
3,32,"Edge 3 to 32","Mixed"
3,34,"Edge 3 to 34","Mixed"
3,40,"Edge 3 to 40","Mixed"
3,46,"Edge 3 to 46","Mixed"
3,50,"Edge 3 to 50","Mixed"
3,51,"Edge 3 to 51","Mixed"
3,56,"Edge 3 to 56","Mixed"
3,57,"Edge 3 to 57","Mixed"
3,63,"Edge 3 to 63","Mixed"
3,75,"Edge 3 to 75","Mixed"
3,77,"Edge 3 to 77","Mixed"
3,97,"Edge 3 to 97","Mixed"
3,107,"Edge 3 to 107","Mixed"
4,1,"Edge 4 to 1","Mixed"
4,2,"Edge 4 to 2","Mixed"
4,3,"Edge 4 to 3","Mixed"
4,5,"Edge 4 to 5","Mixed"
4,7,"Edge 4 to 7","Mixed"
4,9,"Edge 4 to 9","Mixed"
4,12,"Edge 4 to 12","Mixed"
4,14,"Edge 4 to 14","Mixed"
4,15,"Edge 4 to 15","Mixed"
4,17,"Edge 4 to 17","Mixed"
4,32,"Edge 4 to 32","Mixed"
4,35,"Edge 4 to 35","Mixed"
4,39,"Edge 4 to 39","Mixed"
4,42,"Edge 4 to 42","Mixed"
5,1,"Edge 5 to 1","Mixed"
5,2,"Edge 5 to 2","Mixed"
5,3,"Edge 5 to 3","Mixed"
5,4,"Edge 5 to 4","Mixed"
