Source,Target,Label,Type
1,2,"Edge 1 to 2","Undirected"
1,3,"Edge 1 to 3","Undirected"
1,4,"Edge 1 to 4","Undirected"
1,5,"Edge 1 to 5","Undirected"
1,6,"Edge 1 to 6","Undirected"
1,7,"Edge 1 to 7","Undirected"
1,8,"Edge 1 to 8","Undirected"
1,9,"Edge 1 to 9","Undirected"
1,10,"Edge 1 to 10","Undirected"
1,11,"Edge 1 to 11","Undirected"
1,12,"Edge 1 to 12","Undirected"
1,13,"Edge 1 to 13","Undirected"
1,14,"Edge 1 to 14","Undirected"
1,15,"Edge 1 to 15","Undirected"
1,16,"Edge 1 to 16","Undirected"
1,17,"Edge 1 to 17","Undirected"
1,18,"Edge 1 to 18","Undirected"
1,19,"Edge 1 to 19","Undirected"
1,20,"Edge 1 to 20","Undirected"
1,22,"Edge 1 to 22","Undirected"
1,23,"Edge 1 to 23","Undirected"
1,25,"Edge 1 to 25","Undirected"
1,26,"Edge 1 to 26","Undirected"
1,27,"Edge 1 to 27","Undirected"
1,28,"Edge 1 to 28","Undirected"
1,29,"Edge 1 to 29","Undirected"
1,35,"Edge 1 to 35","Undirected"
1,37,"Edge 1 to 37","Undirected"
1,39,"Edge 1 to 39","Undirected"
1,40,"Edge 1 to 40","Undirected"
1,41,"Edge 1 to 41","Undirected"
1,42,"Edge 1 to 42","Undirected"
1,43,"Edge 1 to 43","Undirected"
1,46,"Edge 1 to 46","Undirected"
1,47,"Edge 1 to 47","Undirected"
1,48,"Edge 1 to 48","Undirected"
1,50,"Edge 1 to 50","Undirected"
1,54,"Edge 1 to 54","Undirected"
1,56,"Edge 1 to 56","Undirected"
1,58,"Edge 1 to 58","Undirected"
1,61,"Edge 1 to 61","Undirected"
1,62,"Edge 1 to 62","Undirected"
1,64,"Edge 1 to 64","Undirected"
1,70,"Edge 1 to 70","Undirected"
1,71,"Edge 1 to 71","Undirected"
1,74,"Edge 1 to 74","Undirected"
1,75,"Edge 1 to 75","Undirected"
1,80,"Edge 1 to 80","Undirected"
1,85,"Edge 1 to 85","Undirected"
1,88,"Edge 1 to 88","Undirected"
1,97,"Edge 1 to 97","Undirected"
1,104,"Edge 1 to 104","Undirected"
1,105,"Edge 1 to 105","Undirected"
1,107,"Edge 1 to 107","Undirected"
1,111,"Edge 1 to 111","Undirected"
1,117,"Edge 1 to 117","Undirected"
1,120,"Edge 1 to 120","Undirected"
1,123,"Edge 1 to 123","Undirected"
1,124,"Edge 1 to 124","Undirected"
1,140,"Edge 1 to 140","Undirected"
1,143,"Edge 1 to 143","Undirected"
1,146,"Edge 1 to 146","Undirected"
1,147,"Edge 1 to 147","Undirected"
1,148,"Edge 1 to 148","Undirected"
1,154,"Edge 1 to 154","Undirected"
1,155,"Edge 1 to 155","Undirected"
1,162,"Edge 1 to 162","Undirected"
1,164,"Edge 1 to 164","Undirected"
1,166,"Edge 1 to 166","Undirected"
1,173,"Edge 1 to 173","Undirected"
1,178,"Edge 1 to 178","Undirected"
1,183,"Edge 1 to 183","Undirected"
1,186,"Edge 1 to 186","Undirected"
1,194,"Edge 1 to 194","Undirected"
1,198,"Edge 1 to 198","Undirected"
1,203,"Edge 1 to 203","Undirected"
1,207,"Edge 1 to 207","Undirected"
1,211,"Edge 1 to 211","Undirected"
1,212,"Edge 1 to 212","Undirected"
1,222,"Edge 1 to 222","Undirected"
1,223,"Edge 1 to 223","Undirected"
1,226,"Edge 1 to 226","Undirected"
1,237,"Edge 1 to 237","Undirected"
1,238,"Edge 1 to 238","Undirected"
1,239,"Edge 1 to 239","Undirected"
1,247,"Edge 1 to 247","Undirected"
1,251,"Edge 1 to 251","Undirected"
1,258,"Edge 1 to 258","Undirected"
1,262,"Edge 1 to 262","Undirected"
1,267,"Edge 1 to 267","Undirected"
1,268,"Edge 1 to 268","Undirected"
1,280,"Edge 1 to 280","Undirected"
1,299,"Edge 1 to 299","Undirected"
1,315,"Edge 1 to 315","Undirected"
1,320,"Edge 1 to 320","Undirected"
1,324,"Edge 1 to 324","Undirected"
1,330,"Edge 1 to 330","Undirected"
1,352,"Edge 1 to 352","Undirected"
1,357,"Edge 1 to 357","Undirected"
1,362,"Edge 1 to 362","Undirected"
1,366,"Edge 1 to 366","Undirected"
1,420,"Edge 1 to 420","Undirected"
1,422,"Edge 1 to 422","Undirected"
1,427,"Edge 1 to 427","Undirected"
1,430,"Edge 1 to 430","Undirected"
1,433,"Edge 1 to 433","Undirected"
1,445,"Edge 1 to 445","Undirected"
1,449,"Edge 1 to 449","Undirected"
1,452,"Edge 1 to 452","Undirected"
1,459,"Edge 1 to 459","Undirected"
1,473,"Edge 1 to 473","Undirected"
1,488,"Edge 1 to 488","Undirected"
1,498,"Edge 1 to 498","Undirected"
1,516,"Edge 1 to 516","Undirected"
1,521,"Edge 1 to 521","Undirected"
1,534,"Edge 1 to 534","Undirected"
1,538,"Edge 1 to 538","Undirected"
1,562,"Edge 1 to 562","Undirected"
1,563,"Edge 1 to 563","Undirected"
1,576,"Edge 1 to 576","Undirected"
1,577,"Edge 1 to 577","Undirected"
1,585,"Edge 1 to 585","Undirected"
1,590,"Edge 1 to 590","Undirected"
1,595,"Edge 1 to 595","Undirected"
1,600,"Edge 1 to 600","Undirected"
1,605,"Edge 1 to 605","Undirected"
1,614,"Edge 1 to 614","Undirected"
1,623,"Edge 1 to 623","Undirected"
1,627,"Edge 1 to 627","Undirected"
1,632,"Edge 1 to 632","Undirected"
1,649,"Edge 1 to 649","Undirected"
1,657,"Edge 1 to 657","Undirected"
1,678,"Edge 1 to 678","Undirected"
1,705,"Edge 1 to 705","Undirected"
1,711,"Edge 1 to 711","Undirected"
1,714,"Edge 1 to 714","Undirected"
1,721,"Edge 1 to 721","Undirected"
1,733,"Edge 1 to 733","Undirected"
1,738,"Edge 1 to 738","Undirected"
1,740,"Edge 1 to 740","Undirected"
1,742,"Edge 1 to 742","Undirected"
1,757,"Edge 1 to 757","Undirected"
1,780,"Edge 1 to 780","Undirected"
1,788,"Edge 1 to 788","Undirected"
1,792,"Edge 1 to 792","Undirected"
1,805,"Edge 1 to 805","Undirected"
1,811,"Edge 1 to 811","Undirected"
1,812,"Edge 1 to 812","Undirected"
1,834,"Edge 1 to 834","Undirected"
1,842,"Edge 1 to 842","Undirected"
1,845,"Edge 1 to 845","Undirected"
1,865,"Edge 1 to 865","Undirected"
1,884,"Edge 1 to 884","Undirected"
1,885,"Edge 1 to 885","Undirected"
1,887,"Edge 1 to 887","Undirected"
1,889,"Edge 1 to 889","Undirected"
1,907,"Edge 1 to 907","Undirected"
