Source,Target,Label,Type
1,2,"Edge 1 to 2","Undirected"
1,3,"Edge 1 to 3","Undirected"
1,8,"Edge 1 to 8","Undirected"
2,1,"Edge 2 to 1","Undirected"
2,4,"Edge 2 to 4","Undirected"
2,31,"Edge 2 to 31","Undirected"
2,42,"Edge 2 to 42","Undirected"
2,94,"Edge 2 to 94","Undirected"
3,1,"Edge 3 to 1","Undirected"
3,5,"Edge 3 to 5","Undirected"
3,11,"Edge 3 to 11","Undirected"
3,14,"Edge 3 to 14","Undirected"
3,28,"Edge 3 to 28","Undirected"
3,58,"Edge 3 to 58","Undirected"
3,59,"Edge 3 to 59","Undirected"
3,71,"Edge 3 to 71","Undirected"
4,2,"Edge 4 to 2","Undirected"
4,6,"Edge 4 to 6","Undirected"
4,7,"Edge 4 to 7","Undirected"
4,9,"Edge 4 to 9","Undirected"
4,10,"Edge 4 to 10","Undirected"
4,13,"Edge 4 to 13","Undirected"
4,18,"Edge 4 to 18","Undirected"
4,23,"Edge 4 to 23","Undirected"
4,37,"Edge 4 to 37","Undirected"
4,44,"Edge 4 to 44","Undirected"
4,46,"Edge 4 to 46","Undirected"
4,64,"Edge 4 to 64","Undirected"
4,82,"Edge 4 to 82","Undirected"
5,3,"Edge 5 to 3","Undirected"
6,4,"Edge 6 to 4","Undirected"
6,25,"Edge 6 to 25","Undirected"
6,32,"Edge 6 to 32","Undirected"
6,91,"Edge 6 to 91","Undirected"
7,4,"Edge 7 to 4","Undirected"
7,12,"Edge 7 to 12","Undirected"
7,15,"Edge 7 to 15","Undirected"
7,17,"Edge 7 to 17","Undirected"
7,19,"Edge 7 to 19","Undirected"
7,27,"Edge 7 to 27","Undirected"
7,36,"Edge 7 to 36","Undirected"
7,38,"Edge 7 to 38","Undirected"
7,49,"Edge 7 to 49","Undirected"
7,53,"Edge 7 to 53","Undirected"
7,54,"Edge 7 to 54","Undirected"
7,61,"Edge 7 to 61","Undirected"
7,68,"Edge 7 to 68","Undirected"
7,86,"Edge 7 to 86","Undirected"
8,1,"Edge 8 to 1","Undirected"
8,39,"Edge 8 to 39","Undirected"
9,4,"Edge 9 to 4","Undirected"
9,16,"Edge 9 to 16","Undirected"
10,4,"Edge 10 to 4","Undirected"
10,24,"Edge 10 to 24","Undirected"
11,3,"Edge 11 to 3","Undirected"
11,26,"Edge 11 to 26","Undirected"
11,62,"Edge 11 to 62","Undirected"
11,65,"Edge 11 to 65","Undirected"
11,73,"Edge 11 to 73","Undirected"
11,75,"Edge 11 to 75","Undirected"
11,79,"Edge 11 to 79","Undirected"
12,7,"Edge 12 to 7","Undirected"
12,20,"Edge 12 to 20","Undirected"
12,29,"Edge 12 to 29","Undirected"
12,48,"Edge 12 to 48","Undirected"
12,50,"Edge 12 to 50","Undirected"
12,93,"Edge 12 to 93","Undirected"
13,4,"Edge 13 to 4","Undirected"
13,87,"Edge 13 to 87","Undirected"
13,95,"Edge 13 to 95","Undirected"
14,3,"Edge 14 to 3","Undirected"
14,22,"Edge 14 to 22","Undirected"
15,7,"Edge 15 to 7","Undirected"
15,34,"Edge 15 to 34","Undirected"
16,9,"Edge 16 to 9","Undirected"
17,7,"Edge 17 to 7","Undirected"
18,4,"Edge 18 to 4","Undirected"
19,7,"Edge 19 to 7","Undirected"
19,40,"Edge 19 to 40","Undirected"
20,12,"Edge 20 to 12","Undirected"
20,21,"Edge 20 to 21","Undirected"
20,43,"Edge 20 to 43","Undirected"
21,20,"Edge 21 to 20","Undirected"
21,69,"Edge 21 to 69","Undirected"
21,70,"Edge 21 to 70","Undirected"
22,14,"Edge 22 to 14","Undirected"
23,4,"Edge 23 to 4","Undirected"
23,56,"Edge 23 to 56","Undirected"
24,10,"Edge 24 to 10","Undirected"
24,52,"Edge 24 to 52","Undirected"
25,6,"Edge 25 to 6","Undirected"
26,11,"Edge 26 to 11","Undirected"
27,7,"Edge 27 to 7","Undirected"
27,57,"Edge 27 to 57","Undirected"
27,96,"Edge 27 to 96","Undirected"
28,3,"Edge 28 to 3","Undirected"
28,30,"Edge 28 to 30","Undirected"
28,41,"Edge 28 to 41","Undirected"
28,97,"Edge 28 to 97","Undirected"
29,12,"Edge 29 to 12","Undirected"
30,28,"Edge 30 to 28","Undirected"
31,2,"Edge 31 to 2","Undirected"
31,33,"Edge 31 to 33","Undirected"
31,78,"Edge 31 to 78","Undirected"
31,90,"Edge 31 to 90","Undirected"
32,6,"Edge 32 to 6","Undirected"
32,45,"Edge 32 to 45","Undirected"
32,74,"Edge 32 to 74","Undirected"
33,31,"Edge 33 to 31","Undirected"
33,35,"Edge 33 to 35","Undirected"
33,60,"Edge 33 to 60","Undirected"
34,15,"Edge 34 to 15","Undirected"
35,33,"Edge 35 to 33","Undirected"
35,77,"Edge 35 to 77","Undirected"
36,7,"Edge 36 to 7","Undirected"
37,4,"Edge 37 to 4","Undirected"
38,7,"Edge 38 to 7","Undirected"
38,66,"Edge 38 to 66","Undirected"
38,80,"Edge 38 to 80","Undirected"
39,8,"Edge 39 to 8","Undirected"
40,19,"Edge 40 to 19","Undirected"
40,51,"Edge 40 to 51","Undirected"
40,83,"Edge 40 to 83","Undirected"
41,28,"Edge 41 to 28","Undirected"
42,2,"Edge 42 to 2","Undirected"
42,47,"Edge 42 to 47","Undirected"
43,20,"Edge 43 to 20","Undirected"
43,55,"Edge 43 to 55","Undirected"
43,63,"Edge 43 to 63","Undirected"
43,89,"Edge 43 to 89","Undirected"
44,4,"Edge 44 to 4","Undirected"
45,32,"Edge 45 to 32","Undirected"
46,4,"Edge 46 to 4","Undirected"
47,42,"Edge 47 to 42","Undirected"
48,12,"Edge 48 to 12","Undirected"
49,7,"Edge 49 to 7","Undirected"
50,12,"Edge 50 to 12","Undirected"
51,40,"Edge 51 to 40","Undirected"
52,24,"Edge 52 to 24","Undirected"
53,7,"Edge 53 to 7","Undirected"
54,7,"Edge 54 to 7","Undirected"
55,43,"Edge 55 to 43","Undirected"
55,67,"Edge 55 to 67","Undirected"
55,72,"Edge 55 to 72","Undirected"
55,76,"Edge 55 to 76","Undirected"
55,81,"Edge 55 to 81","Undirected"
56,23,"Edge 56 to 23","Undirected"
57,27,"Edge 57 to 27","Undirected"
57,85,"Edge 57 to 85","Undirected"
57,88,"Edge 57 to 88","Undirected"
58,3,"Edge 58 to 3","Undirected"
59,3,"Edge 59 to 3","Undirected"
60,33,"Edge 60 to 33","Undirected"
60,100,"Edge 60 to 100","Undirected"
61,7,"Edge 61 to 7","Undirected"
62,11,"Edge 62 to 11","Undirected"
62,92,"Edge 62 to 92","Undirected"
