Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
2,"Node 2", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
3,"Node 3", 7.00, 0.00, 45.00, 382.00, 0.00, 0.00,  0,  1
4,"Node 4", 8.00, 0.00, 44.00, 1179.00, 0.00, 0.00,  0,  1
5,"Node 5", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
6,"Node 6", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
7,"Node 7", 4.00, 0.00, 48.00, 152.00, 0.00, 0.00,  0,  1
8,"Node 8", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
9,"Node 9", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
10,"Node 10", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
11,"Node 11", 6.00, 0.00, 46.00, 367.00, 0.00, 0.00,  0,  1
12,"Node 12", 7.00, 0.00, 45.00, 474.00, 0.00, 0.00,  0,  1
13,"Node 13", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
15,"Node 15", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
17,"Node 17", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
18,"Node 18", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
19,"Node 19", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  2
21,"Node 21", 16.00, 0.00, 36.00, 62.00, 0.00, 0.00,  0,  1
22,"Node 22", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
23,"Node 23", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  2
24,"Node 24", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  2
25,"Node 25", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
26,"Node 26", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 34.00, 0.00, 18.00, 2.00, 0.00, 0.00,  0,  2
29,"Node 29", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  2
30,"Node 30", 51.00, 0.00, 1.00, 0.00, 0.00, 0.00,  0,  1
31,"Node 31", 0.00, 0.00, 0.00, 179.00, 0.00, 0.00,  0,  0
32,"Node 32", 6.00, 0.00, 46.00, 41.00, 0.00, 0.00,  0,  1
33,"Node 33", 36.00, 0.00, 16.00, 15.00, 0.00, 0.00,  0,  1
34,"Node 34", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
35,"Node 35", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  2
36,"Node 36", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
38,"Node 38", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
39,"Node 39", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
40,"Node 40", 33.00, 0.00, 19.00, 56.00, 0.00, 0.00,  0,  1
41,"Node 41", 51.00, 0.00, 1.00, 0.00, 0.00, 0.00,  0,  1
42,"Node 42", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
43,"Node 43", 14.00, 0.00, 38.00, 93.00, 0.00, 0.00,  0,  1
44,"Node 44", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  2
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
48,"Node 48", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  1
49,"Node 49", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
50,"Node 50", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
51,"Node 51", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
53,"Node 53", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
54,"Node 54", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 17.00, 0.00, 35.00, 203.00, 0.00, 0.00,  0,  1
56,"Node 56", 24.00, 0.00, 28.00, 0.00, 0.00, 0.00,  0,  1
57,"Node 57", 18.00, 0.00, 34.00, 105.00, 0.00, 0.00,  0,  1
58,"Node 58", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
59,"Node 59", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
60,"Node 60", 28.00, 0.00, 24.00, 1.00, 0.00, 0.00,  0,  2
61,"Node 61", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  1
62,"Node 62", 5.00, 0.00, 47.00, 1.00, 0.00, 0.00,  0,  1
63,"Node 63", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  2
64,"Node 64", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
65,"Node 65", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  2
66,"Node 66", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
67,"Node 67", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  2
68,"Node 68", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
69,"Node 69", 42.00, 0.00, 10.00, 0.00, 0.00, 0.00,  0,  1
70,"Node 70", 41.00, 0.00, 11.00, 4.00, 0.00, 0.00,  0,  1
71,"Node 71", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
72,"Node 72", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
73,"Node 73", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
74,"Node 74", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  2
75,"Node 75", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
76,"Node 76", 19.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
77,"Node 77", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  1
78,"Node 78", 19.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  2
79,"Node 79", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
80,"Node 80", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
81,"Node 81", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
82,"Node 82", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  2
83,"Node 83", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  2
84,"Node 84", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
85,"Node 85", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52,  2
86,"Node 86", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  1
87,"Node 87", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
88,"Node 88", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  1
89,"Node 89", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
90,"Node 90", 18.00, 0.00, 34.00, 2.00, 0.00, 0.00,  0,  1
91,"Node 91", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
92,"Node 92", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
93,"Node 93", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  2
94,"Node 94", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
95,"Node 95", 1.00, 0.00, 51.00, 0.00, 0.00, 0.00,  0,  1
96,"Node 96", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
97,"Node 97", 52.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  2
98,"Node 98", 30.00, 0.00, 22.00, 0.00, 0.00, 0.00,  0,  2
99,"Node 99", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
100,"Node 100", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
