Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 24.00, 1.00, 27.00, 0.00, 0.00,  2
2,"Node 2", 20.00, 0.00, 32.00, 0.00, 0.00,  1
3,"Node 3", 18.00, 3.00, 31.00, 0.00, 0.00,  2
4,"Node 4", 23.00, 3.00, 26.00, 0.00, 0.00,  2
5,"Node 5", 30.00, 0.00, 22.00, 0.00, 0.00,  2
6,"Node 6", 22.00, 6.00, 24.00, 0.00, 0.00,  1
7,"Node 7", 31.00, 0.00, 21.00, 0.00, 0.00,  2
8,"Node 8", 25.00, 0.00, 27.00, 0.00, 0.00,  2
9,"Node 9", 26.00, 4.00, 22.00, 0.00, 0.00,  1
10,"Node 10", 34.00, 0.00, 18.00, 0.00, 0.00,  2
11,"Node 11", 30.00, 0.00, 22.00, 0.00, 0.00,  2
12,"Node 12", 24.00, 6.00, 22.00, 0.00, 0.00,  2
13,"Node 13", 21.00, 12.00, 19.00, 0.00, 0.00,  2
14,"Node 14", 23.00, 3.00, 26.00, 0.00, 0.00,  2
15,"Node 15", 22.00, 9.00, 21.00, 0.00, 0.00,  2
16,"Node 16", 26.00, 3.00, 23.00, 0.00, 0.00,  1
17,"Node 17", 18.00, 1.00, 33.00, 0.00, 0.00,  2
18,"Node 18", 18.00, 7.00, 27.00, 0.00, 0.00,  2
19,"Node 19", 20.00, 0.00, 32.00, 0.00, 0.00,  2
20,"Node 20", 16.00, 11.00, 25.00, 0.00, 0.00,  1
21,"Node 21", 11.00, 12.00, 29.00, 0.00, 0.00,  2
22,"Node 22", 26.00, 0.00, 26.00, 0.00, 0.00,  2
23,"Node 23", 16.00, 16.00, 20.00, 0.00, 0.00,  1
24,"Node 24", 18.00, 18.00, 16.00, 0.00, 0.00,  1
25,"Node 25", 34.00, 4.00, 14.00, 0.00, 0.00,  2
26,"Node 26", 13.00, 18.00, 21.00, 0.00, 0.00,  2
27,"Node 27", 32.00, 0.00, 20.00, 0.00, 0.00,  1
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00,  0
29,"Node 29", 26.00, 4.00, 22.00, 0.00, 0.00,  2
30,"Node 30", 21.00, 16.00, 15.00, 0.00, 0.00,  2
31,"Node 31", 24.00, 10.00, 18.00, 0.00, 0.00,  2
32,"Node 32", 29.00, 1.00, 22.00, 0.00, 0.00,  1
33,"Node 33", 0.00, 0.00, 0.00, 0.00, 0.00,  0
34,"Node 34", 22.00, 7.00, 23.00, 0.00, 0.00,  2
35,"Node 35", 30.00, 7.00, 15.00, 0.00, 0.00,  1
36,"Node 36", 15.00, 13.00, 24.00, 0.00, 0.00,  2
37,"Node 37", 28.00, 9.00, 15.00, 0.00, 0.00,  1
38,"Node 38", 14.00, 26.00, 12.00, 0.00, 0.00,  2
39,"Node 39", 32.00, 0.00, 20.00, 0.00, 0.00,  2
40,"Node 40", 29.00, 5.00, 18.00, 0.00, 0.00,  2
41,"Node 41", 28.00, 3.00, 21.00, 0.00, 0.00,  2
42,"Node 42", 21.00, 1.00, 30.00, 0.00, 0.00,  2
43,"Node 43", 15.00, 10.00, 27.00, 0.00, 0.00,  1
44,"Node 44", 23.00, 5.00, 24.00, 0.00, 0.00,  1
45,"Node 45", 26.00, 0.00, 26.00, 0.00, 0.00,  2
46,"Node 46", 20.00, 13.00, 19.00, 0.00, 0.00,  2
47,"Node 47", 18.00, 6.00, 28.00, 0.00, 0.00,  2
48,"Node 48", 17.00, 22.00, 13.00, 0.00, 0.00,  2
49,"Node 49", 16.00, 10.00, 26.00, 0.00, 0.00,  2
50,"Node 50", 8.00, 43.00, 1.00, 0.00, 0.00,  2
51,"Node 51", 31.00, 5.00, 16.00, 0.00, 0.00,  2
52,"Node 52", 9.00, 38.00, 5.00, 0.00, 0.00,  2
53,"Node 53", 0.00, 0.00, 0.00, 0.00, 0.00,  0
54,"Node 54", 32.00, 1.00, 19.00, 0.00, 0.00,  1
55,"Node 55", 18.00, 1.00, 33.00, 0.00, 0.00,  1
56,"Node 56", 17.00, 13.00, 22.00, 0.00, 0.00,  2
57,"Node 57", 23.00, 4.00, 25.00, 0.00, 0.00,  2
58,"Node 58", 17.00, 23.00, 12.00, 0.00, 0.00,  2
59,"Node 59", 28.00, 6.00, 18.00, 0.00, 0.00,  2
60,"Node 60", 19.00, 6.00, 27.00, 0.00, 0.00,  1
61,"Node 61", 0.00, 0.00, 0.00, 0.00, 0.00,  0
62,"Node 62", 23.00, 9.00, 20.00, 0.00, 0.00,  2
63,"Node 63", 24.00, 3.00, 25.00, 0.00, 0.00,  2
64,"Node 64", 9.00, 42.00, 1.00, 0.00, 0.00,  1
65,"Node 65", 11.00, 29.00, 12.00, 0.00, 0.00,  2
66,"Node 66", 24.00, 5.00, 23.00, 0.00, 0.00,  2
67,"Node 67", 18.00, 20.00, 14.00, 0.00, 0.00,  2
68,"Node 68", 21.00, 19.00, 12.00, 0.00, 0.00,  2
69,"Node 69", 24.00, 0.00, 28.00, 0.00, 0.00,  2
70,"Node 70", 31.00, 4.00, 17.00, 0.00, 0.00,  1
71,"Node 71", 9.00, 28.00, 15.00, 0.00, 0.00,  2
72,"Node 72", 0.00, 0.00, 0.00, 0.00, 0.00,  0
73,"Node 73", 15.00, 27.00, 10.00, 0.00, 0.00,  2
74,"Node 74", 27.00, 1.00, 24.00, 0.00, 0.00,  2
75,"Node 75", 21.00, 6.00, 25.00, 0.00, 0.00,  2
76,"Node 76", 16.00, 3.00, 33.00, 0.00, 0.00,  2
77,"Node 77", 22.00, 6.00, 24.00, 0.00, 0.00,  2
78,"Node 78", 17.00, 13.00, 22.00, 0.00, 0.00,  2
79,"Node 79", 18.00, 5.00, 29.00, 0.00, 0.00,  2
80,"Node 80", 21.00, 5.00, 26.00, 0.00, 0.00,  2
81,"Node 81", 26.00, 4.00, 22.00, 0.00, 0.00,  2
82,"Node 82", 23.00, 7.00, 22.00, 0.00, 0.00,  2
