Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 24.00, 28.00, 0.00, 0.00, 0.00,  2
2,"Node 2", 20.00, 32.00, 0.00, 0.00, 0.00,  2
3,"Node 3", 16.00, 36.00, 0.00, 0.00, 0.00,  2
4,"Node 4", 12.00, 39.00, 1.00, 0.00, 0.00,  2
5,"Node 5", 13.00, 38.00, 1.00, 0.00, 0.00,  1
6,"Node 6", 13.00, 39.00, 0.00, 0.00, 0.00,  2
7,"Node 7", 7.00, 45.00, 0.00, 0.00, 0.00,  1
8,"Node 8", 13.00, 39.00, 0.00, 0.00, 0.00,  2
9,"Node 9", 7.00, 45.00, 0.00, 0.00, 0.00,  2
10,"Node 10", 7.00, 45.00, 0.00, 0.00, 0.00,  2
11,"Node 11", 8.00, 44.00, 0.00, 0.00, 0.00,  1
12,"Node 12", 11.00, 41.00, 0.00, 0.00, 0.00,  2
13,"Node 13", 3.00, 49.00, 0.00, 0.00, 0.00,  1
14,"Node 14", 8.00, 44.00, 0.00, 0.00, 0.00,  2
15,"Node 15", 5.00, 47.00, 0.00, 0.00, 0.00,  2
16,"Node 16", 4.00, 48.00, 0.00, 0.00, 0.00,  2
17,"Node 17", 4.00, 47.00, 1.00, 0.00, 0.00,  2
18,"Node 18", 6.00, 46.00, 0.00, 0.00, 0.00,  2
19,"Node 19", 8.00, 43.00, 1.00, 0.00, 0.00,  2
20,"Node 20", 2.00, 50.00, 0.00, 0.00, 0.00,  2
21,"Node 21", 0.00, 52.00, 0.00, 0.00, 0.00,  2
22,"Node 22", 10.00, 42.00, 0.00, 0.00, 0.00,  2
23,"Node 23", 3.00, 49.00, 0.00, 0.00, 0.00,  2
24,"Node 24", 2.00, 50.00, 0.00, 0.00, 0.00,  2
25,"Node 25", 8.00, 44.00, 0.00, 0.00, 0.00,  2
26,"Node 26", 4.00, 48.00, 0.00, 0.00, 0.00,  2
27,"Node 27", 9.00, 43.00, 0.00, 0.00, 0.00,  1
28,"Node 28", 3.00, 49.00, 0.00, 0.00, 0.00,  2
29,"Node 29", 0.00, 0.00, 0.00, 0.00, 0.00,  0
30,"Node 30", 1.00, 51.00, 0.00, 0.00, 0.00,  1
31,"Node 31", 1.00, 51.00, 0.00, 0.00, 0.00,  2
32,"Node 32", 14.00, 37.00, 1.00, 0.00, 0.00,  2
33,"Node 33", 1.00, 51.00, 0.00, 0.00, 0.00,  1
34,"Node 34", 2.00, 50.00, 0.00, 0.00, 0.00,  2
35,"Node 35", 2.00, 50.00, 0.00, 0.00, 0.00,  1
36,"Node 36", 2.00, 50.00, 0.00, 0.00, 0.00,  2
37,"Node 37", 1.00, 51.00, 0.00, 0.00, 0.00,  2
38,"Node 38", 0.00, 0.00, 0.00, 0.00, 0.00,  0
39,"Node 39", 5.00, 47.00, 0.00, 0.00, 0.00,  2
40,"Node 40", 7.00, 45.00, 0.00, 0.00, 0.00,  2
41,"Node 41", 1.00, 51.00, 0.00, 0.00, 0.00,  2
42,"Node 42", 11.00, 41.00, 0.00, 0.00, 0.00,  1
43,"Node 43", 2.00, 50.00, 0.00, 0.00, 0.00,  2
44,"Node 44", 1.00, 51.00, 0.00, 0.00, 0.00,  2
45,"Node 45", 10.00, 42.00, 0.00, 0.00, 0.00,  2
46,"Node 46", 1.00, 51.00, 0.00, 0.00, 0.00,  2
47,"Node 47", 5.00, 47.00, 0.00, 0.00, 0.00,  2
48,"Node 48", 4.00, 48.00, 0.00, 0.00, 0.00,  2
49,"Node 49", 6.00, 46.00, 0.00, 0.00, 0.00,  2
50,"Node 50", 3.00, 49.00, 0.00, 0.00, 0.00,  1
51,"Node 51", 3.00, 49.00, 0.00, 0.00, 0.00,  2
52,"Node 52", 0.00, 52.00, 0.00, 0.00, 0.00,  2
53,"Node 53", 1.00, 51.00, 0.00, 0.00, 0.00,  1
54,"Node 54", 7.00, 45.00, 0.00, 0.00, 0.00,  1
55,"Node 55", 7.00, 44.00, 1.00, 0.00, 0.00,  1
