Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 26.00, 3.00, 23.00, 0.00, 0.00,  2
2,"Node 2", 0.00, 0.00, 0.00, 0.00, 0.00,  0
3,"Node 3", 28.00, 12.00, 12.00, 0.00, 0.00,  2
4,"Node 4", 18.00, 25.00, 9.00, 0.00, 0.00,  2
5,"Node 5", 22.00, 16.00, 14.00, 0.00, 0.00,  2
6,"Node 6", 21.00, 19.00, 12.00, 0.00, 0.00,  2
7,"Node 7", 20.00, 15.00, 17.00, 0.00, 0.00,  2
8,"Node 8", 17.00, 16.00, 19.00, 0.00, 0.00,  2
9,"Node 9", 19.00, 27.00, 6.00, 0.00, 0.00,  2
10,"Node 10", 20.00, 19.00, 13.00, 0.00, 0.00,  1
11,"Node 11", 17.00, 15.00, 20.00, 0.00, 0.00,  1
12,"Node 12", 18.00, 18.00, 16.00, 0.00, 0.00,  2
13,"Node 13", 17.00, 34.00, 1.00, 0.00, 0.00,  2
14,"Node 14", 15.00, 18.00, 19.00, 0.00, 0.00,  2
15,"Node 15", 16.00, 24.00, 12.00, 0.00, 0.00,  2
16,"Node 16", 11.00, 36.00, 5.00, 0.00, 0.00,  1
17,"Node 17", 20.00, 13.00, 19.00, 0.00, 0.00,  2
18,"Node 18", 17.00, 28.00, 7.00, 0.00, 0.00,  2
19,"Node 19", 18.00, 16.00, 18.00, 0.00, 0.00,  2
20,"Node 20", 20.00, 26.00, 6.00, 0.00, 0.00,  1
21,"Node 21", 11.00, 27.00, 14.00, 0.00, 0.00,  2
22,"Node 22", 21.00, 21.00, 10.00, 0.00, 0.00,  1
23,"Node 23", 12.00, 37.00, 3.00, 0.00, 0.00,  2
24,"Node 24", 10.00, 41.00, 1.00, 0.00, 0.00,  1
25,"Node 25", 19.00, 10.00, 23.00, 0.00, 0.00,  1
26,"Node 26", 8.00, 41.00, 3.00, 0.00, 0.00,  2
27,"Node 27", 23.00, 7.00, 22.00, 0.00, 0.00,  1
28,"Node 28", 6.00, 41.00, 5.00, 0.00, 0.00,  2
29,"Node 29", 21.00, 19.00, 12.00, 0.00, 0.00,  2
30,"Node 30", 12.00, 38.00, 2.00, 0.00, 0.00,  2
31,"Node 31", 9.00, 36.00, 7.00, 0.00, 0.00,  1
32,"Node 32", 14.00, 20.00, 18.00, 0.00, 0.00,  2
33,"Node 33", 7.00, 45.00, 0.00, 0.00, 0.00,  2
34,"Node 34", 21.00, 24.00, 7.00, 0.00, 0.00,  2
35,"Node 35", 19.00, 28.00, 5.00, 0.00, 0.00,  2
36,"Node 36", 15.00, 36.00, 1.00, 0.00, 0.00,  2
37,"Node 37", 9.00, 35.00, 8.00, 0.00, 0.00,  2
38,"Node 38", 2.00, 49.00, 1.00, 0.00, 0.00,  1
39,"Node 39", 16.00, 16.00, 20.00, 0.00, 0.00,  2
40,"Node 40", 17.00, 16.00, 19.00, 0.00, 0.00,  1
41,"Node 41", 11.00, 35.00, 6.00, 0.00, 0.00,  2
42,"Node 42", 23.00, 15.00, 14.00, 0.00, 0.00,  2
43,"Node 43", 10.00, 41.00, 1.00, 0.00, 0.00,  2
44,"Node 44", 12.00, 31.00, 9.00, 0.00, 0.00,  1
45,"Node 45", 18.00, 15.00, 19.00, 0.00, 0.00,  2
46,"Node 46", 4.00, 41.00, 7.00, 0.00, 0.00,  2
47,"Node 47", 15.00, 28.00, 9.00, 0.00, 0.00,  2
48,"Node 48", 7.00, 45.00, 0.00, 0.00, 0.00,  2
49,"Node 49", 19.00, 21.00, 12.00, 0.00, 0.00,  2
50,"Node 50", 5.00, 47.00, 0.00, 0.00, 0.00,  2
51,"Node 51", 21.00, 22.00, 9.00, 0.00, 0.00,  2
52,"Node 52", 0.00, 52.00, 0.00, 0.00, 0.00,  1
53,"Node 53", 7.00, 45.00, 0.00, 0.00, 0.00,  2
54,"Node 54", 18.00, 19.00, 15.00, 0.00, 0.00,  2
55,"Node 55", 14.00, 16.00, 22.00, 0.00, 0.00,  2
56,"Node 56", 15.00, 36.00, 1.00, 0.00, 0.00,  2
57,"Node 57", 14.00, 20.00, 18.00, 0.00, 0.00,  1
58,"Node 58", 2.00, 49.00, 1.00, 0.00, 0.00,  2
59,"Node 59", 21.00, 25.00, 6.00, 0.00, 0.00,  1
60,"Node 60", 11.00, 39.00, 2.00, 0.00, 0.00,  2
61,"Node 61", 23.00, 18.00, 11.00, 0.00, 0.00,  2
62,"Node 62", 11.00, 27.00, 14.00, 0.00, 0.00,  1
63,"Node 63", 10.00, 33.00, 9.00, 0.00, 0.00,  1
64,"Node 64", 2.00, 50.00, 0.00, 0.00, 0.00,  2
65,"Node 65", 9.00, 43.00, 0.00, 0.00, 0.00,  2
66,"Node 66", 12.00, 26.00, 14.00, 0.00, 0.00,  2
67,"Node 67", 5.00, 47.00, 0.00, 0.00, 0.00,  2
68,"Node 68", 7.00, 43.00, 2.00, 0.00, 0.00,  2
69,"Node 69", 15.00, 16.00, 21.00, 0.00, 0.00,  1
70,"Node 70", 16.00, 24.00, 12.00, 0.00, 0.00,  2
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00,  0
72,"Node 72", 0.00, 0.00, 0.00, 0.00, 0.00,  0
73,"Node 73", 2.00, 50.00, 0.00, 0.00, 0.00,  2
74,"Node 74", 17.00, 18.00, 17.00, 0.00, 0.00,  2
75,"Node 75", 14.00, 31.00, 7.00, 0.00, 0.00,  2
76,"Node 76", 0.00, 0.00, 0.00, 0.00, 0.00,  0
77,"Node 77", 17.00, 26.00, 9.00, 0.00, 0.00,  2
78,"Node 78", 8.00, 30.00, 14.00, 0.00, 0.00,  2
79,"Node 79", 18.00, 31.00, 3.00, 0.00, 0.00,  2
80,"Node 80", 16.00, 25.00, 11.00, 0.00, 0.00,  2
81,"Node 81", 18.00, 18.00, 16.00, 0.00, 0.00,  2
82,"Node 82", 14.00, 29.00, 9.00, 0.00, 0.00,  2
83,"Node 83", 10.00, 38.00, 4.00, 0.00, 0.00,  2
84,"Node 84", 5.00, 40.00, 7.00, 0.00, 0.00,  2
85,"Node 85", 8.00, 44.00, 0.00, 0.00, 0.00,  2
86,"Node 86", 11.00, 40.00, 1.00, 0.00, 0.00,  2
87,"Node 87", 9.00, 42.00, 1.00, 0.00, 0.00,  2
88,"Node 88", 7.00, 45.00, 0.00, 0.00, 0.00,  2
89,"Node 89", 10.00, 30.00, 12.00, 0.00, 0.00,  1
90,"Node 90", 18.00, 32.00, 2.00, 0.00, 0.00,  2
91,"Node 91", 0.00, 0.00, 0.00, 0.00, 0.00,  0
92,"Node 92", 21.00, 31.00, 0.00, 0.00, 0.00,  1
93,"Node 93", 9.00, 32.00, 11.00, 0.00, 0.00,  1
94,"Node 94", 20.00, 31.00, 1.00, 0.00, 0.00,  2
95,"Node 95", 19.00, 31.00, 2.00, 0.00, 0.00,  2
96,"Node 96", 10.00, 33.00, 9.00, 0.00, 0.00,  2
97,"Node 97", 11.00, 39.00, 2.00, 0.00, 0.00,  1
98,"Node 98", 17.00, 22.00, 13.00, 0.00, 0.00,  1
99,"Node 99", 15.00, 21.00, 16.00, 0.00, 0.00,  2
100,"Node 100", 14.00, 29.00, 9.00, 0.00, 0.00,  1
101,"Node 101", 8.00, 44.00, 0.00, 0.00, 0.00,  2
