Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 21.00, 0.00, 31.00, 0.00, 0.00,  1
2,"Node 2", 24.00, 0.00, 28.00, 0.00, 0.00,  1
3,"Node 3", 20.00, 0.00, 32.00, 0.00, 0.00,  2
4,"Node 4", 18.00, 1.00, 33.00, 0.00, 0.00,  2
5,"Node 5", 22.00, 0.00, 30.00, 0.00, 0.00,  1
6,"Node 6", 31.00, 0.00, 21.00, 0.00, 0.00,  2
7,"Node 7", 13.00, 0.00, 39.00, 0.00, 0.00,  2
8,"Node 8", 0.00, 0.00, 0.00, 0.00, 0.00,  0
9,"Node 9", 18.00, 3.00, 31.00, 0.00, 0.00,  1
10,"Node 10", 16.00, 0.00, 36.00, 0.00, 0.00,  2
11,"Node 11", 18.00, 0.00, 34.00, 0.00, 0.00,  2
12,"Node 12", 13.00, 3.00, 36.00, 0.00, 0.00,  2
13,"Node 13", 17.00, 13.00, 22.00, 0.00, 0.00,  2
14,"Node 14", 23.00, 0.00, 29.00, 0.00, 0.00,  2
15,"Node 15", 14.00, 4.00, 34.00, 0.00, 0.00,  2
16,"Node 16", 20.00, 0.00, 32.00, 0.00, 0.00,  1
17,"Node 17", 20.00, 0.00, 32.00, 0.00, 0.00,  2
18,"Node 18", 25.00, 0.00, 27.00, 0.00, 0.00,  2
19,"Node 19", 16.00, 0.00, 36.00, 0.00, 0.00,  1
20,"Node 20", 21.00, 0.00, 31.00, 0.00, 0.00,  2
21,"Node 21", 16.00, 2.00, 34.00, 0.00, 0.00,  2
22,"Node 22", 15.00, 3.00, 34.00, 0.00, 0.00,  2
23,"Node 23", 28.00, 4.00, 20.00, 0.00, 0.00,  1
24,"Node 24", 17.00, 7.00, 28.00, 0.00, 0.00,  2
25,"Node 25", 10.00, 1.00, 41.00, 0.00, 0.00,  2
26,"Node 26", 19.00, 2.00, 31.00, 0.00, 0.00,  2
27,"Node 27", 10.00, 2.00, 40.00, 0.00, 0.00,  2
28,"Node 28", 18.00, 3.00, 31.00, 0.00, 0.00,  2
29,"Node 29", 19.00, 2.00, 31.00, 0.00, 0.00,  2
30,"Node 30", 19.00, 6.00, 27.00, 0.00, 0.00,  2
31,"Node 31", 23.00, 0.00, 29.00, 0.00, 0.00,  2
32,"Node 32", 18.00, 0.00, 34.00, 0.00, 0.00,  2
33,"Node 33", 23.00, 6.00, 23.00, 0.00, 0.00,  2
34,"Node 34", 19.00, 1.00, 32.00, 0.00, 0.00,  2
35,"Node 35", 6.00, 2.00, 44.00, 0.00, 0.00,  1
36,"Node 36", 25.00, 4.00, 23.00, 0.00, 0.00,  2
37,"Node 37", 11.00, 1.00, 40.00, 0.00, 0.00,  2
38,"Node 38", 0.00, 0.00, 0.00, 0.00, 0.00,  0
39,"Node 39", 19.00, 0.00, 33.00, 0.00, 0.00,  2
40,"Node 40", 17.00, 2.00, 33.00, 0.00, 0.00,  1
41,"Node 41", 9.00, 3.00, 40.00, 0.00, 0.00,  1
42,"Node 42", 21.00, 0.00, 31.00, 0.00, 0.00,  1
43,"Node 43", 18.00, 6.00, 28.00, 0.00, 0.00,  1
44,"Node 44", 13.00, 2.00, 37.00, 0.00, 0.00,  2
45,"Node 45", 20.00, 0.00, 32.00, 0.00, 0.00,  2
46,"Node 46", 25.00, 1.00, 26.00, 0.00, 0.00,  1
47,"Node 47", 22.00, 0.00, 30.00, 0.00, 0.00,  2
48,"Node 48", 21.00, 9.00, 22.00, 0.00, 0.00,  2
49,"Node 49", 21.00, 0.00, 31.00, 0.00, 0.00,  1
50,"Node 50", 21.00, 17.00, 14.00, 0.00, 0.00,  2
51,"Node 51", 18.00, 3.00, 31.00, 0.00, 0.00,  2
52,"Node 52", 17.00, 13.00, 22.00, 0.00, 0.00,  2
53,"Node 53", 9.00, 8.00, 35.00, 0.00, 0.00,  1
54,"Node 54", 18.00, 3.00, 31.00, 0.00, 0.00,  1
55,"Node 55", 24.00, 0.00, 28.00, 0.00, 0.00,  2
56,"Node 56", 21.00, 4.00, 27.00, 0.00, 0.00,  2
57,"Node 57", 19.00, 0.00, 33.00, 0.00, 0.00,  2
58,"Node 58", 20.00, 4.00, 28.00, 0.00, 0.00,  2
59,"Node 59", 24.00, 0.00, 28.00, 0.00, 0.00,  1
60,"Node 60", 28.00, 0.00, 24.00, 0.00, 0.00,  2
61,"Node 61", 17.00, 1.00, 34.00, 0.00, 0.00,  2
62,"Node 62", 16.00, 3.00, 33.00, 0.00, 0.00,  1
63,"Node 63", 0.00, 0.00, 0.00, 0.00, 0.00,  0
64,"Node 64", 16.00, 31.00, 5.00, 0.00, 0.00,  2
65,"Node 65", 22.00, 9.00, 21.00, 0.00, 0.00,  2
66,"Node 66", 20.00, 2.00, 30.00, 0.00, 0.00,  1
67,"Node 67", 12.00, 4.00, 36.00, 0.00, 0.00,  2
68,"Node 68", 14.00, 6.00, 32.00, 0.00, 0.00,  1
69,"Node 69", 14.00, 0.00, 38.00, 0.00, 0.00,  1
70,"Node 70", 14.00, 0.00, 38.00, 0.00, 0.00,  2
71,"Node 71", 22.00, 7.00, 23.00, 0.00, 0.00,  2
72,"Node 72", 9.00, 1.00, 42.00, 0.00, 0.00,  2
73,"Node 73", 10.00, 7.00, 35.00, 0.00, 0.00,  2
74,"Node 74", 0.00, 0.00, 0.00, 0.00, 0.00,  0
