Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 19.00, 0.00, 33.00, 457.00, 0.00, 0.00,  0,  1
2,"Node 2", 44.00, 0.00, 8.00, 47.00, 0.00, 0.00,  0,  1
3,"Node 3", 41.00, 0.00, 11.00, 98.00, 0.00, 0.00,  0,  2
4,"Node 4", 45.00, 0.00, 7.00, 25.00, 0.00, 0.00,  0,  2
5,"Node 5", 35.00, 0.00, 17.00, 6.00, 0.00, 0.00,  0,  2
6,"Node 6", 45.00, 0.00, 7.00, 7.00, 0.00, 0.00,  0,  2
7,"Node 7", 44.00, 0.00, 8.00, 13.00, 0.00, 0.00,  0,  2
8,"Node 8", 49.00, 0.00, 3.00, 11.00, 0.00, 0.00,  0,  2
9,"Node 9", 42.00, 0.00, 10.00, 1.00, 0.00, 0.00,  0,  2
10,"Node 10", 35.00, 0.00, 17.00, 2.00, 0.00, 0.00,  0,  1
11,"Node 11", 38.00, 0.00, 14.00, 38.00, 0.00, 0.00,  0,  1
12,"Node 12", 41.00, 0.00, 11.00, 6.00, 0.00, 0.00,  0,  1
13,"Node 13", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
14,"Node 14", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
15,"Node 15", 33.00, 0.00, 19.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 36.00, 0.00, 16.00, 1.00, 0.00, 0.00,  0,  2
17,"Node 17", 47.00, 0.00, 5.00, 7.00, 0.00, 0.00,  0,  1
18,"Node 18", 0.00, 0.00, 0.00, 2.00, 0.00, 0.00,  0,  0
19,"Node 19", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
20,"Node 20", 40.00, 0.00, 12.00, 0.00, 0.00, 0.00,  0,  2
21,"Node 21", 45.00, 0.00, 7.00, 1.00, 0.00, 0.00,  0,  2
22,"Node 22", 37.00, 0.00, 15.00, 0.00, 0.00, 0.00,  0,  2
23,"Node 23", 50.00, 0.00, 2.00, 1.00, 0.00, 0.00,  0,  2
24,"Node 24", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 51.00, 0.00, 1.00, 0.00, 0.00, 0.00,  0,  2
26,"Node 26", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  2
28,"Node 28", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  2
29,"Node 29", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
30,"Node 30", 33.00, 0.00, 19.00, 0.00, 0.00, 0.00,  0,  2
31,"Node 31", 51.00, 0.00, 1.00, 1.00, 0.00, 0.00,  0,  2
32,"Node 32", 50.00, 0.00, 2.00, 3.00, 0.00, 0.00,  0,  1
33,"Node 33", 48.00, 0.00, 4.00, 2.00, 0.00, 0.00,  0,  2
34,"Node 34", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  2
35,"Node 35", 52.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  2
36,"Node 36", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
37,"Node 37", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
38,"Node 38", 52.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  2
39,"Node 39", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  2
