Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 19.00, 0.00, 33.00, 0.00, 0.00,  0,  1
2,"Node 2", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
3,"Node 3", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
4,"Node 4", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
5,"Node 5", 35.00, 0.00, 17.00, 0.00, 0.00,  0,  2
6,"Node 6", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
7,"Node 7", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
8,"Node 8", 23.00, 0.00, 29.00, 0.00, 0.00,  0,  1
9,"Node 9", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
10,"Node 10", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
11,"Node 11", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
12,"Node 12", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  1
13,"Node 13", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  1
14,"Node 14", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  2
15,"Node 15", 17.00, 0.00, 35.00, 0.00, 0.00,  0,  2
16,"Node 16", 30.00, 0.00, 22.00, 0.00, 0.00,  0,  2
17,"Node 17", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
18,"Node 18", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  2
19,"Node 19", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
20,"Node 20", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
21,"Node 21", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
22,"Node 22", 27.00, 0.00, 25.00, 0.00, 0.00,  0,  2
23,"Node 23", 38.00, 0.00, 14.00, 0.00, 0.00,  0,  2
24,"Node 24", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
25,"Node 25", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  2
26,"Node 26", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  1
