Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 50.00, 0.00, 2.00, 1714.00, 0.00, 0.00,  0,  2
2,"Node 2", 48.00, 0.00, 4.00, 134.00, 0.00, 0.00,  0,  2
3,"Node 3", 45.00, 0.00, 7.00, 1064.00, 0.00, 0.00,  0,  2
4,"Node 4", 47.00, 0.00, 5.00, 467.00, 0.00, 0.00,  0,  2
5,"Node 5", 46.00, 0.00, 6.00, 8.00, 0.00, 0.00,  0,  2
6,"Node 6", 46.00, 0.00, 6.00, 21.00, 0.00, 0.00,  0,  2
7,"Node 7", 47.00, 0.00, 5.00, 425.00, 0.00, 0.00,  0,  2
8,"Node 8", 44.00, 0.00, 8.00, 834.00, 0.00, 0.00,  0,  1
9,"Node 9", 52.00, 0.00, 0.00, 13.00, 0.00, 0.00,  0,  2
10,"Node 10", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
11,"Node 11", 51.00, 0.00, 1.00, 7.00, 0.00, 0.00,  0,  2
12,"Node 12", 46.00, 0.00, 6.00, 19.00, 0.00, 0.00,  0,  2
13,"Node 13", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
14,"Node 14", 42.00, 0.00, 10.00, 114.00, 0.00, 0.00,  0,  1
15,"Node 15", 40.00, 0.00, 12.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 43.00, 0.00, 9.00, 85.00, 0.00, 0.00,  0,  1
17,"Node 17", 43.00, 0.00, 9.00, 3.00, 0.00, 0.00,  0,  2
18,"Node 18", 47.00, 0.00, 5.00, 30.00, 0.00, 0.00,  0,  2
19,"Node 19", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
21,"Node 21", 46.00, 0.00, 6.00, 123.00, 0.00, 0.00,  0,  1
22,"Node 22", 45.00, 0.00, 7.00, 4.00, 0.00, 0.00,  0,  2
23,"Node 23", 43.00, 0.00, 9.00, 5.00, 0.00, 0.00,  0,  2
24,"Node 24", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  2
25,"Node 25", 43.00, 0.00, 9.00, 85.00, 0.00, 0.00,  0,  1
26,"Node 26", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
27,"Node 27", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  2
28,"Node 28", 46.00, 0.00, 6.00, 1.00, 0.00, 0.00,  0,  2
29,"Node 29", 49.00, 0.00, 3.00, 3.00, 0.00, 0.00,  0,  2
30,"Node 30", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  1
31,"Node 31", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
32,"Node 32", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
33,"Node 33", 48.00, 0.00, 4.00, 13.00, 0.00, 0.00,  0,  2
34,"Node 34", 40.00, 0.00, 12.00, 5.00, 0.00, 0.00,  0,  2
35,"Node 35", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  2
36,"Node 36", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
