Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
2,"Node 2", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
3,"Node 3", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
4,"Node 4", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  1
5,"Node 5", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
6,"Node 6", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
7,"Node 7", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
8,"Node 8", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
9,"Node 9", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
10,"Node 10", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
11,"Node 11", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
12,"Node 12", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
13,"Node 13", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  2
14,"Node 14", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  1
15,"Node 15", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  2
16,"Node 16", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
17,"Node 17", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
18,"Node 18", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  1
19,"Node 19", 39.00, 0.00, 13.00, 0.00, 0.00,  0,  1
20,"Node 20", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
21,"Node 21", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
22,"Node 22", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
23,"Node 23", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
24,"Node 24", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
25,"Node 25", 37.00, 0.00, 15.00, 0.00, 0.00,  0,  1
26,"Node 26", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
27,"Node 27", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
28,"Node 28", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
29,"Node 29", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  2
30,"Node 30", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
31,"Node 31", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
32,"Node 32", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
33,"Node 33", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
34,"Node 34", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
35,"Node 35", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
36,"Node 36", 43.00, 0.00, 9.00, 0.00, 0.00,  0,  2
37,"Node 37", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  1
38,"Node 38", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
