Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 48.00, 0.00, 4.00, 6532.00, 0.00, 0.00,  0,  2
2,"Node 2", 49.00, 0.00, 3.00, 798.00, 0.00, 0.00,  0,  2
3,"Node 3", 45.00, 0.00, 7.00, 9130.00, 0.00, 0.00,  0,  1
4,"Node 4", 49.00, 0.00, 3.00, 2322.00, 0.00, 0.00,  0,  2
5,"Node 5", 39.00, 0.00, 13.00, 5217.00, 0.00, 0.00,  0,  1
6,"Node 6", 40.00, 0.00, 12.00, 5807.00, 0.00, 0.00,  0,  1
7,"Node 7", 41.00, 0.00, 11.00, 9491.00, 0.00, 0.00,  0,  1
8,"Node 8", 41.00, 0.00, 11.00, 9031.00, 0.00, 0.00,  0,  1
9,"Node 9", 51.00, 0.00, 1.00, 92.00, 0.00, 0.00,  0,  2
10,"Node 10", 38.00, 0.00, 14.00, 1820.00, 0.00, 0.00,  0,  1
11,"Node 11", 49.00, 0.00, 3.00, 7.00, 0.00, 0.00,  0,  2
12,"Node 12", 49.00, 0.00, 3.00, 266.00, 0.00, 0.00,  0,  2
13,"Node 13", 36.00, 0.00, 16.00, 1670.00, 0.00, 0.00,  0,  1
14,"Node 14", 50.00, 0.00, 2.00, 476.00, 0.00, 0.00,  0,  1
15,"Node 15", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
17,"Node 17", 50.00, 0.00, 2.00, 10.00, 0.00, 0.00,  0,  2
18,"Node 18", 50.00, 0.00, 2.00, 387.00, 0.00, 0.00,  0,  2
19,"Node 19", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
20,"Node 20", 49.00, 0.00, 3.00, 2.00, 0.00, 0.00,  0,  1
21,"Node 21", 48.00, 0.00, 4.00, 653.00, 0.00, 0.00,  0,  1
22,"Node 22", 49.00, 0.00, 3.00, 100.00, 0.00, 0.00,  0,  2
23,"Node 23", 45.00, 0.00, 7.00, 283.00, 0.00, 0.00,  0,  1
24,"Node 24", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
25,"Node 25", 47.00, 0.00, 5.00, 235.00, 0.00, 0.00,  0,  2
26,"Node 26", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
27,"Node 27", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
28,"Node 28", 51.00, 0.00, 1.00, 31.00, 0.00, 0.00,  0,  2
29,"Node 29", 49.00, 0.00, 3.00, 8.00, 0.00, 0.00,  0,  2
30,"Node 30", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
31,"Node 31", 50.00, 0.00, 2.00, 54.00, 0.00, 0.00,  0,  1
32,"Node 32", 43.00, 0.00, 9.00, 33.00, 0.00, 0.00,  0,  2
33,"Node 33", 51.00, 0.00, 1.00, 359.00, 0.00, 0.00,  0,  2
34,"Node 34", 48.00, 0.00, 4.00, 86.00, 0.00, 0.00,  0,  2
35,"Node 35", 29.00, 0.00, 23.00, 0.00, 0.00, 0.00,  0,  1
36,"Node 36", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
38,"Node 38", 48.00, 0.00, 4.00, 34.00, 0.00, 0.00,  0,  2
39,"Node 39", 48.00, 0.00, 4.00, 2.00, 0.00, 0.00,  0,  2
40,"Node 40", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
41,"Node 41", 46.00, 0.00, 6.00, 20.00, 0.00, 0.00,  0,  2
42,"Node 42", 51.00, 0.00, 1.00, 23.00, 0.00, 0.00,  0,  2
43,"Node 43", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
44,"Node 44", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
45,"Node 45", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
47,"Node 47", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
48,"Node 48", 51.00, 0.00, 1.00, 0.00, 0.00, 0.00,  0,  2
49,"Node 49", 46.00, 0.00, 6.00, 27.00, 0.00, 0.00,  0,  1
50,"Node 50", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  2
51,"Node 51", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
52,"Node 52", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
53,"Node 53", 47.00, 0.00, 5.00, 15.00, 0.00, 0.00,  0,  2
54,"Node 54", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
55,"Node 55", 46.00, 0.00, 6.00, 1.00, 0.00, 0.00,  0,  2
56,"Node 56", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  1
57,"Node 57", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
58,"Node 58", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
59,"Node 59", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  1
60,"Node 60", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
61,"Node 61", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
62,"Node 62", 48.00, 0.00, 4.00, 1.00, 0.00, 0.00,  0,  2
63,"Node 63", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
64,"Node 64", 51.00, 0.00, 1.00, 159.00, 0.00, 0.00,  0,  1
65,"Node 65", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  2
66,"Node 66", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
67,"Node 67", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
68,"Node 68", 48.00, 0.00, 4.00, 113.00, 0.00, 0.00,  0,  2
69,"Node 69", 49.00, 0.00, 3.00, 23.00, 0.00, 0.00,  0,  2
70,"Node 70", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  2
71,"Node 71", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
72,"Node 72", 0.00, 0.00, 0.00, 15.00, 0.00, 0.00,  0,  0
73,"Node 73", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
74,"Node 74", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
75,"Node 75", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
76,"Node 76", 48.00, 0.00, 4.00, 39.00, 0.00, 0.00,  0,  2
77,"Node 77", 49.00, 0.00, 3.00, 64.00, 0.00, 0.00,  0,  2
78,"Node 78", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
79,"Node 79", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  1
80,"Node 80", 50.00, 0.00, 2.00, 13.00, 0.00, 0.00,  0,  2
81,"Node 81", 49.00, 0.00, 3.00, 13.00, 0.00, 0.00,  0,  2
82,"Node 82", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
83,"Node 83", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
84,"Node 84", 48.00, 0.00, 4.00, 14.00, 0.00, 0.00,  0,  1
85,"Node 85", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
86,"Node 86", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
87,"Node 87", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
88,"Node 88", 49.00, 0.00, 3.00, 9.00, 0.00, 0.00,  0,  2
89,"Node 89", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
90,"Node 90", 48.00, 0.00, 4.00, 9.00, 0.00, 0.00,  0,  2
91,"Node 91", 49.00, 0.00, 3.00, 8.00, 0.00, 0.00,  0,  1
92,"Node 92", 47.00, 0.00, 5.00, 12.00, 0.00, 0.00,  0,  1
93,"Node 93", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
94,"Node 94", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  2
95,"Node 95", 49.00, 0.00, 3.00, 21.00, 0.00, 0.00,  0,  2
96,"Node 96", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
97,"Node 97", 46.00, 0.00, 6.00, 10.00, 0.00, 0.00,  0,  2
98,"Node 98", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
99,"Node 99", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
100,"Node 100", 41.00, 0.00, 11.00, 0.00, 0.00, 0.00,  0,  1
