Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
2,"Node 2", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
3,"Node 3", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
4,"Node 4", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
5,"Node 5", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
6,"Node 6", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  1
7,"Node 7", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
8,"Node 8", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
9,"Node 9", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
10,"Node 10", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  1
11,"Node 11", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
12,"Node 12", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
13,"Node 13", 52.00, 0.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
15,"Node 15", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
16,"Node 16", 46.00, 0.00, 6.00, 0.00, 0.00,  0,  2
17,"Node 17", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
18,"Node 18", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
19,"Node 19", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
20,"Node 20", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
21,"Node 21", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
22,"Node 22", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  2
23,"Node 23", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
24,"Node 24", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
25,"Node 25", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
26,"Node 26", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
27,"Node 27", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
28,"Node 28", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
29,"Node 29", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
30,"Node 30", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
31,"Node 31", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
32,"Node 32", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
33,"Node 33", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
34,"Node 34", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  2
35,"Node 35", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
36,"Node 36", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
37,"Node 37", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  2
38,"Node 38", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
39,"Node 39", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  1
40,"Node 40", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  2
41,"Node 41", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
42,"Node 42", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  2
43,"Node 43", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
44,"Node 44", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  1
45,"Node 45", 51.00, 0.00, 1.00, 0.00, 0.00,  0,  1
46,"Node 46", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
47,"Node 47", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  2
48,"Node 48", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
49,"Node 49", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  1
50,"Node 50", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
51,"Node 51", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
52,"Node 52", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  1
