Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  1
2,"Node 2", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  1
3,"Node 3", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  1
4,"Node 4", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
5,"Node 5", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  1
6,"Node 6", 45.00, 0.00, 7.00, 0.00, 0.00,  0,  1
7,"Node 7", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  1
8,"Node 8", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  1
9,"Node 9", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
10,"Node 10", 49.00, 0.00, 3.00, 0.00, 0.00,  0,  2
11,"Node 11", 48.00, 0.00, 4.00, 0.00, 0.00,  0,  1
12,"Node 12", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
13,"Node 13", 34.00, 0.00, 18.00, 0.00, 0.00,  0,  1
14,"Node 14", 40.00, 0.00, 12.00, 0.00, 0.00,  0,  1
15,"Node 15", 16.00, 0.00, 36.00, 0.00, 0.00,  0,  1
16,"Node 16", 30.00, 0.00, 22.00, 0.00, 0.00,  0,  1
17,"Node 17", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
18,"Node 18", 30.00, 0.00, 22.00, 0.00, 0.00,  0,  1
19,"Node 19", 47.00, 0.00, 5.00, 0.00, 0.00,  0,  1
20,"Node 20", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
21,"Node 21", 50.00, 0.00, 2.00, 0.00, 0.00,  0,  1
22,"Node 22", 23.00, 0.00, 29.00, 0.00, 0.00,  0,  1
23,"Node 23", 41.00, 0.00, 11.00, 0.00, 0.00,  0,  1
24,"Node 24", 31.00, 0.00, 21.00, 0.00, 0.00,  0,  1
25,"Node 25", 20.00, 0.00, 32.00, 0.00, 0.00,  0,  1
26,"Node 26", 44.00, 0.00, 8.00, 0.00, 0.00,  0,  1
