Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 0.00, 0.00, 0.00, 2596.00, 0.00, 0.00,  0,  0
2,"Node 2", 18.00, 0.00, 34.00, 81.00, 0.00, 0.00,  0,  1
3,"Node 3", 0.00, 0.00, 0.00, 1116.00, 0.00, 0.00,  0,  0
4,"Node 4", 19.00, 0.00, 33.00, 1493.00, 0.00, 0.00,  0,  1
5,"Node 5", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  2
6,"Node 6", 9.00, 0.00, 43.00, 475.00, 0.00, 0.00,  0,  1
7,"Node 7", 8.00, 0.00, 44.00, 352.00, 0.00, 0.00,  0,  1
8,"Node 8", 8.00, 0.00, 44.00, 335.00, 0.00, 0.00,  0,  1
9,"Node 9", 10.00, 0.00, 42.00, 3.00, 0.00, 0.00,  0,  1
10,"Node 10", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
11,"Node 11", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
12,"Node 12", 13.00, 0.00, 39.00, 3.00, 0.00, 0.00,  0,  1
13,"Node 13", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
15,"Node 15", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
17,"Node 17", 9.00, 0.00, 43.00, 87.00, 0.00, 0.00,  0,  1
18,"Node 18", 9.00, 0.00, 43.00, 15.00, 0.00, 0.00,  0,  1
19,"Node 19", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  2
20,"Node 20", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
21,"Node 21", 18.00, 0.00, 34.00, 145.00, 0.00, 0.00,  0,  1
22,"Node 22", 13.00, 0.00, 39.00, 1.00, 0.00, 0.00,  0,  1
23,"Node 23", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
24,"Node 24", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 9.00, 0.00, 43.00, 299.00, 0.00, 0.00,  0,  1
26,"Node 26", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
