Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 12.00, 0.00, 36.00, 1283.00, 0.00, 0.00,  0,  1
2,"Node 2", 12.00, 0.00, 36.00, 323.00, 0.00, 0.00,  0,  1
3,"Node 3", 14.00, 0.00, 34.00, 548.00, 0.00, 0.00,  0,  1
4,"Node 4", 14.00, 0.00, 38.00, 1.00, 0.00, 0.00,  0,  2
5,"Node 5", 10.00, 0.00, 42.00, 400.00, 0.00, 0.00,  0,  1
6,"Node 6", 13.00, 0.00, 34.00, 597.00, 0.00, 0.00,  0,  1
7,"Node 7", 16.00, 0.00, 28.00, 840.00, 0.00, 0.00,  0,  1
8,"Node 8", 7.00, 0.00, 43.00, 584.00, 0.00, 0.00,  0,  1
9,"Node 9", 20.00, 0.00, 28.00, 6.00, 0.00, 0.00,  0,  1
10,"Node 10", 2.00, 0.00, 50.00, 136.00, 0.00, 0.00,  0,  1
11,"Node 11", 15.00, 0.00, 30.00, 265.00, 0.00, 0.00,  0,  1
12,"Node 12", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
13,"Node 13", 7.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 9.00, 0.00, 36.00, 4.00, 0.00, 0.00,  0,  1
15,"Node 15", 3.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 5.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
17,"Node 17", 17.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  2
18,"Node 18", 7.00, 0.00, 42.00, 8.00, 0.00, 0.00,  0,  1
19,"Node 19", 15.00, 0.00, 27.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 16.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
21,"Node 21", 3.00, 0.00, 44.00, 477.00, 0.00, 0.00,  0,  1
22,"Node 22", 9.00, 0.00, 33.00, 0.00, 0.00, 0.00,  0,  1
23,"Node 23", 12.00, 0.00, 37.00, 125.00, 0.00, 0.00,  0,  1
24,"Node 24", 4.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 6.00, 0.00, 37.00, 8.00, 0.00, 0.00,  0,  1
26,"Node 26", 11.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 5.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 9.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
29,"Node 29", 9.00, 0.00, 37.00, 2.00, 0.00, 0.00,  0,  1
30,"Node 30", 3.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
31,"Node 31", 7.00, 0.00, 23.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 7.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
33,"Node 33", 10.00, 0.00, 39.00, 140.00, 0.00, 0.00,  0,  1
34,"Node 34", 13.00, 0.00, 34.00, 34.00, 0.00, 0.00,  0,  1
35,"Node 35", 11.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
36,"Node 36", 15.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 5.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
38,"Node 38", 7.00, 0.00, 22.00, 0.00, 0.00, 0.00,  0,  2
39,"Node 39", 12.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
40,"Node 40", 14.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
41,"Node 41", 4.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
42,"Node 42", 8.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
43,"Node 43", 13.00, 0.00, 36.00, 1.00, 0.00, 0.00,  0,  1
44,"Node 44", 5.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 9.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 13.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
47,"Node 47", 7.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
48,"Node 48", 3.00, 0.00, 41.00, 2.00, 0.00, 0.00,  0,  1
49,"Node 49", 12.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
50,"Node 50", 5.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
51,"Node 51", 4.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 9.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
53,"Node 53", 6.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  1
54,"Node 54", 0.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 5.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
56,"Node 56", 7.00, 0.00, 35.00, 1.00, 0.00, 0.00,  0,  1
57,"Node 57", 5.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
