Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 18.00, 0.00, 34.00, 659.00, 0.00, 0.00,  0,  2
2,"Node 2", 13.00, 0.00, 39.00, 936.00, 0.00, 0.00,  0,  1
3,"Node 3", 0.00, 0.00, 0.00, 1647.00, 0.00, 0.00,  0,  0
4,"Node 4", 13.00, 0.00, 39.00, 1172.00, 0.00, 0.00,  0,  1
5,"Node 5", 18.00, 0.00, 34.00, 275.00, 0.00, 0.00,  0,  1
6,"Node 6", 11.00, 0.00, 41.00, 3.00, 0.00, 0.00,  0,  1
7,"Node 7", 10.00, 0.00, 42.00, 830.00, 0.00, 0.00,  0,  1
8,"Node 8", 22.00, 0.00, 30.00, 60.00, 0.00, 0.00,  0,  2
9,"Node 9", 14.00, 0.00, 38.00, 2.00, 0.00, 0.00,  0,  1
10,"Node 10", 18.00, 0.00, 34.00, 86.00, 0.00, 0.00,  0,  1
11,"Node 11", 19.00, 0.00, 33.00, 5.00, 0.00, 0.00,  0,  1
12,"Node 12", 21.00, 0.00, 31.00, 144.00, 0.00, 0.00,  0,  1
13,"Node 13", 18.00, 0.00, 34.00, 2.00, 0.00, 0.00,  0,  1
14,"Node 14", 24.00, 0.00, 28.00, 122.00, 0.00, 0.00,  0,  1
15,"Node 15", 27.00, 0.00, 25.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 20.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  1
17,"Node 17", 24.00, 0.00, 28.00, 0.00, 0.00, 0.00,  0,  1
18,"Node 18", 18.00, 0.00, 34.00, 368.00, 0.00, 0.00,  0,  1
19,"Node 19", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
21,"Node 21", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
22,"Node 22", 29.00, 0.00, 23.00, 2.00, 0.00, 0.00,  0,  2
23,"Node 23", 23.00, 0.00, 29.00, 26.00, 0.00, 0.00,  0,  1
24,"Node 24", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 27.00, 0.00, 25.00, 2.00, 0.00, 0.00,  0,  1
26,"Node 26", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 23.00, 0.00, 29.00, 26.00, 0.00, 0.00,  0,  1
28,"Node 28", 23.00, 0.00, 29.00, 1.00, 0.00, 0.00,  0,  1
29,"Node 29", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  2
30,"Node 30", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  1
