Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 18.00, 0.00, 34.00, 2174.00, 0.00, 0.00,  0,  1
2,"Node 2", 24.00, 0.00, 28.00, 278.00, 0.00, 0.00,  0,  1
3,"Node 3", 17.00, 0.00, 35.00, 1072.00, 0.00, 0.00,  0,  1
4,"Node 4", 14.00, 0.00, 38.00, 729.00, 0.00, 0.00,  0,  1
5,"Node 5", 21.00, 0.00, 31.00, 1.00, 0.00, 0.00,  0,  2
6,"Node 6", 21.00, 0.00, 31.00, 121.00, 0.00, 0.00,  0,  1
7,"Node 7", 32.00, 0.00, 20.00, 329.00, 0.00, 0.00,  0,  2
8,"Node 8", 0.00, 0.00, 0.00, 258.00, 0.00, 0.00,  0,  0
9,"Node 9", 16.00, 0.00, 36.00, 1.00, 0.00, 0.00,  0,  1
10,"Node 10", 13.00, 0.00, 39.00, 4.00, 0.00, 0.00,  0,  1
11,"Node 11", 25.00, 0.00, 27.00, 15.00, 0.00, 0.00,  0,  1
12,"Node 12", 25.00, 0.00, 27.00, 18.00, 0.00, 0.00,  0,  1
13,"Node 13", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 20.00, 0.00, 32.00, 7.00, 0.00, 0.00,  0,  2
15,"Node 15", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
17,"Node 17", 24.00, 0.00, 28.00, 4.00, 0.00, 0.00,  0,  1
18,"Node 18", 19.00, 0.00, 33.00, 273.00, 0.00, 0.00,  0,  1
19,"Node 19", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 21.00, 0.00, 31.00, 0.00, 0.00, 0.00,  0,  2
21,"Node 21", 0.00, 0.00, 0.00, 9.00, 0.00, 0.00,  0,  0
22,"Node 22", 30.00, 0.00, 22.00, 6.00, 0.00, 0.00,  0,  1
23,"Node 23", 21.00, 0.00, 31.00, 5.00, 0.00, 0.00,  0,  1
24,"Node 24", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  1
26,"Node 26", 21.00, 0.00, 31.00, 4.00, 0.00, 0.00,  0,  1
27,"Node 27", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
28,"Node 28", 11.00, 0.00, 41.00, 4.00, 0.00, 0.00,  0,  1
29,"Node 29", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  2
30,"Node 30", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
31,"Node 31", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 19.00, 0.00, 33.00, 1.00, 0.00, 0.00,  0,  1
33,"Node 33", 22.00, 0.00, 30.00, 44.00, 0.00, 0.00,  0,  1
34,"Node 34", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
35,"Node 35", 23.00, 0.00, 29.00, 0.00, 0.00, 0.00,  0,  1
36,"Node 36", 30.00, 0.00, 22.00, 0.00, 0.00, 0.00,  0,  1
37,"Node 37", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
38,"Node 38", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  2
39,"Node 39", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
40,"Node 40", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  2
41,"Node 41", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  2
42,"Node 42", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
43,"Node 43", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
44,"Node 44", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
47,"Node 47", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
48,"Node 48", 28.00, 0.00, 24.00, 5.00, 0.00, 0.00,  0,  1
49,"Node 49", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
50,"Node 50", 12.00, 0.00, 40.00, 0.00, 0.00, 0.00,  0,  1
51,"Node 51", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
53,"Node 53", 29.00, 0.00, 23.00, 0.00, 0.00, 0.00,  0,  2
54,"Node 54", 10.00, 0.00, 42.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 23.00, 0.00, 29.00, 0.00, 0.00, 0.00,  0,  2
56,"Node 56", 22.00, 0.00, 30.00, 0.00, 0.00, 0.00,  0,  1
57,"Node 57", 25.00, 0.00, 27.00, 0.00, 0.00, 0.00,  0,  1
58,"Node 58", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  1
