Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 22.00, 0.00, 30.00, 1704.00, 0.00, 0.00,  0,  1
2,"Node 2", 43.00, 0.00, 9.00, 13.00, 0.00, 0.00,  0,  2
3,"Node 3", 23.00, 0.00, 29.00, 965.00, 0.00, 0.00,  0,  1
4,"Node 4", 22.00, 0.00, 30.00, 620.00, 0.00, 0.00,  0,  1
5,"Node 5", 37.00, 0.00, 15.00, 9.00, 0.00, 0.00,  0,  2
6,"Node 6", 30.00, 0.00, 22.00, 24.00, 0.00, 0.00,  0,  2
7,"Node 7", 30.00, 0.00, 22.00, 572.00, 0.00, 0.00,  0,  1
8,"Node 8", 45.00, 0.00, 7.00, 182.00, 0.00, 0.00,  0,  2
9,"Node 9", 37.00, 0.00, 15.00, 3.00, 0.00, 0.00,  0,  2
10,"Node 10", 32.00, 0.00, 20.00, 6.00, 0.00, 0.00,  0,  1
11,"Node 11", 28.00, 0.00, 24.00, 3.00, 0.00, 0.00,  0,  2
12,"Node 12", 24.00, 0.00, 28.00, 0.00, 0.00, 0.00,  0,  2
13,"Node 13", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  2
14,"Node 14", 24.00, 0.00, 28.00, 1.00, 0.00, 0.00,  0,  2
15,"Node 15", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 20.00, 0.00, 32.00, 0.00, 0.00, 0.00,  0,  2
17,"Node 17", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  2
18,"Node 18", 28.00, 0.00, 24.00, 203.00, 0.00, 0.00,  0,  1
19,"Node 19", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  2
21,"Node 21", 28.00, 0.00, 24.00, 31.00, 0.00, 0.00,  0,  1
22,"Node 22", 33.00, 0.00, 19.00, 46.00, 0.00, 0.00,  0,  1
23,"Node 23", 31.00, 0.00, 21.00, 29.00, 0.00, 0.00,  0,  1
24,"Node 24", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  2
25,"Node 25", 33.00, 0.00, 19.00, 4.00, 0.00, 0.00,  0,  2
26,"Node 26", 24.00, 0.00, 28.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 29.00, 0.00, 23.00, 0.00, 0.00, 0.00,  0,  2
28,"Node 28", 18.00, 0.00, 34.00, 0.00, 0.00, 0.00,  0,  1
29,"Node 29", 26.00, 0.00, 26.00, 0.00, 0.00, 0.00,  0,  1
30,"Node 30", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  1
31,"Node 31", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
32,"Node 32", 25.00, 0.00, 27.00, 0.00, 0.00, 0.00,  0,  2
