Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 0.00, 0.00, 0.00, 971.00, 0.00, 0.00,  0,  0
2,"Node 2", 36.00, 0.00, 16.00, 365.00, 0.00, 0.00,  0,  1
3,"Node 3", 39.00, 0.00, 13.00, 584.00, 0.00, 0.00,  0,  1
4,"Node 4", 42.00, 0.00, 10.00, 197.00, 0.00, 0.00,  0,  2
5,"Node 5", 28.00, 0.00, 24.00, 171.00, 0.00, 0.00,  0,  1
6,"Node 6", 38.00, 0.00, 14.00, 2.00, 0.00, 0.00,  0,  2
7,"Node 7", 42.00, 0.00, 10.00, 132.00, 0.00, 0.00,  0,  2
8,"Node 8", 46.00, 0.00, 6.00, 44.00, 0.00, 0.00,  0,  2
9,"Node 9", 31.00, 0.00, 21.00, 55.00, 0.00, 0.00,  0,  1
10,"Node 10", 42.00, 0.00, 10.00, 2.00, 0.00, 0.00,  0,  2
11,"Node 11", 0.00, 0.00, 0.00, 6.00, 0.00, 0.00,  0,  0
12,"Node 12", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
13,"Node 13", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 43.00, 0.00, 9.00, 5.00, 0.00, 0.00,  0,  2
15,"Node 15", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 37.00, 0.00, 15.00, 10.00, 0.00, 0.00,  0,  1
17,"Node 17", 33.00, 0.00, 19.00, 0.00, 0.00, 0.00,  0,  1
18,"Node 18", 40.00, 0.00, 12.00, 43.00, 0.00, 0.00,  0,  2
19,"Node 19", 37.00, 0.00, 15.00, 0.00, 0.00, 0.00,  0,  2
20,"Node 20", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  2
21,"Node 21", 46.00, 0.00, 6.00, 10.00, 0.00, 0.00,  0,  1
22,"Node 22", 35.00, 0.00, 17.00, 3.00, 0.00, 0.00,  0,  2
23,"Node 23", 37.00, 0.00, 15.00, 1.00, 0.00, 0.00,  0,  2
24,"Node 24", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 44.00, 0.00, 8.00, 6.00, 0.00, 0.00,  0,  2
26,"Node 26", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
27,"Node 27", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  2
28,"Node 28", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  2
29,"Node 29", 37.00, 0.00, 15.00, 0.00, 0.00, 0.00,  0,  2
30,"Node 30", 40.00, 0.00, 12.00, 0.00, 0.00, 0.00,  0,  2
31,"Node 31", 44.00, 0.00, 8.00, 1.00, 0.00, 0.00,  0,  2
32,"Node 32", 41.00, 0.00, 11.00, 2.00, 0.00, 0.00,  0,  2
33,"Node 33", 33.00, 0.00, 19.00, 1.00, 0.00, 0.00,  0,  2
34,"Node 34", 39.00, 0.00, 13.00, 3.00, 0.00, 0.00,  0,  1
35,"Node 35", 41.00, 0.00, 11.00, 0.00, 0.00, 0.00,  0,  2
36,"Node 36", 41.00, 0.00, 11.00, 0.00, 0.00, 0.00,  0,  2
37,"Node 37", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  2
38,"Node 38", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
39,"Node 39", 33.00, 0.00, 19.00, 0.00, 0.00, 0.00,  0,  2
40,"Node 40", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
41,"Node 41", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  2
42,"Node 42", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  2
43,"Node 43", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  1
44,"Node 44", 37.00, 0.00, 15.00, 0.00, 0.00, 0.00,  0,  2
45,"Node 45", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  2
46,"Node 46", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  2
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
48,"Node 48", 36.00, 0.00, 16.00, 0.00, 0.00, 0.00,  0,  2
49,"Node 49", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  2
50,"Node 50", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  2
51,"Node 51", 48.00, 0.00, 4.00, 1.00, 0.00, 0.00,  0,  1
52,"Node 52", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  1
53,"Node 53", 39.00, 0.00, 13.00, 6.00, 0.00, 0.00,  0,  1
54,"Node 54", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 47.00, 0.00, 5.00, 1.00, 0.00, 0.00,  0,  2
56,"Node 56", 40.00, 0.00, 12.00, 1.00, 0.00, 0.00,  0,  2
57,"Node 57", 40.00, 0.00, 12.00, 0.00, 0.00, 0.00,  0,  2
58,"Node 58", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
59,"Node 59", 41.00, 0.00, 11.00, 0.00, 0.00, 0.00,  0,  1
60,"Node 60", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  2
61,"Node 61", 41.00, 0.00, 11.00, 0.00, 0.00, 0.00,  0,  2
62,"Node 62", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  2
63,"Node 63", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
64,"Node 64", 40.00, 0.00, 12.00, 3.00, 0.00, 0.00,  0,  2
65,"Node 65", 40.00, 0.00, 12.00, 0.00, 0.00, 0.00,  0,  2
66,"Node 66", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  1
67,"Node 67", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
68,"Node 68", 31.00, 0.00, 21.00, 3.00, 0.00, 0.00,  0,  2
69,"Node 69", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  2
70,"Node 70", 41.00, 0.00, 11.00, 2.00, 0.00, 0.00,  0,  1
71,"Node 71", 51.00, 0.00, 1.00, 0.00, 0.00, 0.00,  0,  2
72,"Node 72", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  2
73,"Node 73", 37.00, 0.00, 15.00, 0.00, 0.00, 0.00,  0,  2
74,"Node 74", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  2
75,"Node 75", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  2
76,"Node 76", 33.00, 0.00, 19.00, 0.00, 0.00, 0.00,  0,  2
77,"Node 77", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
78,"Node 78", 31.00, 0.00, 21.00, 0.00, 0.00, 0.00,  0,  2
79,"Node 79", 33.00, 0.00, 19.00, 0.00, 0.00, 0.00,  0,  2
80,"Node 80", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  2
81,"Node 81", 43.00, 0.00, 9.00, 1.00, 0.00, 0.00,  0,  2
82,"Node 82", 39.00, 0.00, 13.00, 0.00, 0.00, 0.00,  0,  2
83,"Node 83", 29.00, 0.00, 23.00, 0.00, 0.00, 0.00,  0,  1
84,"Node 84", 41.00, 0.00, 11.00, 0.00, 0.00, 0.00,  0,  2
85,"Node 85", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  2
86,"Node 86", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  1
87,"Node 87", 37.00, 0.00, 15.00, 0.00, 0.00, 0.00,  0,  2
88,"Node 88", 28.00, 0.00, 24.00, 0.00, 0.00, 0.00,  0,  1
89,"Node 89", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  2
90,"Node 90", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  2
91,"Node 91", 36.00, 0.00, 16.00, 1.00, 0.00, 0.00,  0,  1
92,"Node 92", 42.00, 0.00, 10.00, 0.00, 0.00, 0.00,  0,  2
93,"Node 93", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
94,"Node 94", 40.00, 0.00, 12.00, 0.00, 0.00, 0.00,  0,  2
95,"Node 95", 34.00, 0.00, 18.00, 0.00, 0.00, 0.00,  0,  1
96,"Node 96", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  2
97,"Node 97", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  2
98,"Node 98", 41.00, 0.00, 11.00, 0.00, 0.00, 0.00,  0,  2
99,"Node 99", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  1
100,"Node 100", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
