Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 49.00, 0.00, 3.00, 267.00, 0.00, 0.00,  0,  2
2,"Node 2", 51.00, 0.00, 1.00, 4.00, 0.00, 0.00,  0,  2
3,"Node 3", 49.00, 0.00, 3.00, 51.00, 0.00, 0.00,  0,  2
4,"Node 4", 51.00, 0.00, 1.00, 31.00, 0.00, 0.00,  0,  2
5,"Node 5", 51.00, 0.00, 1.00, 18.00, 0.00, 0.00,  0,  2
6,"Node 6", 47.00, 0.00, 5.00, 33.00, 0.00, 0.00,  0,  2
7,"Node 7", 47.00, 0.00, 5.00, 50.00, 0.00, 0.00,  0,  2
8,"Node 8", 50.00, 0.00, 2.00, 31.00, 0.00, 0.00,  0,  2
9,"Node 9", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
10,"Node 10", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
11,"Node 11", 49.00, 0.00, 3.00, 1.00, 0.00, 0.00,  0,  2
12,"Node 12", 48.00, 0.00, 4.00, 4.00, 0.00, 0.00,  0,  2
13,"Node 13", 51.00, 0.00, 1.00, 0.00, 0.00, 0.00,  0,  2
14,"Node 14", 50.00, 0.00, 2.00, 5.00, 0.00, 0.00,  0,  2
15,"Node 15", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  2
16,"Node 16", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
17,"Node 17", 46.00, 0.00, 6.00, 1.00, 0.00, 0.00,  0,  2
18,"Node 18", 48.00, 0.00, 4.00, 20.00, 0.00, 0.00,  0,  2
19,"Node 19", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
20,"Node 20", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
21,"Node 21", 51.00, 0.00, 1.00, 1.00, 0.00, 0.00,  0,  2
22,"Node 22", 48.00, 0.00, 4.00, 1.00, 0.00, 0.00,  0,  2
23,"Node 23", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
24,"Node 24", 51.00, 0.00, 1.00, 1.00, 0.00, 0.00,  0,  2
25,"Node 25", 51.00, 0.00, 1.00, 1.00, 0.00, 0.00,  0,  2
26,"Node 26", 50.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  2
27,"Node 27", 49.00, 0.00, 3.00, 0.00, 0.00, 0.00,  0,  2
28,"Node 28", 46.00, 0.00, 6.00, 1.00, 0.00, 0.00,  0,  2
