Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 34.00, 0.00, 18.00, 0.00, 0.00,  1
2,"Node 2", 46.00, 0.00, 6.00, 0.00, 0.00,  1
3,"Node 3", 0.00, 0.00, 0.00, 0.00, 0.00,  0
4,"Node 4", 42.00, 0.00, 10.00, 0.00, 0.00,  1
5,"Node 5", 39.00, 0.00, 13.00, 0.00, 0.00,  2
6,"Node 6", 48.00, 0.00, 4.00, 0.00, 0.00,  2
7,"Node 7", 46.00, 0.00, 6.00, 0.00, 0.00,  2
8,"Node 8", 45.00, 0.00, 7.00, 0.00, 0.00,  2
9,"Node 9", 45.00, 0.00, 7.00, 0.00, 0.00,  1
10,"Node 10", 39.00, 0.00, 13.00, 0.00, 0.00,  2
11,"Node 11", 44.00, 0.00, 8.00, 0.00, 0.00,  2
12,"Node 12", 43.00, 0.00, 9.00, 0.00, 0.00,  2
13,"Node 13", 40.00, 0.00, 12.00, 0.00, 0.00,  2
14,"Node 14", 37.00, 0.00, 15.00, 0.00, 0.00,  1
15,"Node 15", 26.00, 0.00, 26.00, 0.00, 0.00,  1
16,"Node 16", 41.00, 0.00, 11.00, 0.00, 0.00,  2
17,"Node 17", 40.00, 3.00, 9.00, 0.00, 0.00,  2
18,"Node 18", 48.00, 0.00, 4.00, 0.00, 0.00,  2
19,"Node 19", 35.00, 0.00, 17.00, 0.00, 0.00,  2
20,"Node 20", 42.00, 0.00, 10.00, 0.00, 0.00,  2
21,"Node 21", 45.00, 0.00, 7.00, 0.00, 0.00,  1
22,"Node 22", 47.00, 0.00, 5.00, 0.00, 0.00,  2
23,"Node 23", 41.00, 0.00, 11.00, 0.00, 0.00,  2
24,"Node 24", 41.00, 0.00, 11.00, 0.00, 0.00,  2
25,"Node 25", 40.00, 2.00, 10.00, 0.00, 0.00,  2
26,"Node 26", 50.00, 0.00, 2.00, 0.00, 0.00,  2
27,"Node 27", 44.00, 0.00, 8.00, 0.00, 0.00,  2
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00,  0
29,"Node 29", 42.00, 0.00, 10.00, 0.00, 0.00,  2
30,"Node 30", 37.00, 0.00, 15.00, 0.00, 0.00,  2
31,"Node 31", 41.00, 2.00, 9.00, 0.00, 0.00,  2
32,"Node 32", 42.00, 0.00, 10.00, 0.00, 0.00,  2
33,"Node 33", 47.00, 0.00, 5.00, 0.00, 0.00,  2
34,"Node 34", 38.00, 0.00, 14.00, 0.00, 0.00,  2
35,"Node 35", 32.00, 1.00, 19.00, 0.00, 0.00,  2
36,"Node 36", 38.00, 0.00, 14.00, 0.00, 0.00,  2
37,"Node 37", 31.00, 0.00, 21.00, 0.00, 0.00,  1
38,"Node 38", 40.00, 1.00, 11.00, 0.00, 0.00,  2
39,"Node 39", 38.00, 0.00, 14.00, 0.00, 0.00,  1
40,"Node 40", 39.00, 0.00, 13.00, 0.00, 0.00,  2
41,"Node 41", 38.00, 0.00, 14.00, 0.00, 0.00,  1
42,"Node 42", 37.00, 0.00, 15.00, 0.00, 0.00,  1
43,"Node 43", 40.00, 2.00, 10.00, 0.00, 0.00,  2
44,"Node 44", 44.00, 1.00, 7.00, 0.00, 0.00,  2
45,"Node 45", 39.00, 2.00, 11.00, 0.00, 0.00,  1
46,"Node 46", 30.00, 0.00, 22.00, 0.00, 0.00,  2
47,"Node 47", 38.00, 0.00, 14.00, 0.00, 0.00,  1
48,"Node 48", 40.00, 2.00, 10.00, 0.00, 0.00,  2
49,"Node 49", 29.00, 0.00, 23.00, 0.00, 0.00,  1
50,"Node 50", 37.00, 0.00, 15.00, 0.00, 0.00,  2
51,"Node 51", 44.00, 0.00, 8.00, 0.00, 0.00,  2
52,"Node 52", 41.00, 0.00, 11.00, 0.00, 0.00,  2
53,"Node 53", 41.00, 1.00, 10.00, 0.00, 0.00,  1
54,"Node 54", 28.00, 1.00, 23.00, 0.00, 0.00,  2
55,"Node 55", 43.00, 0.00, 9.00, 0.00, 0.00,  2
56,"Node 56", 40.00, 0.00, 12.00, 0.00, 0.00,  2
57,"Node 57", 0.00, 0.00, 0.00, 0.00, 0.00,  0
58,"Node 58", 33.00, 11.00, 8.00, 0.00, 0.00,  2
59,"Node 59", 42.00, 3.00, 7.00, 0.00, 0.00,  2
60,"Node 60", 44.00, 0.00, 8.00, 0.00, 0.00,  1
61,"Node 61", 36.00, 0.00, 16.00, 0.00, 0.00,  1
62,"Node 62", 42.00, 0.00, 10.00, 0.00, 0.00,  2
