Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 37.00, 0.00, 14.00, 0.00, 1.00,  2
2,"Node 2", 42.00, 0.00, 9.00, 0.00, 1.00,  2
3,"Node 3", 38.00, 0.00, 13.00, 0.00, 1.00,  2
4,"Node 4", 42.00, 0.00, 9.00, 0.00, 1.00,  2
5,"Node 5", 40.00, 0.00, 11.00, 0.00, 1.00,  2
6,"Node 6", 22.00, 0.00, 27.00, 0.00, 3.00,  1
7,"Node 7", 44.00, 0.00, 7.00, 0.00, 1.00,  2
8,"Node 8", 42.00, 0.00, 9.00, 0.00, 1.00,  2
9,"Node 9", 41.00, 0.00, 10.00, 0.00, 1.00,  2
10,"Node 10", 28.00, 0.00, 10.00, 0.00, 14.00,  1
11,"Node 11", 42.00, 0.00, 6.00, 0.00, 4.00,  2
12,"Node 12", 40.00, 0.00, 11.00, 0.00, 1.00,  2
13,"Node 13", 28.00, 0.00, 6.00, 0.00, 18.00,  1
14,"Node 14", 41.00, 0.00, 10.00, 0.00, 1.00,  2
15,"Node 15", 34.00, 0.00, 17.00, 0.00, 1.00,  2
16,"Node 16", 28.00, 0.00, 14.00, 0.00, 10.00,  1
17,"Node 17", 28.00, 1.00, 8.00, 0.00, 15.00,  1
18,"Node 18", 37.00, 0.00, 14.00, 0.00, 1.00,  2
19,"Node 19", 36.00, 0.00, 15.00, 0.00, 1.00,  2
20,"Node 20", 43.00, 0.00, 8.00, 0.00, 1.00,  2
21,"Node 21", 25.00, 0.00, 25.00, 0.00, 2.00,  1
22,"Node 22", 0.00, 0.00, 0.00, 0.00, 0.00,  0
23,"Node 23", 41.00, 0.00, 10.00, 0.00, 1.00,  2
24,"Node 24", 28.00, 0.00, 9.00, 0.00, 15.00,  1
25,"Node 25", 32.00, 0.00, 18.00, 0.00, 2.00,  2
26,"Node 26", 41.00, 0.00, 9.00, 0.00, 2.00,  2
27,"Node 27", 28.00, 0.00, 10.00, 0.00, 14.00,  1
28,"Node 28", 28.00, 0.00, 11.00, 0.00, 13.00,  1
29,"Node 29", 26.00, 0.00, 9.00, 0.00, 17.00,  1
30,"Node 30", 28.00, 0.00, 9.00, 0.00, 15.00,  1
31,"Node 31", 30.00, 4.00, 17.00, 0.00, 1.00,  2
32,"Node 32", 36.00, 0.00, 15.00, 0.00, 1.00,  2
