Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 49.00, 0.00, 3.00, 0.00, 0.00,  2
2,"Node 2", 0.00, 0.00, 0.00, 0.00, 0.00,  0
3,"Node 3", 50.00, 0.00, 2.00, 0.00, 0.00,  2
4,"Node 4", 51.00, 0.00, 1.00, 0.00, 0.00,  2
5,"Node 5", 50.00, 0.00, 2.00, 0.00, 0.00,  1
6,"Node 6", 52.00, 0.00, 0.00, 0.00, 0.00,  2
7,"Node 7", 49.00, 0.00, 3.00, 0.00, 0.00,  1
8,"Node 8", 50.00, 0.00, 2.00, 0.00, 0.00,  2
9,"Node 9", 52.00, 0.00, 0.00, 0.00, 0.00,  2
10,"Node 10", 50.00, 0.00, 2.00, 0.00, 0.00,  2
11,"Node 11", 48.00, 0.00, 4.00, 0.00, 0.00,  1
12,"Node 12", 52.00, 0.00, 0.00, 0.00, 0.00,  2
13,"Node 13", 51.00, 0.00, 1.00, 0.00, 0.00,  2
14,"Node 14", 51.00, 0.00, 1.00, 0.00, 0.00,  2
15,"Node 15", 50.00, 0.00, 2.00, 0.00, 0.00,  2
16,"Node 16", 48.00, 0.00, 4.00, 0.00, 0.00,  2
17,"Node 17", 44.00, 3.00, 5.00, 0.00, 0.00,  2
18,"Node 18", 50.00, 0.00, 2.00, 0.00, 0.00,  2
19,"Node 19", 49.00, 0.00, 3.00, 0.00, 0.00,  2
20,"Node 20", 52.00, 0.00, 0.00, 0.00, 0.00,  2
21,"Node 21", 50.00, 0.00, 2.00, 0.00, 0.00,  2
22,"Node 22", 52.00, 0.00, 0.00, 0.00, 0.00,  2
23,"Node 23", 51.00, 0.00, 1.00, 0.00, 0.00,  2
24,"Node 24", 52.00, 0.00, 0.00, 0.00, 0.00,  2
25,"Node 25", 52.00, 0.00, 0.00, 0.00, 0.00,  1
26,"Node 26", 52.00, 0.00, 0.00, 0.00, 0.00,  1
27,"Node 27", 51.00, 0.00, 1.00, 0.00, 0.00,  2
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00,  0
29,"Node 29", 51.00, 0.00, 1.00, 0.00, 0.00,  1
30,"Node 30", 50.00, 0.00, 2.00, 0.00, 0.00,  2
31,"Node 31", 48.00, 2.00, 2.00, 0.00, 0.00,  2
32,"Node 32", 48.00, 1.00, 3.00, 0.00, 0.00,  1
33,"Node 33", 51.00, 0.00, 1.00, 0.00, 0.00,  2
34,"Node 34", 49.00, 0.00, 3.00, 0.00, 0.00,  2
35,"Node 35", 51.00, 0.00, 1.00, 0.00, 0.00,  1
36,"Node 36", 50.00, 0.00, 2.00, 0.00, 0.00,  2
37,"Node 37", 50.00, 0.00, 2.00, 0.00, 0.00,  2
38,"Node 38", 49.00, 1.00, 2.00, 0.00, 0.00,  2
39,"Node 39", 48.00, 0.00, 4.00, 0.00, 0.00,  2
40,"Node 40", 51.00, 0.00, 1.00, 0.00, 0.00,  1
41,"Node 41", 50.00, 0.00, 2.00, 0.00, 0.00,  1
42,"Node 42", 51.00, 0.00, 1.00, 0.00, 0.00,  2
43,"Node 43", 48.00, 2.00, 2.00, 0.00, 0.00,  2
44,"Node 44", 49.00, 1.00, 2.00, 0.00, 0.00,  1
45,"Node 45", 48.00, 0.00, 4.00, 0.00, 0.00,  1
46,"Node 46", 50.00, 0.00, 2.00, 0.00, 0.00,  2
47,"Node 47", 50.00, 0.00, 2.00, 0.00, 0.00,  2
48,"Node 48", 50.00, 1.00, 1.00, 0.00, 0.00,  2
49,"Node 49", 49.00, 0.00, 3.00, 0.00, 0.00,  1
50,"Node 50", 48.00, 3.00, 1.00, 0.00, 0.00,  2
51,"Node 51", 49.00, 0.00, 3.00, 0.00, 0.00,  2
52,"Node 52", 52.00, 0.00, 0.00, 0.00, 0.00,  2
53,"Node 53", 51.00, 0.00, 1.00, 0.00, 0.00,  2
54,"Node 54", 41.00, 6.00, 5.00, 0.00, 0.00,  2
55,"Node 55", 50.00, 0.00, 2.00, 0.00, 0.00,  2
56,"Node 56", 46.00, 4.00, 2.00, 0.00, 0.00,  2
