Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 39.00, 10.00, 3.00, 0.00, 0.00,  2
2,"Node 2", 29.00, 22.00, 1.00, 0.00, 0.00,  2
3,"Node 3", 29.00, 18.00, 5.00, 0.00, 0.00,  1
4,"Node 4", 31.00, 18.00, 3.00, 0.00, 0.00,  2
5,"Node 5", 0.00, 0.00, 0.00, 0.00, 0.00,  0
6,"Node 6", 24.00, 26.00, 2.00, 0.00, 0.00,  1
7,"Node 7", 27.00, 23.00, 2.00, 0.00, 0.00,  1
8,"Node 8", 22.00, 28.00, 2.00, 0.00, 0.00,  2
9,"Node 9", 18.00, 32.00, 2.00, 0.00, 0.00,  2
10,"Node 10", 15.00, 36.00, 1.00, 0.00, 0.00,  2
11,"Node 11", 18.00, 34.00, 0.00, 0.00, 0.00,  2
12,"Node 12", 18.00, 33.00, 1.00, 0.00, 0.00,  2
13,"Node 13", 11.00, 41.00, 0.00, 0.00, 0.00,  2
14,"Node 14", 24.00, 27.00, 1.00, 0.00, 0.00,  2
15,"Node 15", 12.00, 39.00, 1.00, 0.00, 0.00,  2
16,"Node 16", 8.00, 43.00, 1.00, 0.00, 0.00,  2
17,"Node 17", 10.00, 42.00, 0.00, 0.00, 0.00,  2
18,"Node 18", 24.00, 27.00, 1.00, 0.00, 0.00,  1
19,"Node 19", 12.00, 36.00, 4.00, 0.00, 0.00,  2
20,"Node 20", 0.00, 0.00, 0.00, 0.00, 0.00,  0
21,"Node 21", 18.00, 32.00, 2.00, 0.00, 0.00,  1
22,"Node 22", 18.00, 33.00, 1.00, 0.00, 0.00,  2
23,"Node 23", 14.00, 38.00, 0.00, 0.00, 0.00,  1
24,"Node 24", 13.00, 37.00, 2.00, 0.00, 0.00,  2
25,"Node 25", 14.00, 38.00, 0.00, 0.00, 0.00,  2
26,"Node 26", 23.00, 25.00, 4.00, 0.00, 0.00,  2
27,"Node 27", 0.00, 0.00, 0.00, 0.00, 0.00,  0
28,"Node 28", 23.00, 25.00, 4.00, 0.00, 0.00,  2
29,"Node 29", 16.00, 35.00, 1.00, 0.00, 0.00,  2
30,"Node 30", 0.00, 0.00, 0.00, 0.00, 0.00,  0
31,"Node 31", 7.00, 45.00, 0.00, 0.00, 0.00,  2
32,"Node 32", 14.00, 37.00, 1.00, 0.00, 0.00,  1
33,"Node 33", 8.00, 44.00, 0.00, 0.00, 0.00,  2
34,"Node 34", 17.00, 32.00, 3.00, 0.00, 0.00,  2
35,"Node 35", 7.00, 45.00, 0.00, 0.00, 0.00,  2
36,"Node 36", 6.00, 43.00, 3.00, 0.00, 0.00,  2
37,"Node 37", 23.00, 27.00, 2.00, 0.00, 0.00,  2
38,"Node 38", 7.00, 45.00, 0.00, 0.00, 0.00,  2
39,"Node 39", 14.00, 37.00, 1.00, 0.00, 0.00,  1
40,"Node 40", 15.00, 35.00, 2.00, 0.00, 0.00,  2
41,"Node 41", 14.00, 37.00, 1.00, 0.00, 0.00,  1
42,"Node 42", 16.00, 34.00, 2.00, 0.00, 0.00,  2
43,"Node 43", 9.00, 43.00, 0.00, 0.00, 0.00,  2
44,"Node 44", 5.00, 47.00, 0.00, 0.00, 0.00,  1
45,"Node 45", 11.00, 39.00, 2.00, 0.00, 0.00,  2
46,"Node 46", 8.00, 42.00, 2.00, 0.00, 0.00,  1
47,"Node 47", 14.00, 36.00, 2.00, 0.00, 0.00,  2
48,"Node 48", 0.00, 0.00, 0.00, 0.00, 0.00,  0
49,"Node 49", 15.00, 34.00, 3.00, 0.00, 0.00,  2
50,"Node 50", 4.00, 48.00, 0.00, 0.00, 0.00,  2
51,"Node 51", 10.00, 42.00, 0.00, 0.00, 0.00,  1
52,"Node 52", 9.00, 43.00, 0.00, 0.00, 0.00,  1
53,"Node 53", 16.00, 36.00, 0.00, 0.00, 0.00,  1
54,"Node 54", 2.00, 50.00, 0.00, 0.00, 0.00,  2
55,"Node 55", 9.00, 43.00, 0.00, 0.00, 0.00,  2
56,"Node 56", 4.00, 48.00, 0.00, 0.00, 0.00,  2
57,"Node 57", 6.00, 46.00, 0.00, 0.00, 0.00,  1
58,"Node 58", 4.00, 48.00, 0.00, 0.00, 0.00,  2
59,"Node 59", 1.00, 51.00, 0.00, 0.00, 0.00,  2
60,"Node 60", 9.00, 43.00, 0.00, 0.00, 0.00,  2
61,"Node 61", 16.00, 35.00, 1.00, 0.00, 0.00,  2
62,"Node 62", 10.00, 42.00, 0.00, 0.00, 0.00,  1
63,"Node 63", 16.00, 36.00, 0.00, 0.00, 0.00,  2
64,"Node 64", 9.00, 43.00, 0.00, 0.00, 0.00,  2
65,"Node 65", 13.00, 37.00, 2.00, 0.00, 0.00,  1
66,"Node 66", 15.00, 33.00, 4.00, 0.00, 0.00,  2
67,"Node 67", 5.00, 47.00, 0.00, 0.00, 0.00,  2
68,"Node 68", 13.00, 36.00, 3.00, 0.00, 0.00,  2
69,"Node 69", 13.00, 39.00, 0.00, 0.00, 0.00,  2
70,"Node 70", 7.00, 44.00, 1.00, 0.00, 0.00,  2
71,"Node 71", 5.00, 47.00, 0.00, 0.00, 0.00,  2
72,"Node 72", 18.00, 32.00, 2.00, 0.00, 0.00,  1
73,"Node 73", 11.00, 41.00, 0.00, 0.00, 0.00,  2
74,"Node 74", 6.00, 46.00, 0.00, 0.00, 0.00,  2
75,"Node 75", 17.00, 31.00, 4.00, 0.00, 0.00,  2
76,"Node 76", 8.00, 42.00, 2.00, 0.00, 0.00,  1
77,"Node 77", 6.00, 46.00, 0.00, 0.00, 0.00,  2
78,"Node 78", 5.00, 47.00, 0.00, 0.00, 0.00,  1
79,"Node 79", 10.00, 42.00, 0.00, 0.00, 0.00,  2
80,"Node 80", 4.00, 48.00, 0.00, 0.00, 0.00,  2
81,"Node 81", 15.00, 36.00, 1.00, 0.00, 0.00,  2
82,"Node 82", 11.00, 41.00, 0.00, 0.00, 0.00,  1
83,"Node 83", 6.00, 46.00, 0.00, 0.00, 0.00,  2
84,"Node 84", 7.00, 45.00, 0.00, 0.00, 0.00,  2
85,"Node 85", 8.00, 43.00, 1.00, 0.00, 0.00,  2
86,"Node 86", 6.00, 46.00, 0.00, 0.00, 0.00,  2
87,"Node 87", 8.00, 42.00, 2.00, 0.00, 0.00,  2
88,"Node 88", 3.00, 49.00, 0.00, 0.00, 0.00,  2
89,"Node 89", 16.00, 35.00, 1.00, 0.00, 0.00,  1
90,"Node 90", 10.00, 40.00, 2.00, 0.00, 0.00,  2
91,"Node 91", 3.00, 49.00, 0.00, 0.00, 0.00,  2
92,"Node 92", 1.00, 51.00, 0.00, 0.00, 0.00,  1
93,"Node 93", 6.00, 46.00, 0.00, 0.00, 0.00,  2
94,"Node 94", 10.00, 39.00, 3.00, 0.00, 0.00,  2
95,"Node 95", 14.00, 37.00, 1.00, 0.00, 0.00,  1
96,"Node 96", 7.00, 45.00, 0.00, 0.00, 0.00,  2
97,"Node 97", 2.00, 50.00, 0.00, 0.00, 0.00,  2
98,"Node 98", 4.00, 48.00, 0.00, 0.00, 0.00,  2
99,"Node 99", 4.00, 48.00, 0.00, 0.00, 0.00,  2
100,"Node 100", 9.00, 43.00, 0.00, 0.00, 0.00,  2
