Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 51.00, 0.00, 1.00, 0.00, 0.00,  2
2,"Node 2", 51.00, 0.00, 1.00, 0.00, 0.00,  2
3,"Node 3", 48.00, 0.00, 4.00, 0.00, 0.00,  2
4,"Node 4", 46.00, 0.00, 6.00, 0.00, 0.00,  2
5,"Node 5", 49.00, 0.00, 3.00, 0.00, 0.00,  2
6,"Node 6", 48.00, 0.00, 4.00, 0.00, 0.00,  2
7,"Node 7", 28.00, 0.00, 24.00, 0.00, 0.00,  1
8,"Node 8", 47.00, 0.00, 5.00, 0.00, 0.00,  2
9,"Node 9", 48.00, 0.00, 4.00, 0.00, 0.00,  2
10,"Node 10", 50.00, 0.00, 2.00, 0.00, 0.00,  2
11,"Node 11", 47.00, 0.00, 5.00, 0.00, 0.00,  2
12,"Node 12", 49.00, 0.00, 3.00, 0.00, 0.00,  2
13,"Node 13", 47.00, 0.00, 5.00, 0.00, 0.00,  2
14,"Node 14", 48.00, 0.00, 4.00, 0.00, 0.00,  2
15,"Node 15", 46.00, 0.00, 6.00, 0.00, 0.00,  2
16,"Node 16", 51.00, 0.00, 1.00, 0.00, 0.00,  2
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00,  0
18,"Node 18", 49.00, 0.00, 3.00, 0.00, 0.00,  2
19,"Node 19", 47.00, 0.00, 5.00, 0.00, 0.00,  1
20,"Node 20", 52.00, 0.00, 0.00, 0.00, 0.00,  2
21,"Node 21", 47.00, 0.00, 5.00, 0.00, 0.00,  2
22,"Node 22", 50.00, 0.00, 2.00, 0.00, 0.00,  2
23,"Node 23", 46.00, 1.00, 5.00, 0.00, 0.00,  2
24,"Node 24", 50.00, 0.00, 2.00, 0.00, 0.00,  2
25,"Node 25", 49.00, 1.00, 2.00, 0.00, 0.00,  2
26,"Node 26", 47.00, 0.00, 5.00, 0.00, 0.00,  2
27,"Node 27", 44.00, 0.00, 8.00, 0.00, 0.00,  1
28,"Node 28", 44.00, 0.00, 8.00, 0.00, 0.00,  1
29,"Node 29", 48.00, 0.00, 4.00, 0.00, 0.00,  1
30,"Node 30", 50.00, 0.00, 2.00, 0.00, 0.00,  2
31,"Node 31", 44.00, 2.00, 6.00, 0.00, 0.00,  1
32,"Node 32", 47.00, 1.00, 4.00, 0.00, 0.00,  2
