Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 41.00, 0.00, 11.00, 0.00, 0.00,  1
2,"Node 2", 48.00, 0.00, 4.00, 0.00, 0.00,  2
3,"Node 3", 47.00, 0.00, 5.00, 0.00, 0.00,  2
4,"Node 4", 45.00, 0.00, 7.00, 0.00, 0.00,  1
5,"Node 5", 49.00, 0.00, 3.00, 0.00, 0.00,  2
6,"Node 6", 49.00, 0.00, 3.00, 0.00, 0.00,  1
7,"Node 7", 45.00, 0.00, 7.00, 0.00, 0.00,  2
8,"Node 8", 42.00, 0.00, 10.00, 0.00, 0.00,  1
9,"Node 9", 49.00, 0.00, 3.00, 0.00, 0.00,  2
10,"Node 10", 46.00, 0.00, 6.00, 0.00, 0.00,  2
11,"Node 11", 46.00, 0.00, 6.00, 0.00, 0.00,  1
12,"Node 12", 49.00, 0.00, 3.00, 0.00, 0.00,  2
13,"Node 13", 49.00, 0.00, 3.00, 0.00, 0.00,  1
14,"Node 14", 47.00, 0.00, 5.00, 0.00, 0.00,  2
15,"Node 15", 46.00, 0.00, 6.00, 0.00, 0.00,  1
16,"Node 16", 46.00, 0.00, 6.00, 0.00, 0.00,  2
17,"Node 17", 45.00, 0.00, 7.00, 0.00, 0.00,  1
18,"Node 18", 46.00, 0.00, 6.00, 0.00, 0.00,  2
19,"Node 19", 48.00, 0.00, 4.00, 0.00, 0.00,  2
20,"Node 20", 46.00, 0.00, 6.00, 0.00, 0.00,  2
21,"Node 21", 48.00, 0.00, 4.00, 0.00, 0.00,  2
22,"Node 22", 46.00, 0.00, 6.00, 0.00, 0.00,  1
23,"Node 23", 48.00, 0.00, 4.00, 0.00, 0.00,  2
24,"Node 24", 42.00, 0.00, 10.00, 0.00, 0.00,  2
25,"Node 25", 47.00, 0.00, 5.00, 0.00, 0.00,  2
26,"Node 26", 47.00, 0.00, 5.00, 0.00, 0.00,  2
27,"Node 27", 48.00, 0.00, 4.00, 0.00, 0.00,  2
28,"Node 28", 45.00, 0.00, 7.00, 0.00, 0.00,  2
29,"Node 29", 46.00, 0.00, 6.00, 0.00, 0.00,  1
30,"Node 30", 44.00, 0.00, 8.00, 0.00, 0.00,  2
31,"Node 31", 46.00, 0.00, 6.00, 0.00, 0.00,  2
32,"Node 32", 51.00, 0.00, 1.00, 0.00, 0.00,  2
33,"Node 33", 45.00, 0.00, 7.00, 0.00, 0.00,  1
34,"Node 34", 49.00, 0.00, 3.00, 0.00, 0.00,  2
35,"Node 35", 0.00, 0.00, 0.00, 0.00, 0.00,  0
36,"Node 36", 42.00, 0.00, 10.00, 0.00, 0.00,  2
37,"Node 37", 44.00, 0.00, 8.00, 0.00, 0.00,  2
38,"Node 38", 50.00, 0.00, 2.00, 0.00, 0.00,  2
39,"Node 39", 45.00, 0.00, 7.00, 0.00, 0.00,  2
40,"Node 40", 44.00, 0.00, 8.00, 0.00, 0.00,  2
41,"Node 41", 47.00, 0.00, 5.00, 0.00, 0.00,  2
42,"Node 42", 45.00, 0.00, 7.00, 0.00, 0.00,  2
43,"Node 43", 45.00, 0.00, 7.00, 0.00, 0.00,  2
44,"Node 44", 43.00, 0.00, 9.00, 0.00, 0.00,  2
45,"Node 45", 45.00, 0.00, 7.00, 0.00, 0.00,  2
46,"Node 46", 45.00, 0.00, 7.00, 0.00, 0.00,  2
47,"Node 47", 44.00, 0.00, 8.00, 0.00, 0.00,  1
48,"Node 48", 48.00, 0.00, 4.00, 0.00, 0.00,  2
49,"Node 49", 48.00, 0.00, 4.00, 0.00, 0.00,  2
50,"Node 50", 46.00, 0.00, 6.00, 0.00, 0.00,  2
51,"Node 51", 49.00, 0.00, 3.00, 0.00, 0.00,  1
52,"Node 52", 50.00, 0.00, 2.00, 0.00, 0.00,  2
53,"Node 53", 47.00, 0.00, 5.00, 0.00, 0.00,  2
54,"Node 54", 42.00, 0.00, 10.00, 0.00, 0.00,  2
55,"Node 55", 48.00, 0.00, 4.00, 0.00, 0.00,  2
56,"Node 56", 43.00, 0.00, 9.00, 0.00, 0.00,  2
57,"Node 57", 46.00, 0.00, 6.00, 0.00, 0.00,  1
58,"Node 58", 47.00, 0.00, 5.00, 0.00, 0.00,  2
59,"Node 59", 47.00, 0.00, 5.00, 0.00, 0.00,  2
60,"Node 60", 46.00, 0.00, 6.00, 0.00, 0.00,  2
61,"Node 61", 41.00, 0.00, 11.00, 0.00, 0.00,  1
62,"Node 62", 48.00, 0.00, 4.00, 0.00, 0.00,  2
63,"Node 63", 47.00, 0.00, 5.00, 0.00, 0.00,  2
64,"Node 64", 46.00, 0.00, 6.00, 0.00, 0.00,  1
65,"Node 65", 44.00, 0.00, 8.00, 0.00, 0.00,  2
66,"Node 66", 46.00, 0.00, 6.00, 0.00, 0.00,  2
67,"Node 67", 45.00, 0.00, 7.00, 0.00, 0.00,  2
68,"Node 68", 47.00, 0.00, 5.00, 0.00, 0.00,  2
69,"Node 69", 47.00, 0.00, 5.00, 0.00, 0.00,  1
70,"Node 70", 44.00, 0.00, 8.00, 0.00, 0.00,  1
71,"Node 71", 48.00, 0.00, 4.00, 0.00, 0.00,  2
72,"Node 72", 44.00, 0.00, 8.00, 0.00, 0.00,  2
73,"Node 73", 44.00, 0.00, 8.00, 0.00, 0.00,  2
74,"Node 74", 47.00, 0.00, 5.00, 0.00, 0.00,  2
75,"Node 75", 47.00, 0.00, 5.00, 0.00, 0.00,  2
76,"Node 76", 42.00, 0.00, 10.00, 0.00, 0.00,  2
77,"Node 77", 46.00, 0.00, 6.00, 0.00, 0.00,  2
78,"Node 78", 44.00, 0.00, 8.00, 0.00, 0.00,  2
79,"Node 79", 45.00, 0.00, 7.00, 0.00, 0.00,  2
80,"Node 80", 48.00, 0.00, 4.00, 0.00, 0.00,  1
81,"Node 81", 47.00, 0.00, 5.00, 0.00, 0.00,  2
82,"Node 82", 45.00, 0.00, 7.00, 0.00, 0.00,  2
83,"Node 83", 0.00, 0.00, 0.00, 0.00, 0.00,  0
84,"Node 84", 50.00, 0.00, 2.00, 0.00, 0.00,  1
85,"Node 85", 43.00, 0.00, 9.00, 0.00, 0.00,  2
86,"Node 86", 0.00, 0.00, 0.00, 0.00, 0.00,  0
87,"Node 87", 47.00, 0.00, 5.00, 0.00, 0.00,  2
88,"Node 88", 44.00, 0.00, 8.00, 0.00, 0.00,  2
89,"Node 89", 44.00, 0.00, 8.00, 0.00, 0.00,  2
90,"Node 90", 46.00, 0.00, 6.00, 0.00, 0.00,  1
91,"Node 91", 44.00, 0.00, 8.00, 0.00, 0.00,  2
92,"Node 92", 45.00, 0.00, 7.00, 0.00, 0.00,  1
93,"Node 93", 50.00, 0.00, 2.00, 0.00, 0.00,  2
94,"Node 94", 0.00, 0.00, 0.00, 0.00, 0.00,  0
95,"Node 95", 0.00, 0.00, 0.00, 0.00, 0.00,  0
96,"Node 96", 45.00, 0.00, 7.00, 0.00, 0.00,  2
97,"Node 97", 47.00, 0.00, 5.00, 0.00, 0.00,  1
98,"Node 98", 45.00, 0.00, 7.00, 0.00, 0.00,  2
99,"Node 99", 46.00, 0.00, 6.00, 0.00, 0.00,  2
100,"Node 100", 45.00, 0.00, 7.00, 0.00, 0.00,  1
