Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 49.00, 0.00, 3.00, 0.00, 0.00,  2
2,"Node 2", 40.00, 0.00, 12.00, 0.00, 0.00,  2
3,"Node 3", 0.00, 0.00, 0.00, 0.00, 0.00,  0
4,"Node 4", 46.00, 0.00, 6.00, 0.00, 0.00,  2
5,"Node 5", 52.00, 0.00, 0.00, 0.00, 0.00,  2
6,"Node 6", 44.00, 0.00, 8.00, 0.00, 0.00,  2
7,"Node 7", 44.00, 0.00, 8.00, 0.00, 0.00,  2
8,"Node 8", 48.00, 0.00, 4.00, 0.00, 0.00,  2
9,"Node 9", 43.00, 0.00, 9.00, 0.00, 0.00,  2
10,"Node 10", 51.00, 0.00, 1.00, 0.00, 0.00,  2
11,"Node 11", 45.00, 0.00, 7.00, 0.00, 0.00,  2
12,"Node 12", 39.00, 0.00, 13.00, 0.00, 0.00,  1
13,"Node 13", 37.00, 0.00, 15.00, 0.00, 0.00,  2
14,"Node 14", 49.00, 0.00, 3.00, 0.00, 0.00,  2
15,"Node 15", 36.00, 0.00, 16.00, 0.00, 0.00,  2
16,"Node 16", 46.00, 0.00, 6.00, 0.00, 0.00,  2
17,"Node 17", 45.00, 2.00, 5.00, 0.00, 0.00,  2
18,"Node 18", 48.00, 0.00, 4.00, 0.00, 0.00,  2
19,"Node 19", 50.00, 0.00, 2.00, 0.00, 0.00,  2
20,"Node 20", 39.00, 0.00, 13.00, 0.00, 0.00,  1
21,"Node 21", 40.00, 0.00, 12.00, 0.00, 0.00,  1
22,"Node 22", 45.00, 0.00, 7.00, 0.00, 0.00,  2
23,"Node 23", 45.00, 0.00, 7.00, 0.00, 0.00,  2
24,"Node 24", 45.00, 0.00, 7.00, 0.00, 0.00,  2
25,"Node 25", 0.00, 0.00, 0.00, 0.00, 0.00,  0
26,"Node 26", 42.00, 0.00, 10.00, 0.00, 0.00,  1
27,"Node 27", 49.00, 0.00, 3.00, 0.00, 0.00,  2
28,"Node 28", 41.00, 0.00, 11.00, 0.00, 0.00,  1
29,"Node 29", 42.00, 0.00, 10.00, 0.00, 0.00,  2
30,"Node 30", 45.00, 0.00, 7.00, 0.00, 0.00,  2
31,"Node 31", 41.00, 1.00, 10.00, 0.00, 0.00,  2
32,"Node 32", 48.00, 0.00, 4.00, 0.00, 0.00,  2
33,"Node 33", 43.00, 0.00, 9.00, 0.00, 0.00,  1
34,"Node 34", 48.00, 0.00, 4.00, 0.00, 0.00,  2
35,"Node 35", 41.00, 2.00, 9.00, 0.00, 0.00,  1
36,"Node 36", 48.00, 0.00, 4.00, 0.00, 0.00,  1
37,"Node 37", 39.00, 0.00, 13.00, 0.00, 0.00,  1
