Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 0.00, 0.00, 0.00, 0.00, 0.00,  0
2,"Node 2", 46.00, 0.00, 6.00, 0.00, 0.00,  2
3,"Node 3", 45.00, 0.00, 7.00, 0.00, 0.00,  2
4,"Node 4", 24.00, 0.00, 28.00, 0.00, 0.00,  1
5,"Node 5", 38.00, 0.00, 14.00, 0.00, 0.00,  1
6,"Node 6", 34.00, 0.00, 18.00, 0.00, 0.00,  1
7,"Node 7", 31.00, 0.00, 21.00, 0.00, 0.00,  1
8,"Node 8", 42.00, 0.00, 10.00, 0.00, 0.00,  2
9,"Node 9", 36.00, 0.00, 16.00, 0.00, 0.00,  1
10,"Node 10", 34.00, 0.00, 18.00, 0.00, 0.00,  1
11,"Node 11", 34.00, 0.00, 18.00, 0.00, 0.00,  1
12,"Node 12", 41.00, 0.00, 11.00, 0.00, 0.00,  2
13,"Node 13", 44.00, 0.00, 8.00, 0.00, 0.00,  1
14,"Node 14", 38.00, 0.00, 14.00, 0.00, 0.00,  2
15,"Node 15", 41.00, 0.00, 11.00, 0.00, 0.00,  1
16,"Node 16", 40.00, 0.00, 12.00, 0.00, 0.00,  1
17,"Node 17", 28.00, 2.00, 22.00, 0.00, 0.00,  1
18,"Node 18", 35.00, 0.00, 17.00, 0.00, 0.00,  1
19,"Node 19", 28.00, 0.00, 24.00, 0.00, 0.00,  1
20,"Node 20", 46.00, 0.00, 6.00, 0.00, 0.00,  1
21,"Node 21", 46.00, 0.00, 6.00, 0.00, 0.00,  2
22,"Node 22", 41.00, 0.00, 11.00, 0.00, 0.00,  2
23,"Node 23", 37.00, 0.00, 15.00, 0.00, 0.00,  1
24,"Node 24", 41.00, 0.00, 11.00, 0.00, 0.00,  2
25,"Node 25", 33.00, 0.00, 19.00, 0.00, 0.00,  1
26,"Node 26", 43.00, 0.00, 9.00, 0.00, 0.00,  2
27,"Node 27", 38.00, 0.00, 14.00, 0.00, 0.00,  2
28,"Node 28", 36.00, 0.00, 16.00, 0.00, 0.00,  1
29,"Node 29", 38.00, 0.00, 14.00, 0.00, 0.00,  1
30,"Node 30", 41.00, 0.00, 11.00, 0.00, 0.00,  1
31,"Node 31", 27.00, 4.00, 21.00, 0.00, 0.00,  1
32,"Node 32", 33.00, 0.00, 19.00, 0.00, 0.00,  1
33,"Node 33", 41.00, 0.00, 11.00, 0.00, 0.00,  1
34,"Node 34", 34.00, 0.00, 18.00, 0.00, 0.00,  1
35,"Node 35", 42.00, 1.00, 9.00, 0.00, 0.00,  2
36,"Node 36", 22.00, 0.00, 30.00, 0.00, 0.00,  1
