Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 176.00, 0.00, 32.00, 0.00, 0.00,  1
2,"Node 2", 199.00, 0.00, 9.00, 0.00, 0.00,  2
3,"Node 3", 193.00, 0.00, 15.00, 0.00, 0.00,  2
4,"Node 4", 137.00, 0.00, 71.00, 0.00, 0.00,  1
5,"Node 5", 195.00, 0.00, 13.00, 0.00, 0.00,  2
6,"Node 6", 197.00, 0.00, 11.00, 0.00, 0.00,  2
7,"Node 7", 152.00, 0.00, 56.00, 0.00, 0.00,  1
8,"Node 8", 186.00, 0.00, 22.00, 0.00, 0.00,  2
9,"Node 9", 188.00, 0.00, 20.00, 0.00, 0.00,  2
10,"Node 10", 171.00, 0.00, 37.00, 0.00, 0.00,  1
11,"Node 11", 189.00, 0.00, 19.00, 0.00, 0.00,  2
12,"Node 12", 168.00, 0.00, 40.00, 0.00, 0.00,  1
13,"Node 13", 174.00, 0.00, 34.00, 0.00, 0.00,  2
14,"Node 14", 188.00, 0.00, 20.00, 0.00, 0.00,  2
15,"Node 15", 159.00, 0.00, 49.00, 0.00, 0.00,  1
16,"Node 16", 177.00, 0.00, 31.00, 0.00, 0.00,  1
17,"Node 17", 170.00, 9.00, 29.00, 0.00, 0.00,  2
18,"Node 18", 199.00, 0.00, 9.00, 0.00, 0.00,  2
19,"Node 19", 145.00, 0.00, 63.00, 0.00, 0.00,  2
20,"Node 20", 195.00, 0.00, 13.00, 0.00, 0.00,  2
21,"Node 21", 191.00, 0.00, 17.00, 0.00, 0.00,  2
22,"Node 22", 190.00, 0.00, 18.00, 0.00, 0.00,  2
23,"Node 23", 186.00, 2.00, 20.00, 0.00, 0.00,  2
24,"Node 24", 172.00, 0.00, 36.00, 0.00, 0.00,  2
25,"Node 25", 178.00, 4.00, 26.00, 0.00, 0.00,  1
26,"Node 26", 188.00, 0.00, 20.00, 0.00, 0.00,  2
27,"Node 27", 175.00, 0.00, 33.00, 0.00, 0.00,  1
28,"Node 28", 187.00, 0.00, 21.00, 0.00, 0.00,  2
29,"Node 29", 179.00, 0.00, 29.00, 0.00, 0.00,  2
30,"Node 30", 0.00, 0.00, 0.00, 0.00, 0.00,  0
31,"Node 31", 169.00, 5.00, 34.00, 0.00, 0.00,  2
32,"Node 32", 196.00, 0.00, 12.00, 0.00, 0.00,  2
33,"Node 33", 0.00, 0.00, 0.00, 0.00, 0.00,  0
34,"Node 34", 186.00, 0.00, 22.00, 0.00, 0.00,  1
35,"Node 35", 165.00, 9.00, 34.00, 0.00, 0.00,  2
36,"Node 36", 126.00, 0.00, 82.00, 0.00, 0.00,  2
37,"Node 37", 176.00, 0.00, 32.00, 0.00, 0.00,  2
38,"Node 38", 170.00, 1.00, 37.00, 0.00, 0.00,  1
39,"Node 39", 162.00, 0.00, 46.00, 0.00, 0.00,  1
40,"Node 40", 143.00, 0.00, 65.00, 0.00, 0.00,  2
41,"Node 41", 184.00, 0.00, 24.00, 0.00, 0.00,  2
42,"Node 42", 190.00, 0.00, 18.00, 0.00, 0.00,  2
43,"Node 43", 159.00, 20.00, 29.00, 0.00, 0.00,  2
44,"Node 44", 185.00, 3.00, 20.00, 0.00, 0.00,  2
45,"Node 45", 175.00, 7.00, 26.00, 0.00, 0.00,  2
46,"Node 46", 171.00, 0.00, 37.00, 0.00, 0.00,  1
47,"Node 47", 171.00, 0.00, 37.00, 0.00, 0.00,  2
48,"Node 48", 168.00, 4.00, 36.00, 0.00, 0.00,  1
49,"Node 49", 160.00, 0.00, 48.00, 0.00, 0.00,  2
50,"Node 50", 174.00, 13.00, 21.00, 0.00, 0.00,  2
51,"Node 51", 165.00, 6.00, 37.00, 0.00, 0.00,  1
52,"Node 52", 196.00, 0.00, 12.00, 0.00, 0.00,  2
53,"Node 53", 169.00, 2.00, 37.00, 0.00, 0.00,  2
54,"Node 54", 154.00, 4.00, 50.00, 0.00, 0.00,  2
55,"Node 55", 189.00, 0.00, 19.00, 0.00, 0.00,  1
56,"Node 56", 155.00, 7.00, 46.00, 0.00, 0.00,  2
57,"Node 57", 184.00, 1.00, 23.00, 0.00, 0.00,  1
58,"Node 58", 128.00, 47.00, 33.00, 0.00, 0.00,  2
59,"Node 59", 156.00, 21.00, 31.00, 0.00, 0.00,  2
60,"Node 60", 143.00, 0.00, 65.00, 0.00, 0.00,  1
61,"Node 61", 180.00, 0.00, 28.00, 0.00, 0.00,  2
62,"Node 62", 139.00, 0.00, 69.00, 0.00, 0.00,  2
63,"Node 63", 164.00, 0.00, 44.00, 0.00, 0.00,  2
64,"Node 64", 176.00, 0.00, 32.00, 0.00, 0.00,  2
65,"Node 65", 155.00, 9.00, 44.00, 0.00, 0.00,  2
66,"Node 66", 189.00, 0.00, 19.00, 0.00, 0.00,  1
67,"Node 67", 0.00, 0.00, 0.00, 0.00, 0.00,  0
68,"Node 68", 186.00, 0.00, 22.00, 0.00, 0.00,  2
69,"Node 69", 153.00, 5.00, 50.00, 0.00, 0.00,  2
70,"Node 70", 170.00, 5.00, 33.00, 0.00, 0.00,  2
71,"Node 71", 136.00, 47.00, 25.00, 0.00, 0.00,  2
72,"Node 72", 191.00, 0.00, 17.00, 0.00, 0.00,  2
73,"Node 73", 200.00, 0.00, 8.00, 0.00, 0.00,  2
74,"Node 74", 159.00, 15.00, 34.00, 0.00, 0.00,  2
75,"Node 75", 197.00, 0.00, 11.00, 0.00, 0.00,  2
76,"Node 76", 147.00, 0.00, 61.00, 0.00, 0.00,  2
77,"Node 77", 170.00, 5.00, 33.00, 0.00, 0.00,  2
78,"Node 78", 163.00, 22.00, 23.00, 0.00, 0.00,  1
79,"Node 79", 168.00, 8.00, 32.00, 0.00, 0.00,  2
