Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 0.00, 0.00, 2.00, 93.00, 0.00, 0.00,  0,  1
2,"Node 2", 0.00, 0.00, 0.00, 31.00, 0.00, 0.00,  0,  0
3,"Node 3", 1.00, 0.00, 1.00, 19.00, 0.00, 0.00,  0,  1
4,"Node 4", 0.00, 0.00, 2.00, 41.00, 0.00, 0.00,  0,  1
5,"Node 5", 2.00, 0.00, 0.00, 11.00, 0.00, 0.00,  0,  1
6,"Node 6", 1.00, 0.00, 1.00, 4.00, 0.00, 0.00,  0,  1
7,"Node 7", 0.00, 0.00, 2.00, 28.00, 0.00, 0.00,  0,  1
8,"Node 8", 0.00, 0.00, 2.00, 36.00, 0.00, 0.00,  0,  1
9,"Node 9", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
10,"Node 10", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
11,"Node 11", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
12,"Node 12", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
13,"Node 13", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
14,"Node 14", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
15,"Node 15", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
16,"Node 16", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
17,"Node 17", 0.00, 0.00, 2.00, 5.00, 0.00, 0.00,  0,  1
18,"Node 18", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
19,"Node 19", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
20,"Node 20", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
21,"Node 21", 1.00, 0.00, 1.00, 7.00, 0.00, 0.00,  0,  1
22,"Node 22", 1.00, 0.00, 1.00, 0.00, 0.00, 0.00,  0,  1
23,"Node 23", 0.00, 0.00, 2.00, 8.00, 0.00, 0.00,  0,  1
24,"Node 24", 0.00, 0.00, 2.00, 0.00, 0.00, 0.00,  0,  1
