Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 38.00, 0.00, 14.00, 1471.00, 0.00, 0.00,  0,  1
2,"Node 2", 37.00, 0.00, 15.00, 3212.00, 0.00, 0.00,  0,  1
3,"Node 3", 39.00, 0.00, 13.00, 4087.00, 0.00, 0.00,  0,  1
4,"Node 4", 41.00, 0.00, 11.00, 2311.00, 0.00, 0.00,  0,  1
5,"Node 5", 38.00, 0.00, 14.00, 4732.00, 0.00, 0.00,  0,  1
6,"Node 6", 39.00, 0.00, 13.00, 3321.00, 0.00, 0.00,  0,  1
7,"Node 7", 35.00, 0.00, 17.00, 3871.00, 0.00, 0.00,  0,  1
8,"Node 8", 36.00, 0.00, 16.00, 3212.00, 0.00, 0.00,  0,  1
9,"Node 9", 35.00, 0.00, 17.00, 4253.00, 0.00, 0.00,  0,  1
10,"Node 10", 37.00, 0.00, 15.00, 3188.00, 0.00, 0.00,  0,  1
11,"Node 11", 44.00, 0.00, 8.00, 305.00, 0.00, 0.00,  0,  1
12,"Node 12", 41.00, 0.00, 11.00, 1278.00, 0.00, 0.00,  0,  1
13,"Node 13", 46.00, 0.00, 6.00, 498.00, 0.00, 0.00,  0,  1
14,"Node 14", 45.00, 0.00, 7.00, 197.00, 0.00, 0.00,  0,  1
15,"Node 15", 42.00, 0.00, 10.00, 1126.00, 0.00, 0.00,  0,  1
16,"Node 16", 42.00, 0.00, 10.00, 290.00, 0.00, 0.00,  0,  2
17,"Node 17", 40.00, 0.00, 12.00, 2839.00, 0.00, 0.00,  0,  1
18,"Node 18", 44.00, 0.00, 8.00, 136.00, 0.00, 0.00,  0,  1
19,"Node 19", 42.00, 0.00, 10.00, 1409.00, 0.00, 0.00,  0,  1
20,"Node 20", 46.00, 0.00, 6.00, 11.00, 0.00, 0.00,  0,  1
21,"Node 21", 41.00, 0.00, 11.00, 866.00, 0.00, 0.00,  0,  1
22,"Node 22", 42.00, 0.00, 10.00, 816.00, 0.00, 0.00,  0,  1
23,"Node 23", 43.00, 0.00, 9.00, 491.00, 0.00, 0.00,  0,  1
24,"Node 24", 39.00, 0.00, 13.00, 772.00, 0.00, 0.00,  0,  1
25,"Node 25", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
26,"Node 26", 46.00, 0.00, 6.00, 640.00, 0.00, 0.00,  0,  1
27,"Node 27", 41.00, 0.00, 11.00, 571.00, 0.00, 0.00,  0,  1
28,"Node 28", 46.00, 0.00, 6.00, 382.00, 0.00, 0.00,  0,  1
29,"Node 29", 42.00, 0.00, 10.00, 1767.00, 0.00, 0.00,  0,  1
30,"Node 30", 45.00, 0.00, 7.00, 340.00, 0.00, 0.00,  0,  1
31,"Node 31", 42.00, 0.00, 10.00, 514.00, 0.00, 0.00,  0,  1
32,"Node 32", 45.00, 0.00, 7.00, 95.00, 0.00, 0.00,  0,  1
33,"Node 33", 46.00, 0.00, 6.00, 61.00, 0.00, 0.00,  0,  1
34,"Node 34", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  1
35,"Node 35", 39.00, 0.00, 13.00, 146.00, 0.00, 0.00,  0,  1
36,"Node 36", 31.00, 0.00, 21.00, 1435.00, 0.00, 0.00,  0,  1
37,"Node 37", 31.00, 0.00, 21.00, 1443.00, 0.00, 0.00,  0,  1
38,"Node 38", 40.00, 0.00, 12.00, 415.00, 0.00, 0.00,  0,  1
39,"Node 39", 47.00, 0.00, 5.00, 451.00, 0.00, 0.00,  0,  1
40,"Node 40", 40.00, 0.00, 12.00, 553.00, 0.00, 0.00,  0,  1
41,"Node 41", 47.00, 0.00, 5.00, 624.00, 0.00, 0.00,  0,  1
42,"Node 42", 47.00, 0.00, 5.00, 27.00, 0.00, 0.00,  0,  1
43,"Node 43", 45.00, 0.00, 7.00, 34.00, 0.00, 0.00,  0,  1
44,"Node 44", 40.00, 0.00, 12.00, 196.00, 0.00, 0.00,  0,  1
45,"Node 45", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
46,"Node 46", 48.00, 0.00, 4.00, 49.00, 0.00, 0.00,  0,  1
47,"Node 47", 39.00, 0.00, 13.00, 894.00, 0.00, 0.00,  0,  1
48,"Node 48", 45.00, 0.00, 7.00, 105.00, 0.00, 0.00,  0,  1
49,"Node 49", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
50,"Node 50", 42.00, 0.00, 10.00, 86.00, 0.00, 0.00,  0,  1
51,"Node 51", 41.00, 0.00, 11.00, 248.00, 0.00, 0.00,  0,  1
52,"Node 52", 41.00, 0.00, 11.00, 526.00, 0.00, 0.00,  0,  1
53,"Node 53", 41.00, 0.00, 11.00, 2.00, 0.00, 0.00,  0,  1
54,"Node 54", 45.00, 0.00, 7.00, 370.00, 0.00, 0.00,  0,  1
55,"Node 55", 39.00, 0.00, 13.00, 119.00, 0.00, 0.00,  0,  1
56,"Node 56", 42.00, 0.00, 10.00, 1.00, 0.00, 0.00,  0,  1
57,"Node 57", 40.00, 0.00, 12.00, 23.00, 0.00, 0.00,  0,  1
58,"Node 58", 40.00, 0.00, 12.00, 3.00, 0.00, 0.00,  0,  1
59,"Node 59", 46.00, 0.00, 6.00, 285.00, 0.00, 0.00,  0,  1
60,"Node 60", 45.00, 0.00, 7.00, 27.00, 0.00, 0.00,  0,  1
61,"Node 61", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
62,"Node 62", 47.00, 0.00, 5.00, 0.00, 0.00, 0.00,  0,  1
63,"Node 63", 35.00, 0.00, 17.00, 0.00, 0.00, 0.00,  0,  2
64,"Node 64", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  1
65,"Node 65", 38.00, 0.00, 14.00, 263.00, 0.00, 0.00,  0,  1
66,"Node 66", 40.00, 0.00, 12.00, 78.00, 0.00, 0.00,  0,  1
67,"Node 67", 38.00, 0.00, 14.00, 0.00, 0.00, 0.00,  0,  1
68,"Node 68", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
69,"Node 69", 47.00, 0.00, 5.00, 5.00, 0.00, 0.00,  0,  1
70,"Node 70", 46.00, 0.00, 6.00, 287.00, 0.00, 0.00,  0,  1
71,"Node 71", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  1
72,"Node 72", 33.00, 0.00, 19.00, 279.00, 0.00, 0.00,  0,  1
73,"Node 73", 39.00, 0.00, 13.00, 2.00, 0.00, 0.00,  0,  1
74,"Node 74", 46.00, 0.00, 6.00, 1.00, 0.00, 0.00,  0,  2
75,"Node 75", 39.00, 0.00, 13.00, 134.00, 0.00, 0.00,  0,  1
76,"Node 76", 37.00, 0.00, 15.00, 10.00, 0.00, 0.00,  0,  1
77,"Node 77", 41.00, 0.00, 11.00, 17.00, 0.00, 0.00,  0,  1
78,"Node 78", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
79,"Node 79", 48.00, 0.00, 4.00, 0.00, 0.00, 0.00,  0,  2
80,"Node 80", 46.00, 0.00, 6.00, 188.00, 0.00, 0.00,  0,  1
81,"Node 81", 39.00, 0.00, 13.00, 520.00, 0.00, 0.00,  0,  1
82,"Node 82", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  2
83,"Node 83", 44.00, 0.00, 8.00, 16.00, 0.00, 0.00,  0,  1
84,"Node 84", 40.00, 0.00, 12.00, 122.00, 0.00, 0.00,  0,  1
85,"Node 85", 41.00, 0.00, 11.00, 365.00, 0.00, 0.00,  0,  1
86,"Node 86", 44.00, 0.00, 8.00, 1.00, 0.00, 0.00,  0,  1
87,"Node 87", 43.00, 0.00, 9.00, 0.00, 0.00, 0.00,  0,  1
88,"Node 88", 44.00, 0.00, 8.00, 0.00, 0.00, 0.00,  0,  2
89,"Node 89", 41.00, 0.00, 11.00, 9.00, 0.00, 0.00,  0,  1
90,"Node 90", 0.00, 0.00, 0.00, 100.00, 0.00, 0.00,  0,  0
91,"Node 91", 32.00, 0.00, 20.00, 0.00, 0.00, 0.00,  0,  1
92,"Node 92", 45.00, 0.00, 7.00, 0.00, 0.00, 0.00,  0,  2
93,"Node 93", 39.00, 0.00, 13.00, 10.00, 0.00, 0.00,  0,  1
94,"Node 94", 43.00, 0.00, 9.00, 81.00, 0.00, 0.00,  0,  1
95,"Node 95", 44.00, 0.00, 8.00, 2.00, 0.00, 0.00,  0,  1
96,"Node 96", 45.00, 0.00, 7.00, 3.00, 0.00, 0.00,  0,  1
97,"Node 97", 30.00, 0.00, 22.00, 0.00, 0.00, 0.00,  0,  1
98,"Node 98", 40.00, 0.00, 12.00, 0.00, 0.00, 0.00,  0,  1
99,"Node 99", 46.00, 0.00, 6.00, 0.00, 0.00, 0.00,  0,  1
100,"Node 100", 40.00, 0.00, 12.00, 0.00, 0.00, 0.00,  0,  2
