Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 4.00, 0.00, 48.00, 8162.00, 0.00, 0.00,  0,  1
2,"Node 2", 7.00, 0.00, 45.00, 5908.00, 0.00, 0.00,  0,  1
3,"Node 3", 3.00, 0.00, 49.00, 3516.00, 0.00, 0.00,  0,  1
4,"Node 4", 5.00, 0.00, 47.00, 1873.00, 0.00, 0.00,  0,  1
5,"Node 5", 8.00, 0.00, 44.00, 711.00, 0.00, 0.00,  0,  1
6,"Node 6", 11.00, 0.00, 41.00, 546.00, 0.00, 0.00,  0,  1
7,"Node 7", 3.00, 0.00, 49.00, 1407.00, 0.00, 0.00,  0,  1
8,"Node 8", 4.00, 0.00, 48.00, 9.00, 0.00, 0.00,  0,  1
9,"Node 9", 4.00, 0.00, 48.00, 1377.00, 0.00, 0.00,  0,  1
10,"Node 10", 5.00, 0.00, 47.00, 544.00, 0.00, 0.00,  0,  1
11,"Node 11", 6.00, 0.00, 46.00, 3607.00, 0.00, 0.00,  0,  1
12,"Node 12", 16.00, 0.00, 36.00, 26.00, 0.00, 0.00,  0,  2
13,"Node 13", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  2
14,"Node 14", 8.00, 0.00, 44.00, 277.00, 0.00, 0.00,  0,  1
15,"Node 15", 11.00, 0.00, 41.00, 294.00, 0.00, 0.00,  0,  1
16,"Node 16", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
17,"Node 17", 5.00, 0.00, 47.00, 80.00, 0.00, 0.00,  0,  1
18,"Node 18", 4.00, 0.00, 48.00, 3074.00, 0.00, 0.00,  0,  1
19,"Node 19", 10.00, 0.00, 42.00, 2.00, 0.00, 0.00,  0,  1
20,"Node 20", 5.00, 0.00, 47.00, 13.00, 0.00, 0.00,  0,  2
21,"Node 21", 11.00, 0.00, 41.00, 42.00, 0.00, 0.00,  0,  1
22,"Node 22", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
23,"Node 23", 4.00, 0.00, 48.00, 546.00, 0.00, 0.00,  0,  1
24,"Node 24", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
25,"Node 25", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  2
26,"Node 26", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
27,"Node 27", 14.00, 0.00, 38.00, 31.00, 0.00, 0.00,  0,  2
28,"Node 28", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
29,"Node 29", 5.00, 0.00, 47.00, 1827.00, 0.00, 0.00,  0,  1
30,"Node 30", 19.00, 0.00, 33.00, 3.00, 0.00, 0.00,  0,  2
31,"Node 31", 5.00, 0.00, 47.00, 4.00, 0.00, 0.00,  0,  1
32,"Node 32", 3.00, 0.00, 49.00, 483.00, 0.00, 0.00,  0,  1
33,"Node 33", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  2
34,"Node 34", 11.00, 0.00, 41.00, 63.00, 0.00, 0.00,  0,  1
35,"Node 35", 4.00, 0.00, 48.00, 224.00, 0.00, 0.00,  0,  1
36,"Node 36", 4.00, 0.00, 48.00, 1.00, 0.00, 0.00,  0,  1
37,"Node 37", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
38,"Node 38", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
39,"Node 39", 7.00, 0.00, 45.00, 457.00, 0.00, 0.00,  0,  1
40,"Node 40", 8.00, 0.00, 44.00, 2.00, 0.00, 0.00,  0,  1
41,"Node 41", 3.00, 0.00, 49.00, 51.00, 0.00, 0.00,  0,  1
42,"Node 42", 10.00, 0.00, 42.00, 539.00, 0.00, 0.00,  0,  1
43,"Node 43", 13.00, 0.00, 39.00, 3.00, 0.00, 0.00,  0,  1
44,"Node 44", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
45,"Node 45", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
46,"Node 46", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
47,"Node 47", 8.00, 0.00, 44.00, 10.00, 0.00, 0.00,  0,  1
48,"Node 48", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
49,"Node 49", 11.00, 0.00, 41.00, 162.00, 0.00, 0.00,  0,  1
50,"Node 50", 13.00, 0.00, 39.00, 103.00, 0.00, 0.00,  0,  1
51,"Node 51", 16.00, 0.00, 36.00, 0.00, 0.00, 0.00,  0,  1
52,"Node 52", 11.00, 0.00, 41.00, 35.00, 0.00, 0.00,  0,  1
53,"Node 53", 10.00, 0.00, 42.00, 322.00, 0.00, 0.00,  0,  1
54,"Node 54", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
55,"Node 55", 5.00, 0.00, 47.00, 522.00, 0.00, 0.00,  0,  1
56,"Node 56", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
57,"Node 57", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  2
58,"Node 58", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
59,"Node 59", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
60,"Node 60", 8.00, 0.00, 44.00, 207.00, 0.00, 0.00,  0,  1
61,"Node 61", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
62,"Node 62", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
63,"Node 63", 3.00, 0.00, 49.00, 3.00, 0.00, 0.00,  0,  2
64,"Node 64", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  2
65,"Node 65", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
66,"Node 66", 9.00, 0.00, 43.00, 815.00, 0.00, 0.00,  0,  1
67,"Node 67", 10.00, 0.00, 42.00, 405.00, 0.00, 0.00,  0,  1
68,"Node 68", 5.00, 0.00, 47.00, 442.00, 0.00, 0.00,  0,  1
69,"Node 69", 9.00, 0.00, 43.00, 484.00, 0.00, 0.00,  0,  1
70,"Node 70", 5.00, 0.00, 47.00, 4.00, 0.00, 0.00,  0,  1
71,"Node 71", 11.00, 0.00, 41.00, 1.00, 0.00, 0.00,  0,  1
72,"Node 72", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
73,"Node 73", 8.00, 0.00, 44.00, 511.00, 0.00, 0.00,  0,  1
74,"Node 74", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
75,"Node 75", 7.00, 0.00, 45.00, 388.00, 0.00, 0.00,  0,  1
76,"Node 76", 7.00, 0.00, 45.00, 30.00, 0.00, 0.00,  0,  1
77,"Node 77", 16.00, 0.00, 36.00, 3.00, 0.00, 0.00,  0,  1
78,"Node 78", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  1
79,"Node 79", 9.00, 0.00, 43.00, 35.00, 0.00, 0.00,  0,  1
80,"Node 80", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  2
81,"Node 81", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
82,"Node 82", 8.00, 0.00, 44.00, 698.00, 0.00, 0.00,  0,  1
83,"Node 83", 7.00, 0.00, 45.00, 11.00, 0.00, 0.00,  0,  1
84,"Node 84", 7.00, 0.00, 45.00, 255.00, 0.00, 0.00,  0,  1
85,"Node 85", 0.00, 0.00, 52.00, 0.00, 0.00, 0.00,  0,  1
86,"Node 86", 5.00, 0.00, 47.00, 3.00, 0.00, 0.00,  0,  2
87,"Node 87", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
88,"Node 88", 7.00, 0.00, 45.00, 7.00, 0.00, 0.00,  0,  1
89,"Node 89", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
90,"Node 90", 0.00, 0.00, 0.00, 416.00, 0.00, 0.00,  0,  0
91,"Node 91", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
92,"Node 92", 10.00, 0.00, 42.00, 28.00, 0.00, 0.00,  0,  1
93,"Node 93", 6.00, 0.00, 46.00, 2.00, 0.00, 0.00,  0,  1
94,"Node 94", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
95,"Node 95", 13.00, 0.00, 39.00, 52.00, 0.00, 0.00,  0,  1
96,"Node 96", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
97,"Node 97", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
98,"Node 98", 9.00, 0.00, 43.00, 0.00, 0.00, 0.00,  0,  1
99,"Node 99", 7.00, 0.00, 45.00, 2.00, 0.00, 0.00,  0,  2
100,"Node 100", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
101,"Node 101", 12.00, 0.00, 40.00, 25.00, 0.00, 0.00,  0,  1
102,"Node 102", 7.00, 0.00, 45.00, 1.00, 0.00, 0.00,  0,  1
103,"Node 103", 5.00, 0.00, 47.00, 64.00, 0.00, 0.00,  0,  1
104,"Node 104", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
105,"Node 105", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
106,"Node 106", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
107,"Node 107", 13.00, 0.00, 39.00, 187.00, 0.00, 0.00,  0,  1
108,"Node 108", 15.00, 0.00, 37.00, 0.00, 0.00, 0.00,  0,  2
109,"Node 109", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
110,"Node 110", 12.00, 0.00, 40.00, 151.00, 0.00, 0.00,  0,  1
111,"Node 111", 18.00, 0.00, 34.00, 36.00, 0.00, 0.00,  0,  1
112,"Node 112", 8.00, 0.00, 44.00, 0.00, 0.00, 0.00,  0,  1
113,"Node 113", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  2
114,"Node 114", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
115,"Node 115", 16.00, 0.00, 36.00, 3.00, 0.00, 0.00,  0,  1
116,"Node 116", 7.00, 0.00, 45.00, 3.00, 0.00, 0.00,  0,  2
117,"Node 117", 15.00, 0.00, 37.00, 1.00, 0.00, 0.00,  0,  1
118,"Node 118", 10.00, 0.00, 42.00, 2.00, 0.00, 0.00,  0,  1
119,"Node 119", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
120,"Node 120", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
121,"Node 121", 7.00, 0.00, 45.00, 212.00, 0.00, 0.00,  0,  1
122,"Node 122", 6.00, 0.00, 46.00, 0.00, 0.00, 0.00,  0,  1
123,"Node 123", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
124,"Node 124", 11.00, 0.00, 41.00, 0.00, 0.00, 0.00,  0,  1
125,"Node 125", 8.00, 0.00, 44.00, 7.00, 0.00, 0.00,  0,  1
126,"Node 126", 10.00, 0.00, 42.00, 133.00, 0.00, 0.00,  0,  1
127,"Node 127", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  1
128,"Node 128", 3.00, 0.00, 49.00, 4.00, 0.00, 0.00,  0,  1
129,"Node 129", 0.00, 0.00, 0.00, 13.00, 0.00, 0.00,  0,  0
130,"Node 130", 7.00, 0.00, 45.00, 293.00, 0.00, 0.00,  0,  1
131,"Node 131", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
132,"Node 132", 5.00, 0.00, 47.00, 0.00, 0.00, 0.00,  0,  2
133,"Node 133", 13.00, 0.00, 39.00, 123.00, 0.00, 0.00,  0,  1
134,"Node 134", 13.00, 0.00, 39.00, 0.00, 0.00, 0.00,  0,  2
135,"Node 135", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
136,"Node 136", 7.00, 0.00, 45.00, 2.00, 0.00, 0.00,  0,  1
137,"Node 137", 17.00, 0.00, 35.00, 0.00, 0.00, 0.00,  0,  1
138,"Node 138", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
139,"Node 139", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
140,"Node 140", 17.00, 0.00, 35.00, 110.00, 0.00, 0.00,  0,  1
141,"Node 141", 2.00, 0.00, 50.00, 0.00, 0.00, 0.00,  0,  1
142,"Node 142", 8.00, 0.00, 44.00, 11.00, 0.00, 0.00,  0,  1
143,"Node 143", 10.00, 0.00, 42.00, 1.00, 0.00, 0.00,  0,  1
144,"Node 144", 3.00, 0.00, 49.00, 0.00, 0.00, 0.00,  0,  1
145,"Node 145", 7.00, 0.00, 45.00, 0.00, 0.00, 0.00,  0,  1
146,"Node 146", 4.00, 0.00, 48.00, 0.00, 0.00, 0.00,  0,  1
147,"Node 147", 12.00, 0.00, 40.00, 31.00, 0.00, 0.00,  0,  1
148,"Node 148", 10.00, 0.00, 42.00, 30.00, 0.00, 0.00,  0,  1
149,"Node 149", 14.00, 0.00, 38.00, 0.00, 0.00, 0.00,  0,  1
