Source,Target,Label,Type
1,2,"Edge 1 to 2","Undirected"
1,3,"Edge 1 to 3","Undirected"
1,4,"Edge 1 to 4","Undirected"
1,5,"Edge 1 to 5","Undirected"
1,6,"Edge 1 to 6","Undirected"
1,9,"Edge 1 to 9","Undirected"
1,17,"Edge 1 to 17","Undirected"
1,18,"Edge 1 to 18","Undirected"
1,22,"Edge 1 to 22","Undirected"
1,24,"Edge 1 to 24","Undirected"
1,26,"Edge 1 to 26","Undirected"
1,27,"Edge 1 to 27","Undirected"
1,31,"Edge 1 to 31","Undirected"
1,32,"Edge 1 to 32","Undirected"
1,35,"Edge 1 to 35","Undirected"
1,36,"Edge 1 to 36","Undirected"
1,38,"Edge 1 to 38","Undirected"
1,42,"Edge 1 to 42","Undirected"
1,44,"Edge 1 to 44","Undirected"
1,58,"Edge 1 to 58","Undirected"
1,63,"Edge 1 to 63","Undirected"
1,64,"Edge 1 to 64","Undirected"
1,65,"Edge 1 to 65","Undirected"
1,72,"Edge 1 to 72","Undirected"
1,74,"Edge 1 to 74","Undirected"
1,76,"Edge 1 to 76","Undirected"
1,87,"Edge 1 to 87","Undirected"
1,91,"Edge 1 to 91","Undirected"
1,98,"Edge 1 to 98","Undirected"
1,109,"Edge 1 to 109","Undirected"
1,112,"Edge 1 to 112","Undirected"
1,114,"Edge 1 to 114","Undirected"
1,119,"Edge 1 to 119","Undirected"
1,128,"Edge 1 to 128","Undirected"
1,131,"Edge 1 to 131","Undirected"
1,146,"Edge 1 to 146","Undirected"
1,168,"Edge 1 to 168","Undirected"
1,169,"Edge 1 to 169","Undirected"
1,186,"Edge 1 to 186","Undirected"
1,198,"Edge 1 to 198","Undirected"
1,203,"Edge 1 to 203","Undirected"
1,223,"Edge 1 to 223","Undirected"
1,225,"Edge 1 to 225","Undirected"
1,227,"Edge 1 to 227","Undirected"
1,246,"Edge 1 to 246","Undirected"
1,253,"Edge 1 to 253","Undirected"
1,269,"Edge 1 to 269","Undirected"
1,271,"Edge 1 to 271","Undirected"
1,294,"Edge 1 to 294","Undirected"
1,305,"Edge 1 to 305","Undirected"
1,320,"Edge 1 to 320","Undirected"
1,370,"Edge 1 to 370","Undirected"
1,399,"Edge 1 to 399","Undirected"
1,403,"Edge 1 to 403","Undirected"
1,445,"Edge 1 to 445","Undirected"
1,451,"Edge 1 to 451","Undirected"
1,462,"Edge 1 to 462","Undirected"
1,491,"Edge 1 to 491","Undirected"
1,510,"Edge 1 to 510","Undirected"
1,547,"Edge 1 to 547","Undirected"
1,563,"Edge 1 to 563","Undirected"
1,564,"Edge 1 to 564","Undirected"
1,565,"Edge 1 to 565","Undirected"
1,588,"Edge 1 to 588","Undirected"
1,593,"Edge 1 to 593","Undirected"
1,597,"Edge 1 to 597","Undirected"
1,629,"Edge 1 to 629","Undirected"
1,656,"Edge 1 to 656","Undirected"
1,687,"Edge 1 to 687","Undirected"
1,727,"Edge 1 to 727","Undirected"
1,744,"Edge 1 to 744","Undirected"
1,746,"Edge 1 to 746","Undirected"
1,752,"Edge 1 to 752","Undirected"
1,813,"Edge 1 to 813","Undirected"
1,847,"Edge 1 to 847","Undirected"
1,865,"Edge 1 to 865","Undirected"
1,872,"Edge 1 to 872","Undirected"
1,876,"Edge 1 to 876","Undirected"
1,897,"Edge 1 to 897","Undirected"
1,906,"Edge 1 to 906","Undirected"
1,931,"Edge 1 to 931","Undirected"
1,995,"Edge 1 to 995","Undirected"
2,1,"Edge 2 to 1","Undirected"
2,3,"Edge 2 to 3","Undirected"
2,4,"Edge 2 to 4","Undirected"
2,7,"Edge 2 to 7","Undirected"
2,8,"Edge 2 to 8","Undirected"
2,10,"Edge 2 to 10","Undirected"
2,13,"Edge 2 to 13","Undirected"
2,23,"Edge 2 to 23","Undirected"
2,28,"Edge 2 to 28","Undirected"
2,29,"Edge 2 to 29","Undirected"
2,31,"Edge 2 to 31","Undirected"
2,32,"Edge 2 to 32","Undirected"
2,37,"Edge 2 to 37","Undirected"
2,45,"Edge 2 to 45","Undirected"
2,53,"Edge 2 to 53","Undirected"
2,57,"Edge 2 to 57","Undirected"
2,61,"Edge 2 to 61","Undirected"
2,66,"Edge 2 to 66","Undirected"
2,68,"Edge 2 to 68","Undirected"
2,106,"Edge 2 to 106","Undirected"
2,127,"Edge 2 to 127","Undirected"
2,139,"Edge 2 to 139","Undirected"
2,144,"Edge 2 to 144","Undirected"
2,157,"Edge 2 to 157","Undirected"
2,159,"Edge 2 to 159","Undirected"
2,175,"Edge 2 to 175","Undirected"
2,183,"Edge 2 to 183","Undirected"
2,221,"Edge 2 to 221","Undirected"
2,225,"Edge 2 to 225","Undirected"
2,230,"Edge 2 to 230","Undirected"
2,231,"Edge 2 to 231","Undirected"
2,262,"Edge 2 to 262","Undirected"
2,290,"Edge 2 to 290","Undirected"
2,311,"Edge 2 to 311","Undirected"
2,315,"Edge 2 to 315","Undirected"
2,365,"Edge 2 to 365","Undirected"
2,372,"Edge 2 to 372","Undirected"
2,381,"Edge 2 to 381","Undirected"
2,386,"Edge 2 to 386","Undirected"
2,391,"Edge 2 to 391","Undirected"
2,394,"Edge 2 to 394","Undirected"
2,407,"Edge 2 to 407","Undirected"
2,412,"Edge 2 to 412","Undirected"
2,438,"Edge 2 to 438","Undirected"
2,446,"Edge 2 to 446","Undirected"
2,450,"Edge 2 to 450","Undirected"
2,493,"Edge 2 to 493","Undirected"
2,502,"Edge 2 to 502","Undirected"
2,518,"Edge 2 to 518","Undirected"
2,528,"Edge 2 to 528","Undirected"
2,595,"Edge 2 to 595","Undirected"
2,606,"Edge 2 to 606","Undirected"
2,618,"Edge 2 to 618","Undirected"
2,622,"Edge 2 to 622","Undirected"
2,646,"Edge 2 to 646","Undirected"
2,696,"Edge 2 to 696","Undirected"
2,721,"Edge 2 to 721","Undirected"
2,748,"Edge 2 to 748","Undirected"
2,823,"Edge 2 to 823","Undirected"
2,831,"Edge 2 to 831","Undirected"
2,855,"Edge 2 to 855","Undirected"
2,874,"Edge 2 to 874","Undirected"
2,890,"Edge 2 to 890","Undirected"
2,905,"Edge 2 to 905","Undirected"
3,1,"Edge 3 to 1","Undirected"
3,2,"Edge 3 to 2","Undirected"
3,12,"Edge 3 to 12","Undirected"
3,13,"Edge 3 to 13","Undirected"
3,14,"Edge 3 to 14","Undirected"
3,16,"Edge 3 to 16","Undirected"
3,18,"Edge 3 to 18","Undirected"
3,20,"Edge 3 to 20","Undirected"
3,25,"Edge 3 to 25","Undirected"
3,59,"Edge 3 to 59","Undirected"
3,65,"Edge 3 to 65","Undirected"
