Source,Target,Label,Type
1,2,"Edge 1 to 2","Mixed"
1,3,"Edge 1 to 3","Mixed"
1,7,"Edge 1 to 7","Mixed"
1,10,"Edge 1 to 10","Mixed"
1,12,"Edge 1 to 12","Mixed"
1,25,"Edge 1 to 25","Mixed"
1,27,"Edge 1 to 27","Mixed"
1,40,"Edge 1 to 40","Mixed"
1,51,"Edge 1 to 51","Mixed"
1,54,"Edge 1 to 54","Mixed"
1,81,"Edge 1 to 81","Mixed"
2,1,"Edge 2 to 1","Mixed"
2,5,"Edge 2 to 5","Mixed"
2,8,"Edge 2 to 8","Mixed"
2,11,"Edge 2 to 11","Mixed"
2,14,"Edge 2 to 14","Mixed"
2,17,"Edge 2 to 17","Mixed"
2,19,"Edge 2 to 19","Mixed"
2,32,"Edge 2 to 32","Mixed"
2,39,"Edge 2 to 39","Mixed"
2,42,"Edge 2 to 42","Mixed"
2,45,"Edge 2 to 45","Mixed"
2,55,"Edge 2 to 55","Mixed"
2,57,"Edge 2 to 57","Mixed"
2,69,"Edge 2 to 69","Mixed"
2,74,"Edge 2 to 74","Mixed"
2,99,"Edge 2 to 99","Mixed"
3,1,"Edge 3 to 1","Mixed"
3,4,"Edge 3 to 4","Mixed"
3,9,"Edge 3 to 9","Mixed"
3,22,"Edge 3 to 22","Mixed"
3,29,"Edge 3 to 29","Mixed"
3,34,"Edge 3 to 34","Mixed"
3,61,"Edge 3 to 61","Mixed"
3,76,"Edge 3 to 76","Mixed"
3,98,"Edge 3 to 98","Mixed"
3,100,"Edge 3 to 100","Mixed"
4,3,"Edge 4 to 3","Mixed"
4,13,"Edge 4 to 13","Mixed"
4,23,"Edge 4 to 23","Mixed"
4,90,"Edge 4 to 90","Mixed"
4,94,"Edge 4 to 94","Mixed"
4,95,"Edge 4 to 95","Mixed"
5,2,"Edge 5 to 2","Mixed"
5,6,"Edge 5 to 6","Mixed"
5,16,"Edge 5 to 16","Mixed"
5,47,"Edge 5 to 47","Mixed"
5,49,"Edge 5 to 49","Mixed"
5,70,"Edge 5 to 70","Mixed"
5,77,"Edge 5 to 77","Mixed"
5,80,"Edge 5 to 80","Mixed"
5,82,"Edge 5 to 82","Mixed"
6,5,"Edge 6 to 5","Mixed"
6,18,"Edge 6 to 18","Mixed"
6,20,"Edge 6 to 20","Mixed"
6,75,"Edge 6 to 75","Mixed"
6,79,"Edge 6 to 79","Mixed"
7,1,"Edge 7 to 1","Mixed"
8,2,"Edge 8 to 2","Mixed"
8,15,"Edge 8 to 15","Mixed"
9,3,"Edge 9 to 3","Mixed"
9,43,"Edge 9 to 43","Mixed"
9,97,"Edge 9 to 97","Mixed"
10,1,"Edge 10 to 1","Mixed"
11,2,"Edge 11 to 2","Mixed"
12,1,"Edge 12 to 1","Mixed"
12,35,"Edge 12 to 35","Mixed"
12,37,"Edge 12 to 37","Mixed"
13,4,"Edge 13 to 4","Mixed"
14,2,"Edge 14 to 2","Mixed"
14,78,"Edge 14 to 78","Mixed"
15,8,"Edge 15 to 8","Mixed"
15,26,"Edge 15 to 26","Mixed"
15,46,"Edge 15 to 46","Mixed"
15,84,"Edge 15 to 84","Mixed"
16,5,"Edge 16 to 5","Mixed"
16,31,"Edge 16 to 31","Mixed"
17,2,"Edge 17 to 2","Mixed"
18,6,"Edge 18 to 6","Mixed"
18,30,"Edge 18 to 30","Mixed"
19,2,"Edge 19 to 2","Mixed"
19,21,"Edge 19 to 21","Mixed"
20,6,"Edge 20 to 6","Mixed"
20,24,"Edge 20 to 24","Mixed"
21,19,"Edge 21 to 19","Mixed"
21,28,"Edge 21 to 28","Mixed"
22,3,"Edge 22 to 3","Mixed"
22,36,"Edge 22 to 36","Mixed"
22,56,"Edge 22 to 56","Mixed"
23,4,"Edge 23 to 4","Mixed"
23,48,"Edge 23 to 48","Mixed"
23,68,"Edge 23 to 68","Mixed"
23,87,"Edge 23 to 87","Mixed"
23,92,"Edge 23 to 92","Mixed"
23,101,"Edge 23 to 101","Mixed"
24,20,"Edge 24 to 20","Mixed"
25,1,"Edge 25 to 1","Mixed"
25,44,"Edge 25 to 44","Mixed"
25,62,"Edge 25 to 62","Mixed"
25,72,"Edge 25 to 72","Mixed"
26,15,"Edge 26 to 15","Mixed"
27,1,"Edge 27 to 1","Mixed"
27,41,"Edge 27 to 41","Mixed"
28,21,"Edge 28 to 21","Mixed"
29,3,"Edge 29 to 3","Mixed"
30,18,"Edge 30 to 18","Mixed"
30,33,"Edge 30 to 33","Mixed"
30,65,"Edge 30 to 65","Mixed"
30,71,"Edge 30 to 71","Mixed"
31,16,"Edge 31 to 16","Mixed"
31,38,"Edge 31 to 38","Mixed"
32,2,"Edge 32 to 2","Mixed"
32,66,"Edge 32 to 66","Mixed"
33,30,"Edge 33 to 30","Mixed"
33,50,"Edge 33 to 50","Mixed"
34,3,"Edge 34 to 3","Mixed"
35,12,"Edge 35 to 12","Mixed"
36,22,"Edge 36 to 22","Mixed"
36,58,"Edge 36 to 58","Mixed"
36,88,"Edge 36 to 88","Mixed"
37,12,"Edge 37 to 12","Mixed"
38,31,"Edge 38 to 31","Mixed"
38,52,"Edge 38 to 52","Mixed"
39,2,"Edge 39 to 2","Mixed"
40,1,"Edge 40 to 1","Mixed"
41,27,"Edge 41 to 27","Mixed"
41,67,"Edge 41 to 67","Mixed"
42,2,"Edge 42 to 2","Mixed"
43,9,"Edge 43 to 9","Mixed"
44,25,"Edge 44 to 25","Mixed"
44,53,"Edge 44 to 53","Mixed"
45,2,"Edge 45 to 2","Mixed"
46,15,"Edge 46 to 15","Mixed"
47,5,"Edge 47 to 5","Mixed"
47,59,"Edge 47 to 59","Mixed"
47,60,"Edge 47 to 60","Mixed"
48,23,"Edge 48 to 23","Mixed"
49,5,"Edge 49 to 5","Mixed"
49,83,"Edge 49 to 83","Mixed"
50,33,"Edge 50 to 33","Mixed"
50,64,"Edge 50 to 64","Mixed"
50,85,"Edge 50 to 85","Mixed"
51,1,"Edge 51 to 1","Mixed"
52,38,"Edge 52 to 38","Mixed"
53,44,"Edge 53 to 44","Mixed"
53,73,"Edge 53 to 73","Mixed"
54,1,"Edge 54 to 1","Mixed"
54,63,"Edge 54 to 63","Mixed"
54,91,"Edge 54 to 91","Mixed"
55,2,"Edge 55 to 2","Mixed"
56,22,"Edge 56 to 22","Mixed"
57,2,"Edge 57 to 2","Mixed"
58,36,"Edge 58 to 36","Mixed"
59,47,"Edge 59 to 47","Mixed"
60,47,"Edge 60 to 47","Mixed"
61,3,"Edge 61 to 3","Mixed"
62,25,"Edge 62 to 25","Mixed"
63,54,"Edge 63 to 54","Mixed"
64,50,"Edge 64 to 50","Mixed"
65,30,"Edge 65 to 30","Mixed"
66,32,"Edge 66 to 32","Mixed"
67,41,"Edge 67 to 41","Mixed"
68,23,"Edge 68 to 23","Mixed"
69,2,"Edge 69 to 2","Mixed"
69,93,"Edge 69 to 93","Mixed"
70,5,"Edge 70 to 5","Mixed"
71,30,"Edge 71 to 30","Mixed"
72,25,"Edge 72 to 25","Mixed"
73,53,"Edge 73 to 53","Mixed"
74,2,"Edge 74 to 2","Mixed"
