Source,Target,Weight,Type,Start,End,Label
1,2,1,"undirected",1,19,"node 1 to 2"
1,3,1,"undirected",1,19,"node 1 to 3"
1,4,1,"undirected",1,19,"node 1 to 4"
1,5,1,"undirected",1,19,"node 1 to 5"
1,6,1,"undirected",1,19,"node 1 to 6"
1,7,1,"undirected",1,19,"node 1 to 7"
1,8,1,"undirected",1,19,"node 1 to 8"
1,9,1,"undirected",1,19,"node 1 to 9"
1,10,1,"undirected",1,19,"node 1 to 10"
1,11,1,"undirected",1,19,"node 1 to 11"
1,12,1,"undirected",1,19,"node 1 to 12"
1,13,1,"undirected",1,19,"node 1 to 13"
1,16,1,"undirected",1,19,"node 1 to 16"
1,17,1,"undirected",1,19,"node 1 to 17"
1,19,1,"undirected",1,19,"node 1 to 19"
1,20,1,"undirected",1,19,"node 1 to 20"
1,21,1,"undirected",1,19,"node 1 to 21"
1,23,1,"undirected",1,19,"node 1 to 23"
1,24,1,"undirected",1,19,"node 1 to 24"
1,25,1,"undirected",1,19,"node 1 to 25"
1,28,1,"undirected",1,19,"node 1 to 28"
1,33,1,"undirected",1,19,"node 1 to 33"
1,35,1,"undirected",1,19,"node 1 to 35"
1,36,1,"undirected",1,19,"node 1 to 36"
1,39,1,"undirected",1,19,"node 1 to 39"
1,42,1,"undirected",1,19,"node 1 to 42"
1,46,1,"undirected",1,19,"node 1 to 46"
1,50,1,"undirected",1,19,"node 1 to 50"
1,51,1,"undirected",1,19,"node 1 to 51"
1,56,1,"undirected",1,19,"node 1 to 56"
1,57,1,"undirected",1,19,"node 1 to 57"
1,58,1,"undirected",1,19,"node 1 to 58"
1,64,1,"undirected",1,19,"node 1 to 64"
1,66,1,"undirected",1,19,"node 1 to 66"
1,70,1,"undirected",1,19,"node 1 to 70"
1,73,1,"undirected",1,19,"node 1 to 73"
1,80,1,"undirected",1,19,"node 1 to 80"
1,83,1,"undirected",1,19,"node 1 to 83"
1,90,1,"undirected",1,19,"node 1 to 90"
1,91,1,"undirected",1,19,"node 1 to 91"
1,92,1,"undirected",1,19,"node 1 to 92"
2,1,1,"undirected",1,19,"node 2 to 1"
2,3,1,"undirected",1,19,"node 2 to 3"
2,4,1,"undirected",1,19,"node 2 to 4"
2,5,1,"undirected",1,19,"node 2 to 5"
2,6,1,"undirected",1,19,"node 2 to 6"
2,7,1,"undirected",1,19,"node 2 to 7"
2,8,1,"undirected",1,19,"node 2 to 8"
2,9,1,"undirected",1,19,"node 2 to 9"
2,10,1,"undirected",1,19,"node 2 to 10"
2,11,1,"undirected",1,19,"node 2 to 11"
2,12,1,"undirected",1,19,"node 2 to 12"
2,13,1,"undirected",1,19,"node 2 to 13"
