Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 29.00, 0.00, 23.00, 0.00, 0.00
2,"Node 2", 20.00, 0.00, 32.00, 0.00, 0.00
3,"Node 3", 0.00, 0.00, 0.00, 0.00, 0.00
4,"Node 4", 26.00, 1.00, 25.00, 0.00, 0.00
5,"Node 5", 28.00, 0.00, 24.00, 0.00, 0.00
6,"Node 6", 30.00, 0.00, 22.00, 0.00, 0.00
7,"Node 7", 16.00, 2.00, 34.00, 0.00, 0.00
8,"Node 8", 24.00, 0.00, 28.00, 0.00, 0.00
9,"Node 9", 0.00, 0.00, 0.00, 0.00, 0.00
10,"Node 10", 18.00, 2.00, 32.00, 0.00, 0.00
11,"Node 11", 25.00, 0.00, 27.00, 0.00, 0.00
12,"Node 12", 17.00, 1.00, 34.00, 0.00, 0.00
13,"Node 13", 22.00, 3.00, 27.00, 0.00, 0.00
14,"Node 14", 19.00, 0.00, 33.00, 0.00, 0.00
15,"Node 15", 26.00, 1.00, 25.00, 0.00, 0.00
16,"Node 16", 26.00, 0.00, 26.00, 0.00, 0.00
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00
18,"Node 18", 24.00, 0.00, 28.00, 0.00, 0.00
19,"Node 19", 17.00, 0.00, 35.00, 0.00, 0.00
20,"Node 20", 26.00, 0.00, 26.00, 0.00, 0.00
21,"Node 21", 23.00, 0.00, 29.00, 0.00, 0.00
22,"Node 22", 0.00, 0.00, 0.00, 0.00, 0.00
23,"Node 23", 24.00, 5.00, 23.00, 0.00, 0.00
24,"Node 24", 24.00, 1.00, 27.00, 0.00, 0.00
25,"Node 25", 20.00, 0.00, 32.00, 0.00, 0.00
26,"Node 26", 20.00, 1.00, 31.00, 0.00, 0.00
27,"Node 27", 19.00, 0.00, 33.00, 0.00, 0.00
28,"Node 28", 19.00, 4.00, 29.00, 0.00, 0.00
29,"Node 29", 28.00, 3.00, 21.00, 0.00, 0.00
30,"Node 30", 27.00, 5.00, 20.00, 0.00, 0.00
31,"Node 31", 24.00, 0.00, 28.00, 0.00, 0.00
32,"Node 32", 0.00, 0.00, 0.00, 0.00, 0.00
33,"Node 33", 22.00, 10.00, 20.00, 0.00, 0.00
34,"Node 34", 24.00, 0.00, 28.00, 0.00, 0.00
35,"Node 35", 17.00, 0.00, 35.00, 0.00, 0.00
36,"Node 36", 0.00, 0.00, 0.00, 0.00, 0.00
37,"Node 37", 9.00, 3.00, 40.00, 0.00, 0.00
38,"Node 38", 21.00, 8.00, 23.00, 0.00, 0.00
39,"Node 39", 0.00, 0.00, 0.00, 0.00, 0.00
40,"Node 40", 0.00, 0.00, 0.00, 0.00, 0.00
41,"Node 41", 0.00, 0.00, 0.00, 0.00, 0.00
42,"Node 42", 0.00, 0.00, 0.00, 0.00, 0.00
43,"Node 43", 26.00, 6.00, 20.00, 0.00, 0.00
44,"Node 44", 22.00, 1.00, 29.00, 0.00, 0.00
45,"Node 45", 0.00, 0.00, 0.00, 0.00, 0.00
46,"Node 46", 19.00, 0.00, 33.00, 0.00, 0.00
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00
48,"Node 48", 23.00, 4.00, 25.00, 0.00, 0.00
49,"Node 49", 27.00, 0.00, 25.00, 0.00, 0.00
50,"Node 50", 20.00, 20.00, 12.00, 0.00, 0.00
51,"Node 51", 16.00, 1.00, 35.00, 0.00, 0.00
52,"Node 52", 18.00, 11.00, 23.00, 0.00, 0.00
53,"Node 53", 19.00, 2.00, 31.00, 0.00, 0.00
54,"Node 54", 16.00, 0.00, 36.00, 0.00, 0.00
55,"Node 55", 21.00, 0.00, 31.00, 0.00, 0.00
56,"Node 56", 23.00, 6.00, 23.00, 0.00, 0.00
57,"Node 57", 18.00, 0.00, 34.00, 0.00, 0.00
58,"Node 58", 22.00, 7.00, 23.00, 0.00, 0.00
59,"Node 59", 22.00, 0.00, 30.00, 0.00, 0.00
60,"Node 60", 0.00, 0.00, 0.00, 0.00, 0.00
