Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 0.00, 0.00, 0.00, 0.00, 0.00
2,"Node 2", 24.00, 0.00, 28.00, 0.00, 0.00
3,"Node 3", 0.00, 0.00, 0.00, 0.00, 0.00
4,"Node 4", 33.00, 1.00, 18.00, 0.00, 0.00
5,"Node 5", 25.00, 0.00, 27.00, 0.00, 0.00
6,"Node 6", 15.00, 0.00, 37.00, 0.00, 0.00
7,"Node 7", 30.00, 1.00, 21.00, 0.00, 0.00
8,"Node 8", 0.00, 0.00, 0.00, 0.00, 0.00
9,"Node 9", 22.00, 0.00, 30.00, 0.00, 0.00
10,"Node 10", 34.00, 0.00, 18.00, 0.00, 0.00
11,"Node 11", 23.00, 0.00, 29.00, 0.00, 0.00
12,"Node 12", 28.00, 0.00, 24.00, 0.00, 0.00
13,"Node 13", 0.00, 0.00, 0.00, 0.00, 0.00
14,"Node 14", 26.00, 0.00, 26.00, 0.00, 0.00
15,"Node 15", 24.00, 1.00, 27.00, 0.00, 0.00
16,"Node 16", 0.00, 0.00, 0.00, 0.00, 0.00
17,"Node 17", 16.00, 0.00, 36.00, 0.00, 0.00
18,"Node 18", 16.00, 0.00, 36.00, 0.00, 0.00
19,"Node 19", 0.00, 0.00, 0.00, 0.00, 0.00
20,"Node 20", 18.00, 0.00, 34.00, 0.00, 0.00
21,"Node 21", 22.00, 0.00, 30.00, 0.00, 0.00
22,"Node 22", 27.00, 3.00, 22.00, 0.00, 0.00
23,"Node 23", 0.00, 0.00, 0.00, 0.00, 0.00
24,"Node 24", 23.00, 3.00, 26.00, 0.00, 0.00
25,"Node 25", 33.00, 2.00, 17.00, 0.00, 0.00
26,"Node 26", 20.00, 2.00, 30.00, 0.00, 0.00
27,"Node 27", 28.00, 0.00, 24.00, 0.00, 0.00
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00
29,"Node 29", 20.00, 2.00, 30.00, 0.00, 0.00
30,"Node 30", 25.00, 3.00, 24.00, 0.00, 0.00
31,"Node 31", 26.00, 0.00, 26.00, 0.00, 0.00
32,"Node 32", 23.00, 0.00, 29.00, 0.00, 0.00
33,"Node 33", 14.00, 10.00, 28.00, 0.00, 0.00
34,"Node 34", 23.00, 2.00, 27.00, 0.00, 0.00
35,"Node 35", 25.00, 1.00, 26.00, 0.00, 0.00
36,"Node 36", 23.00, 1.00, 28.00, 0.00, 0.00
37,"Node 37", 26.00, 3.00, 23.00, 0.00, 0.00
38,"Node 38", 0.00, 0.00, 0.00, 0.00, 0.00
39,"Node 39", 16.00, 0.00, 36.00, 0.00, 0.00
40,"Node 40", 0.00, 0.00, 0.00, 0.00, 0.00
41,"Node 41", 31.00, 2.00, 19.00, 0.00, 0.00
42,"Node 42", 15.00, 0.00, 37.00, 0.00, 0.00
43,"Node 43", 26.00, 2.00, 24.00, 0.00, 0.00
44,"Node 44", 30.00, 1.00, 21.00, 0.00, 0.00
45,"Node 45", 21.00, 0.00, 31.00, 0.00, 0.00
46,"Node 46", 20.00, 1.00, 31.00, 0.00, 0.00
47,"Node 47", 25.00, 0.00, 27.00, 0.00, 0.00
48,"Node 48", 24.00, 3.00, 25.00, 0.00, 0.00
49,"Node 49", 0.00, 0.00, 0.00, 0.00, 0.00
50,"Node 50", 0.00, 0.00, 0.00, 0.00, 0.00
51,"Node 51", 29.00, 1.00, 22.00, 0.00, 0.00
52,"Node 52", 17.00, 11.00, 24.00, 0.00, 0.00
53,"Node 53", 32.00, 3.00, 17.00, 0.00, 0.00
54,"Node 54", 33.00, 0.00, 19.00, 0.00, 0.00
55,"Node 55", 26.00, 0.00, 26.00, 0.00, 0.00
56,"Node 56", 25.00, 5.00, 22.00, 0.00, 0.00
57,"Node 57", 18.00, 0.00, 34.00, 0.00, 0.00
58,"Node 58", 0.00, 0.00, 0.00, 0.00, 0.00
59,"Node 59", 21.00, 0.00, 31.00, 0.00, 0.00
60,"Node 60", 20.00, 0.00, 32.00, 0.00, 0.00
61,"Node 61", 0.00, 0.00, 0.00, 0.00, 0.00
62,"Node 62", 0.00, 0.00, 0.00, 0.00, 0.00
63,"Node 63", 29.00, 2.00, 21.00, 0.00, 0.00
64,"Node 64", 13.00, 28.00, 11.00, 0.00, 0.00
65,"Node 65", 0.00, 0.00, 0.00, 0.00, 0.00
66,"Node 66", 19.00, 1.00, 32.00, 0.00, 0.00
67,"Node 67", 29.00, 4.00, 19.00, 0.00, 0.00
68,"Node 68", 30.00, 6.00, 16.00, 0.00, 0.00
69,"Node 69", 18.00, 0.00, 34.00, 0.00, 0.00
70,"Node 70", 23.00, 0.00, 29.00, 0.00, 0.00
71,"Node 71", 14.00, 13.00, 25.00, 0.00, 0.00
72,"Node 72", 32.00, 2.00, 18.00, 0.00, 0.00
73,"Node 73", 37.00, 4.00, 11.00, 0.00, 0.00
74,"Node 74", 0.00, 0.00, 0.00, 0.00, 0.00
75,"Node 75", 0.00, 0.00, 0.00, 0.00, 0.00
76,"Node 76", 0.00, 0.00, 0.00, 0.00, 0.00
77,"Node 77", 0.00, 0.00, 0.00, 0.00, 0.00
78,"Node 78", 21.00, 1.00, 30.00, 0.00, 0.00
79,"Node 79", 0.00, 0.00, 0.00, 0.00, 0.00
80,"Node 80", 0.00, 0.00, 0.00, 0.00, 0.00
81,"Node 81", 24.00, 1.00, 27.00, 0.00, 0.00
82,"Node 82", 20.00, 0.00, 32.00, 0.00, 0.00
83,"Node 83", 24.00, 0.00, 28.00, 0.00, 0.00
84,"Node 84", 23.00, 0.00, 29.00, 0.00, 0.00
85,"Node 85", 10.00, 32.00, 10.00, 0.00, 0.00
86,"Node 86", 14.00, 2.00, 36.00, 0.00, 0.00
87,"Node 87", 0.00, 0.00, 0.00, 0.00, 0.00
88,"Node 88", 30.00, 4.00, 18.00, 0.00, 0.00
89,"Node 89", 28.00, 0.00, 24.00, 0.00, 0.00
90,"Node 90", 26.00, 0.00, 26.00, 0.00, 0.00
91,"Node 91", 32.00, 1.00, 19.00, 0.00, 0.00
92,"Node 92", 28.00, 6.00, 18.00, 0.00, 0.00
93,"Node 93", 28.00, 0.00, 24.00, 0.00, 0.00
94,"Node 94", 31.00, 2.00, 19.00, 0.00, 0.00
95,"Node 95", 26.00, 2.00, 24.00, 0.00, 0.00
96,"Node 96", 20.00, 0.00, 32.00, 0.00, 0.00
97,"Node 97", 0.00, 0.00, 0.00, 0.00, 0.00
98,"Node 98", 30.00, 1.00, 21.00, 0.00, 0.00
99,"Node 99", 0.00, 0.00, 0.00, 0.00, 0.00
100,"Node 100", 29.00, 0.00, 23.00, 0.00, 0.00
101,"Node 101", 32.00, 1.00, 19.00, 0.00, 0.00
