Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 0.00, 0.00, 0.00, 0.00, 0.00
2,"Node 2", 230.00, 0.00, 82.00, 0.00, 0.00
3,"Node 3", 256.00, 9.00, 46.00, 1.00, 0.00
4,"Node 4", 253.00, 10.00, 49.00, 0.00, 0.00
5,"Node 5", 257.00, 0.00, 54.00, 1.00, 0.00
6,"Node 6", 242.00, 0.00, 68.00, 2.00, 0.00
7,"Node 7", 260.00, 6.00, 46.00, 0.00, 0.00
8,"Node 8", 213.00, 0.00, 99.00, 0.00, 0.00
9,"Node 9", 242.00, 10.00, 60.00, 0.00, 0.00
10,"Node 10", 242.00, 8.00, 62.00, 0.00, 0.00
11,"Node 11", 224.00, 0.00, 87.00, 1.00, 0.00
12,"Node 12", 250.00, 5.00, 57.00, 0.00, 0.00
13,"Node 13", 242.00, 24.00, 46.00, 0.00, 0.00
14,"Node 14", 235.00, 0.00, 76.00, 1.00, 0.00
15,"Node 15", 227.00, 6.00, 79.00, 0.00, 0.00
16,"Node 16", 0.00, 0.00, 0.00, 0.00, 0.00
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00
18,"Node 18", 0.00, 0.00, 0.00, 0.00, 0.00
19,"Node 19", 0.00, 0.00, 0.00, 0.00, 0.00
20,"Node 20", 240.00, 0.00, 71.00, 1.00, 0.00
21,"Node 21", 216.00, 5.00, 89.00, 2.00, 0.00
22,"Node 22", 253.00, 7.00, 52.00, 0.00, 0.00
23,"Node 23", 0.00, 0.00, 0.00, 0.00, 0.00
24,"Node 24", 222.00, 25.00, 64.00, 1.00, 0.00
25,"Node 25", 249.00, 12.00, 50.00, 1.00, 0.00
26,"Node 26", 223.00, 6.00, 81.00, 2.00, 0.00
27,"Node 27", 256.00, 5.00, 50.00, 1.00, 0.00
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00
29,"Node 29", 261.00, 11.00, 40.00, 0.00, 0.00
30,"Node 30", 235.00, 20.00, 55.00, 2.00, 0.00
31,"Node 31", 239.00, 0.00, 73.00, 0.00, 0.00
32,"Node 32", 0.00, 0.00, 0.00, 0.00, 0.00
33,"Node 33", 212.00, 61.00, 38.00, 1.00, 0.00
34,"Node 34", 252.00, 6.00, 54.00, 0.00, 0.00
35,"Node 35", 244.00, 7.00, 59.00, 2.00, 0.00
36,"Node 36", 247.00, 30.00, 34.00, 1.00, 0.00
37,"Node 37", 239.00, 10.00, 62.00, 1.00, 0.00
38,"Node 38", 224.00, 28.00, 60.00, 0.00, 0.00
39,"Node 39", 220.00, 0.00, 92.00, 0.00, 0.00
40,"Node 40", 0.00, 0.00, 0.00, 0.00, 0.00
41,"Node 41", 247.00, 14.00, 51.00, 0.00, 0.00
42,"Node 42", 211.00, 0.00, 100.00, 1.00, 0.00
43,"Node 43", 0.00, 0.00, 0.00, 0.00, 0.00
44,"Node 44", 239.00, 10.00, 62.00, 1.00, 0.00
45,"Node 45", 0.00, 0.00, 0.00, 0.00, 0.00
46,"Node 46", 214.00, 8.00, 90.00, 0.00, 0.00
47,"Node 47", 250.00, 0.00, 62.00, 0.00, 0.00
48,"Node 48", 0.00, 0.00, 0.00, 0.00, 0.00
49,"Node 49", 237.00, 0.00, 75.00, 0.00, 0.00
50,"Node 50", 0.00, 0.00, 0.00, 0.00, 0.00
51,"Node 51", 241.00, 7.00, 64.00, 0.00, 0.00
52,"Node 52", 175.00, 89.00, 47.00, 1.00, 0.00
53,"Node 53", 231.00, 21.00, 60.00, 0.00, 0.00
54,"Node 54", 245.00, 8.00, 59.00, 0.00, 0.00
55,"Node 55", 227.00, 0.00, 84.00, 1.00, 0.00
56,"Node 56", 243.00, 26.00, 42.00, 1.00, 0.00
57,"Node 57", 224.00, 0.00, 87.00, 1.00, 0.00
58,"Node 58", 215.00, 48.00, 49.00, 0.00, 0.00
59,"Node 59", 255.00, 0.00, 54.00, 3.00, 0.00
60,"Node 60", 0.00, 0.00, 0.00, 0.00, 0.00
61,"Node 61", 246.00, 10.00, 56.00, 0.00, 0.00
62,"Node 62", 0.00, 0.00, 0.00, 0.00, 0.00
63,"Node 63", 254.00, 8.00, 50.00, 0.00, 0.00
64,"Node 64", 115.00, 184.00, 13.00, 0.00, 0.00
65,"Node 65", 200.00, 71.00, 41.00, 0.00, 0.00
66,"Node 66", 212.00, 9.00, 89.00, 2.00, 0.00
67,"Node 67", 0.00, 0.00, 0.00, 0.00, 0.00
68,"Node 68", 239.00, 33.00, 40.00, 0.00, 0.00
69,"Node 69", 215.00, 0.00, 97.00, 0.00, 0.00
70,"Node 70", 245.00, 0.00, 66.00, 1.00, 0.00
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00
72,"Node 72", 253.00, 5.00, 51.00, 3.00, 0.00
73,"Node 73", 230.00, 33.00, 47.00, 2.00, 0.00
74,"Node 74", 222.00, 0.00, 89.00, 1.00, 0.00
75,"Node 75", 252.00, 0.00, 59.00, 1.00, 0.00
76,"Node 76", 255.00, 8.00, 48.00, 1.00, 0.00
77,"Node 77", 239.00, 0.00, 70.00, 3.00, 0.00
78,"Node 78", 210.00, 13.00, 89.00, 0.00, 0.00
79,"Node 79", 0.00, 0.00, 0.00, 0.00, 0.00
80,"Node 80", 245.00, 0.00, 65.00, 2.00, 0.00
81,"Node 81", 251.00, 10.00, 48.00, 3.00, 0.00
82,"Node 82", 0.00, 0.00, 0.00, 0.00, 0.00
83,"Node 83", 0.00, 0.00, 0.00, 0.00, 0.00
84,"Node 84", 203.00, 4.00, 105.00, 0.00, 0.00
85,"Node 85", 0.00, 0.00, 0.00, 0.00, 0.00
86,"Node 86", 221.00, 22.00, 69.00, 0.00, 0.00
87,"Node 87", 227.00, 44.00, 40.00, 1.00, 0.00
88,"Node 88", 0.00, 0.00, 0.00, 0.00, 0.00
89,"Node 89", 0.00, 0.00, 0.00, 0.00, 0.00
90,"Node 90", 242.00, 27.00, 42.00, 1.00, 0.00
91,"Node 91", 0.00, 0.00, 0.00, 0.00, 0.00
92,"Node 92", 247.00, 33.00, 32.00, 0.00, 0.00
93,"Node 93", 216.00, 9.00, 87.00, 0.00, 0.00
