Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 0.00, 0.00, 0.00, 0.00, 0.00
2,"Node 2", 39.00, 13.00, 0.00, 0.00, 0.00
3,"Node 3", 29.00, 20.00, 3.00, 0.00, 0.00
4,"Node 4", 33.00, 18.00, 1.00, 0.00, 0.00
5,"Node 5", 20.00, 32.00, 0.00, 0.00, 0.00
6,"Node 6", 25.00, 27.00, 0.00, 0.00, 0.00
7,"Node 7", 26.00, 24.00, 2.00, 0.00, 0.00
8,"Node 8", 28.00, 21.00, 3.00, 0.00, 0.00
9,"Node 9", 14.00, 38.00, 0.00, 0.00, 0.00
10,"Node 10", 18.00, 29.00, 5.00, 0.00, 0.00
11,"Node 11", 9.00, 42.00, 1.00, 0.00, 0.00
12,"Node 12", 13.00, 37.00, 2.00, 0.00, 0.00
13,"Node 13", 0.00, 0.00, 0.00, 0.00, 0.00
14,"Node 14", 0.00, 0.00, 0.00, 0.00, 0.00
15,"Node 15", 9.00, 41.00, 2.00, 0.00, 0.00
16,"Node 16", 25.00, 25.00, 2.00, 0.00, 0.00
17,"Node 17", 7.00, 45.00, 0.00, 0.00, 0.00
18,"Node 18", 25.00, 23.00, 4.00, 0.00, 0.00
19,"Node 19", 10.00, 42.00, 0.00, 0.00, 0.00
20,"Node 20", 5.00, 47.00, 0.00, 0.00, 0.00
21,"Node 21", 20.00, 32.00, 0.00, 0.00, 0.00
22,"Node 22", 0.00, 0.00, 0.00, 0.00, 0.00
23,"Node 23", 0.00, 0.00, 0.00, 0.00, 0.00
24,"Node 24", 0.00, 0.00, 0.00, 0.00, 0.00
25,"Node 25", 16.00, 36.00, 0.00, 0.00, 0.00
26,"Node 26", 19.00, 30.00, 3.00, 0.00, 0.00
27,"Node 27", 23.00, 27.00, 2.00, 0.00, 0.00
28,"Node 28", 20.00, 28.00, 4.00, 0.00, 0.00
29,"Node 29", 0.00, 0.00, 0.00, 0.00, 0.00
30,"Node 30", 16.00, 33.00, 3.00, 0.00, 0.00
31,"Node 31", 5.00, 47.00, 0.00, 0.00, 0.00
32,"Node 32", 17.00, 34.00, 1.00, 0.00, 0.00
33,"Node 33", 4.00, 48.00, 0.00, 0.00, 0.00
34,"Node 34", 21.00, 31.00, 0.00, 0.00, 0.00
35,"Node 35", 8.00, 43.00, 1.00, 0.00, 0.00
36,"Node 36", 10.00, 42.00, 0.00, 0.00, 0.00
37,"Node 37", 19.00, 30.00, 3.00, 0.00, 0.00
38,"Node 38", 0.00, 0.00, 0.00, 0.00, 0.00
39,"Node 39", 20.00, 30.00, 2.00, 0.00, 0.00
40,"Node 40", 0.00, 0.00, 0.00, 0.00, 0.00
41,"Node 41", 13.00, 39.00, 0.00, 0.00, 0.00
42,"Node 42", 0.00, 0.00, 0.00, 0.00, 0.00
43,"Node 43", 6.00, 46.00, 0.00, 0.00, 0.00
44,"Node 44", 0.00, 0.00, 0.00, 0.00, 0.00
45,"Node 45", 18.00, 34.00, 0.00, 0.00, 0.00
46,"Node 46", 12.00, 39.00, 1.00, 0.00, 0.00
47,"Node 47", 0.00, 0.00, 0.00, 0.00, 0.00
48,"Node 48", 9.00, 43.00, 0.00, 0.00, 0.00
49,"Node 49", 11.00, 37.00, 4.00, 0.00, 0.00
50,"Node 50", 11.00, 41.00, 0.00, 0.00, 0.00
51,"Node 51", 9.00, 43.00, 0.00, 0.00, 0.00
52,"Node 52", 0.00, 0.00, 0.00, 0.00, 0.00
53,"Node 53", 9.00, 43.00, 0.00, 0.00, 0.00
54,"Node 54", 0.00, 0.00, 0.00, 0.00, 0.00
55,"Node 55", 9.00, 43.00, 0.00, 0.00, 0.00
56,"Node 56", 6.00, 46.00, 0.00, 0.00, 0.00
57,"Node 57", 5.00, 47.00, 0.00, 0.00, 0.00
58,"Node 58", 2.00, 50.00, 0.00, 0.00, 0.00
59,"Node 59", 0.00, 0.00, 0.00, 0.00, 0.00
60,"Node 60", 12.00, 40.00, 0.00, 0.00, 0.00
61,"Node 61", 15.00, 36.00, 1.00, 0.00, 0.00
62,"Node 62", 10.00, 42.00, 0.00, 0.00, 0.00
