Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 190.00, 12.00, 6.00, 0.00, 0.00
2,"Node 2", 197.00, 2.00, 9.00, 0.00, 0.00
3,"Node 3", 189.00, 12.00, 7.00, 0.00, 0.00
4,"Node 4", 171.00, 31.00, 6.00, 0.00, 0.00
5,"Node 5", 196.00, 0.00, 12.00, 0.00, 0.00
6,"Node 6", 180.00, 20.00, 8.00, 0.00, 0.00
7,"Node 7", 181.00, 21.00, 6.00, 0.00, 0.00
8,"Node 8", 195.00, 4.00, 9.00, 0.00, 0.00
9,"Node 9", 183.00, 19.00, 6.00, 0.00, 0.00
10,"Node 10", 185.00, 19.00, 4.00, 0.00, 0.00
11,"Node 11", 193.00, 4.00, 11.00, 0.00, 0.00
12,"Node 12", 189.00, 12.00, 7.00, 0.00, 0.00
13,"Node 13", 145.00, 57.00, 6.00, 0.00, 0.00
14,"Node 14", 192.00, 8.00, 8.00, 0.00, 0.00
15,"Node 15", 166.00, 28.00, 14.00, 0.00, 0.00
16,"Node 16", 180.00, 20.00, 8.00, 0.00, 0.00
17,"Node 17", 193.00, 5.00, 10.00, 0.00, 0.00
18,"Node 18", 156.00, 44.00, 8.00, 0.00, 0.00
19,"Node 19", 190.00, 8.00, 10.00, 0.00, 0.00
20,"Node 20", 156.00, 43.00, 9.00, 0.00, 0.00
21,"Node 21", 175.00, 23.00, 10.00, 0.00, 0.00
22,"Node 22", 177.00, 24.00, 7.00, 0.00, 0.00
23,"Node 23", 143.00, 60.00, 5.00, 0.00, 0.00
24,"Node 24", 102.00, 100.00, 6.00, 0.00, 0.00
25,"Node 25", 185.00, 16.00, 7.00, 0.00, 0.00
26,"Node 26", 142.00, 60.00, 6.00, 0.00, 0.00
27,"Node 27", 189.00, 11.00, 8.00, 0.00, 0.00
28,"Node 28", 138.00, 62.00, 8.00, 0.00, 0.00
29,"Node 29", 184.00, 21.00, 3.00, 0.00, 0.00
30,"Node 30", 109.00, 93.00, 6.00, 0.00, 0.00
31,"Node 31", 149.00, 49.00, 10.00, 0.00, 0.00
32,"Node 32", 193.00, 3.00, 12.00, 0.00, 0.00
33,"Node 33", 74.00, 128.00, 6.00, 0.00, 0.00
34,"Node 34", 180.00, 16.00, 12.00, 0.00, 0.00
35,"Node 35", 173.00, 32.00, 3.00, 0.00, 0.00
36,"Node 36", 151.00, 51.00, 6.00, 0.00, 0.00
37,"Node 37", 185.00, 18.00, 5.00, 0.00, 0.00
38,"Node 38", 119.00, 85.00, 4.00, 0.00, 0.00
39,"Node 39", 195.00, 5.00, 8.00, 0.00, 0.00
40,"Node 40", 183.00, 15.00, 10.00, 0.00, 0.00
41,"Node 41", 173.00, 25.00, 10.00, 0.00, 0.00
42,"Node 42", 192.00, 4.00, 12.00, 0.00, 0.00
43,"Node 43", 149.00, 50.00, 9.00, 0.00, 0.00
44,"Node 44", 180.00, 22.00, 6.00, 0.00, 0.00
45,"Node 45", 199.00, 3.00, 6.00, 0.00, 0.00
46,"Node 46", 138.00, 63.00, 7.00, 0.00, 0.00
47,"Node 47", 183.00, 16.00, 9.00, 0.00, 0.00
48,"Node 48", 119.00, 86.00, 3.00, 0.00, 0.00
