Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 0.00, 0.00, 0.00, 0.00, 0.00,  0
2,"Node 2", 15.00, 35.00, 0.00, 0.00, 0.00,  2
3,"Node 3", 36.00, 14.00, 0.00, 0.00, 0.00,  2
4,"Node 4", 29.00, 21.00, 0.00, 0.00, 0.00,  2
5,"Node 5", 30.00, 20.00, 0.00, 0.00, 0.00,  2
6,"Node 6", 42.00, 8.00, 0.00, 0.00, 0.00,  1
7,"Node 7", 28.00, 21.00, 1.00, 0.00, 0.00,  1
8,"Node 8", 32.00, 17.00, 1.00, 0.00, 0.00,  2
9,"Node 9", 33.00, 17.00, 0.00, 0.00, 0.00,  2
10,"Node 10", 17.00, 33.00, 0.00, 0.00, 0.00,  2
