Id,Label,Purchases,PathFail,SufferedLiquidityFail,CausedLiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 50.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  2
2,"Node 2", 49.00, 0.00, 1.00, 1.00, 0.00, 0.00,  0,  1
3,"Node 3", 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
4,"Node 4", 50.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  2
5,"Node 5", 50.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  2
6,"Node 6", 49.00, 0.00, 1.00, 2.00, 0.00, 0.00,  0,  2
7,"Node 7", 49.00, 0.00, 1.00, 0.00, 0.00, 0.00,  0,  2
8,"Node 8", 50.00, 0.00, 0.00, 0.00, 0.00, 0.00,  0,  2
9,"Node 9", 37.00, 0.00, 13.00, 23.00, 0.00, 0.00,  0,  1
10,"Node 10", 40.00, 0.00, 10.00, 0.00, 0.00, 0.00,  0,  2
