Source,Target,Label,Type
1,2,"Edge 1 to 2","Undirected"
1,3,"Edge 1 to 3","Undirected"
1,6,"Edge 1 to 6","Undirected"
2,1,"Edge 2 to 1","Undirected"
2,4,"Edge 2 to 4","Undirected"
3,1,"Edge 3 to 1","Undirected"
3,4,"Edge 3 to 4","Undirected"
3,5,"Edge 3 to 5","Undirected"
4,2,"Edge 4 to 2","Undirected"
4,3,"Edge 4 to 3","Undirected"
4,7,"Edge 4 to 7","Undirected"
5,3,"Edge 5 to 3","Undirected"
5,8,"Edge 5 to 8","Undirected"
6,1,"Edge 6 to 1","Undirected"
6,7,"Edge 6 to 7","Undirected"
6,8,"Edge 6 to 8","Undirected"
7,4,"Edge 7 to 4","Undirected"
7,6,"Edge 7 to 6","Undirected"
8,5,"Edge 8 to 5","Undirected"
8,6,"Edge 8 to 6","Undirected"
8,9,"Edge 8 to 9","Undirected"
9,8,"Edge 9 to 8","Undirected"
9,10,"Edge 9 to 10","Undirected"
10,9,"Edge 10 to 9","Undirected"
