Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
1,"Node 1", 50.00, 0.00, 0.00, 0.00, 0.00,  0,  2
2,"Node 2", 49.00, 0.00, 1.00, 0.00, 0.00,  0,  2
3,"Node 3", 50.00, 0.00, 0.00, 0.00, 0.00,  0,  2
4,"Node 4", 49.00, 0.00, 1.00, 0.00, 0.00,  0,  1
5,"Node 5", 46.00, 0.00, 4.00, 0.00, 0.00,  0,  2
6,"Node 6", 47.00, 0.00, 3.00, 0.00, 0.00,  0,  2
7,"Node 7", 48.00, 0.00, 2.00, 0.00, 0.00,  0,  2
8,"Node 8", 46.00, 0.00, 4.00, 0.00, 0.00,  0,  1
9,"Node 9", 46.00, 0.00, 4.00, 0.00, 0.00,  0,  2
10,"Node 10", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
