Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 23.00, 6.00, 23.00, 0.00, 0.00
2,"Node 2", 15.00, 8.00, 29.00, 0.00, 0.00
3,"Node 3", 28.00, 7.00, 17.00, 0.00, 0.00
4,"Node 4", 24.00, 19.00, 9.00, 0.00, 0.00
5,"Node 5", 24.00, 6.00, 22.00, 0.00, 0.00
6,"Node 6", 0.00, 0.00, 0.00, 0.00, 0.00
7,"Node 7", 23.00, 18.00, 11.00, 0.00, 0.00
8,"Node 8", 14.00, 16.00, 22.00, 0.00, 0.00
9,"Node 9", 21.00, 25.00, 6.00, 0.00, 0.00
10,"Node 10", 18.00, 17.00, 17.00, 0.00, 0.00
11,"Node 11", 15.00, 19.00, 18.00, 0.00, 0.00
12,"Node 12", 0.00, 0.00, 0.00, 0.00, 0.00
13,"Node 13", 10.00, 38.00, 4.00, 0.00, 0.00
14,"Node 14", 14.00, 13.00, 25.00, 0.00, 0.00
15,"Node 15", 0.00, 0.00, 0.00, 0.00, 0.00
16,"Node 16", 12.00, 22.00, 18.00, 0.00, 0.00
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00
18,"Node 18", 15.00, 30.00, 7.00, 0.00, 0.00
19,"Node 19", 13.00, 12.00, 27.00, 0.00, 0.00
20,"Node 20", 17.00, 31.00, 4.00, 0.00, 0.00
21,"Node 21", 9.00, 37.00, 6.00, 0.00, 0.00
22,"Node 22", 23.00, 22.00, 7.00, 0.00, 0.00
23,"Node 23", 0.00, 0.00, 0.00, 0.00, 0.00
24,"Node 24", 7.00, 45.00, 0.00, 0.00, 0.00
25,"Node 25", 23.00, 14.00, 15.00, 0.00, 0.00
26,"Node 26", 7.00, 39.00, 6.00, 0.00, 0.00
27,"Node 27", 17.00, 18.00, 17.00, 0.00, 0.00
28,"Node 28", 4.00, 42.00, 6.00, 0.00, 0.00
29,"Node 29", 0.00, 0.00, 0.00, 0.00, 0.00
30,"Node 30", 0.00, 0.00, 0.00, 0.00, 0.00
31,"Node 31", 12.00, 34.00, 6.00, 0.00, 0.00
32,"Node 32", 23.00, 9.00, 20.00, 0.00, 0.00
33,"Node 33", 0.00, 0.00, 0.00, 0.00, 0.00
34,"Node 34", 0.00, 0.00, 0.00, 0.00, 0.00
35,"Node 35", 13.00, 31.00, 8.00, 0.00, 0.00
36,"Node 36", 18.00, 31.00, 3.00, 0.00, 0.00
37,"Node 37", 15.00, 25.00, 12.00, 0.00, 0.00
38,"Node 38", 4.00, 48.00, 0.00, 0.00, 0.00
39,"Node 39", 0.00, 0.00, 0.00, 0.00, 0.00
40,"Node 40", 0.00, 0.00, 0.00, 0.00, 0.00
41,"Node 41", 7.00, 36.00, 9.00, 0.00, 0.00
42,"Node 42", 13.00, 20.00, 19.00, 0.00, 0.00
43,"Node 43", 15.00, 34.00, 3.00, 0.00, 0.00
44,"Node 44", 10.00, 33.00, 9.00, 0.00, 0.00
45,"Node 45", 13.00, 8.00, 31.00, 0.00, 0.00
46,"Node 46", 6.00, 44.00, 2.00, 0.00, 0.00
47,"Node 47", 19.00, 23.00, 10.00, 0.00, 0.00
48,"Node 48", 12.00, 39.00, 1.00, 0.00, 0.00
49,"Node 49", 15.00, 22.00, 15.00, 0.00, 0.00
50,"Node 50", 0.00, 0.00, 0.00, 0.00, 0.00
