Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 38.00, 5.00, 9.00, 0.00, 0.00
2,"Node 2", 34.00, 3.00, 15.00, 0.00, 0.00
3,"Node 3", 27.00, 11.00, 14.00, 0.00, 0.00
4,"Node 4", 21.00, 18.00, 13.00, 0.00, 0.00
5,"Node 5", 0.00, 0.00, 0.00, 0.00, 0.00
6,"Node 6", 24.00, 24.00, 4.00, 0.00, 0.00
7,"Node 7", 26.00, 12.00, 14.00, 0.00, 0.00
8,"Node 8", 28.00, 10.00, 14.00, 0.00, 0.00
9,"Node 9", 20.00, 20.00, 12.00, 0.00, 0.00
10,"Node 10", 27.00, 15.00, 10.00, 0.00, 0.00
11,"Node 11", 25.00, 16.00, 11.00, 0.00, 0.00
12,"Node 12", 24.00, 14.00, 14.00, 0.00, 0.00
13,"Node 13", 10.00, 37.00, 5.00, 0.00, 0.00
14,"Node 14", 26.00, 19.00, 7.00, 0.00, 0.00
15,"Node 15", 14.00, 32.00, 6.00, 0.00, 0.00
16,"Node 16", 0.00, 0.00, 0.00, 0.00, 0.00
17,"Node 17", 19.00, 23.00, 10.00, 0.00, 0.00
18,"Node 18", 0.00, 0.00, 0.00, 0.00, 0.00
19,"Node 19", 0.00, 0.00, 0.00, 0.00, 0.00
20,"Node 20", 0.00, 0.00, 0.00, 0.00, 0.00
21,"Node 21", 13.00, 32.00, 7.00, 0.00, 0.00
22,"Node 22", 19.00, 21.00, 12.00, 0.00, 0.00
23,"Node 23", 16.00, 32.00, 4.00, 0.00, 0.00
24,"Node 24", 0.00, 0.00, 0.00, 0.00, 0.00
25,"Node 25", 0.00, 0.00, 0.00, 0.00, 0.00
26,"Node 26", 6.00, 44.00, 2.00, 0.00, 0.00
27,"Node 27", 31.00, 9.00, 12.00, 0.00, 0.00
28,"Node 28", 0.00, 0.00, 0.00, 0.00, 0.00
29,"Node 29", 25.00, 18.00, 9.00, 0.00, 0.00
30,"Node 30", 13.00, 39.00, 0.00, 0.00, 0.00
31,"Node 31", 0.00, 0.00, 0.00, 0.00, 0.00
32,"Node 32", 29.00, 7.00, 16.00, 0.00, 0.00
33,"Node 33", 5.00, 46.00, 1.00, 0.00, 0.00
34,"Node 34", 21.00, 21.00, 10.00, 0.00, 0.00
35,"Node 35", 16.00, 32.00, 4.00, 0.00, 0.00
36,"Node 36", 0.00, 0.00, 0.00, 0.00, 0.00
37,"Node 37", 12.00, 32.00, 8.00, 0.00, 0.00
38,"Node 38", 4.00, 48.00, 0.00, 0.00, 0.00
39,"Node 39", 21.00, 18.00, 13.00, 0.00, 0.00
40,"Node 40", 24.00, 17.00, 11.00, 0.00, 0.00
41,"Node 41", 21.00, 25.00, 6.00, 0.00, 0.00
42,"Node 42", 27.00, 15.00, 10.00, 0.00, 0.00
43,"Node 43", 0.00, 0.00, 0.00, 0.00, 0.00
44,"Node 44", 0.00, 0.00, 0.00, 0.00, 0.00
45,"Node 45", 28.00, 9.00, 15.00, 0.00, 0.00
46,"Node 46", 8.00, 41.00, 3.00, 0.00, 0.00
47,"Node 47", 18.00, 29.00, 5.00, 0.00, 0.00
48,"Node 48", 0.00, 0.00, 0.00, 0.00, 0.00
49,"Node 49", 21.00, 27.00, 4.00, 0.00, 0.00
50,"Node 50", 0.00, 0.00, 0.00, 0.00, 0.00
51,"Node 51", 0.00, 0.00, 0.00, 0.00, 0.00
52,"Node 52", 0.00, 0.00, 0.00, 0.00, 0.00
53,"Node 53", 9.00, 41.00, 2.00, 0.00, 0.00
54,"Node 54", 30.00, 9.00, 13.00, 0.00, 0.00
55,"Node 55", 26.00, 13.00, 13.00, 0.00, 0.00
56,"Node 56", 15.00, 32.00, 5.00, 0.00, 0.00
57,"Node 57", 0.00, 0.00, 0.00, 0.00, 0.00
58,"Node 58", 9.00, 39.00, 4.00, 0.00, 0.00
59,"Node 59", 0.00, 0.00, 0.00, 0.00, 0.00
60,"Node 60", 18.00, 31.00, 3.00, 0.00, 0.00
61,"Node 61", 16.00, 22.00, 14.00, 0.00, 0.00
62,"Node 62", 16.00, 25.00, 11.00, 0.00, 0.00
63,"Node 63", 15.00, 32.00, 5.00, 0.00, 0.00
64,"Node 64", 0.00, 0.00, 0.00, 0.00, 0.00
