Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 27.00, 0.00, 25.00, 0.00, 0.00
2,"Node 2", 0.00, 0.00, 0.00, 0.00, 0.00
3,"Node 3", 28.00, 1.00, 23.00, 0.00, 0.00
4,"Node 4", 29.00, 1.00, 22.00, 0.00, 0.00
5,"Node 5", 38.00, 0.00, 14.00, 0.00, 0.00
6,"Node 6", 31.00, 0.00, 21.00, 0.00, 0.00
7,"Node 7", 28.00, 1.00, 23.00, 0.00, 0.00
8,"Node 8", 27.00, 0.00, 25.00, 0.00, 0.00
9,"Node 9", 32.00, 0.00, 20.00, 0.00, 0.00
10,"Node 10", 25.00, 0.00, 27.00, 0.00, 0.00
11,"Node 11", 35.00, 0.00, 17.00, 0.00, 0.00
12,"Node 12", 30.00, 3.00, 19.00, 0.00, 0.00
13,"Node 13", 27.00, 8.00, 17.00, 0.00, 0.00
14,"Node 14", 0.00, 0.00, 0.00, 0.00, 0.00
15,"Node 15", 31.00, 2.00, 19.00, 0.00, 0.00
16,"Node 16", 0.00, 0.00, 0.00, 0.00, 0.00
17,"Node 17", 0.00, 0.00, 0.00, 0.00, 0.00
18,"Node 18", 36.00, 0.00, 16.00, 0.00, 0.00
19,"Node 19", 30.00, 0.00, 22.00, 0.00, 0.00
20,"Node 20", 32.00, 0.00, 20.00, 0.00, 0.00
21,"Node 21", 26.00, 1.00, 25.00, 0.00, 0.00
22,"Node 22", 33.00, 0.00, 19.00, 0.00, 0.00
23,"Node 23", 28.00, 4.00, 20.00, 0.00, 0.00
24,"Node 24", 32.00, 5.00, 15.00, 0.00, 0.00
25,"Node 25", 25.00, 1.00, 26.00, 0.00, 0.00
26,"Node 26", 0.00, 0.00, 0.00, 0.00, 0.00
27,"Node 27", 0.00, 0.00, 0.00, 0.00, 0.00
28,"Node 28", 31.00, 1.00, 20.00, 0.00, 0.00
29,"Node 29", 28.00, 0.00, 24.00, 0.00, 0.00
30,"Node 30", 34.00, 2.00, 16.00, 0.00, 0.00
31,"Node 31", 39.00, 0.00, 13.00, 0.00, 0.00
32,"Node 32", 28.00, 0.00, 24.00, 0.00, 0.00
33,"Node 33", 26.00, 15.00, 11.00, 0.00, 0.00
34,"Node 34", 30.00, 3.00, 19.00, 0.00, 0.00
35,"Node 35", 27.00, 4.00, 21.00, 0.00, 0.00
36,"Node 36", 27.00, 7.00, 18.00, 0.00, 0.00
37,"Node 37", 35.00, 2.00, 15.00, 0.00, 0.00
38,"Node 38", 31.00, 2.00, 19.00, 0.00, 0.00
39,"Node 39", 26.00, 0.00, 26.00, 0.00, 0.00
40,"Node 40", 29.00, 1.00, 22.00, 0.00, 0.00
41,"Node 41", 34.00, 4.00, 14.00, 0.00, 0.00
42,"Node 42", 0.00, 0.00, 0.00, 0.00, 0.00
43,"Node 43", 30.00, 6.00, 16.00, 0.00, 0.00
44,"Node 44", 0.00, 0.00, 0.00, 0.00, 0.00
45,"Node 45", 32.00, 0.00, 20.00, 0.00, 0.00
46,"Node 46", 0.00, 0.00, 0.00, 0.00, 0.00
47,"Node 47", 33.00, 0.00, 19.00, 0.00, 0.00
48,"Node 48", 22.00, 8.00, 22.00, 0.00, 0.00
49,"Node 49", 32.00, 0.00, 20.00, 0.00, 0.00
50,"Node 50", 24.00, 22.00, 6.00, 0.00, 0.00
51,"Node 51", 27.00, 0.00, 25.00, 0.00, 0.00
52,"Node 52", 29.00, 9.00, 14.00, 0.00, 0.00
53,"Node 53", 34.00, 2.00, 16.00, 0.00, 0.00
54,"Node 54", 36.00, 0.00, 16.00, 0.00, 0.00
55,"Node 55", 27.00, 0.00, 25.00, 0.00, 0.00
56,"Node 56", 0.00, 0.00, 0.00, 0.00, 0.00
57,"Node 57", 29.00, 0.00, 23.00, 0.00, 0.00
58,"Node 58", 18.00, 5.00, 29.00, 0.00, 0.00
59,"Node 59", 31.00, 0.00, 21.00, 0.00, 0.00
60,"Node 60", 0.00, 0.00, 0.00, 0.00, 0.00
61,"Node 61", 0.00, 0.00, 0.00, 0.00, 0.00
62,"Node 62", 0.00, 0.00, 0.00, 0.00, 0.00
63,"Node 63", 0.00, 0.00, 0.00, 0.00, 0.00
64,"Node 64", 13.00, 32.00, 7.00, 0.00, 0.00
65,"Node 65", 32.00, 8.00, 12.00, 0.00, 0.00
66,"Node 66", 19.00, 1.00, 32.00, 0.00, 0.00
67,"Node 67", 34.00, 3.00, 15.00, 0.00, 0.00
68,"Node 68", 27.00, 4.00, 21.00, 0.00, 0.00
69,"Node 69", 28.00, 0.00, 24.00, 0.00, 0.00
70,"Node 70", 0.00, 0.00, 0.00, 0.00, 0.00
71,"Node 71", 0.00, 0.00, 0.00, 0.00, 0.00
72,"Node 72", 33.00, 2.00, 17.00, 0.00, 0.00
73,"Node 73", 31.00, 7.00, 14.00, 0.00, 0.00
74,"Node 74", 28.00, 0.00, 24.00, 0.00, 0.00
75,"Node 75", 35.00, 0.00, 17.00, 0.00, 0.00
76,"Node 76", 32.00, 0.00, 20.00, 0.00, 0.00
77,"Node 77", 39.00, 0.00, 13.00, 0.00, 0.00
78,"Node 78", 24.00, 0.00, 28.00, 0.00, 0.00
79,"Node 79", 29.00, 0.00, 23.00, 0.00, 0.00
80,"Node 80", 38.00, 0.00, 14.00, 0.00, 0.00
81,"Node 81", 30.00, 1.00, 21.00, 0.00, 0.00
82,"Node 82", 0.00, 0.00, 0.00, 0.00, 0.00
83,"Node 83", 39.00, 0.00, 13.00, 0.00, 0.00
84,"Node 84", 31.00, 1.00, 20.00, 0.00, 0.00
85,"Node 85", 0.00, 0.00, 0.00, 0.00, 0.00
86,"Node 86", 35.00, 2.00, 15.00, 0.00, 0.00
87,"Node 87", 0.00, 0.00, 0.00, 0.00, 0.00
88,"Node 88", 26.00, 7.00, 19.00, 0.00, 0.00
89,"Node 89", 29.00, 0.00, 23.00, 0.00, 0.00
90,"Node 90", 0.00, 0.00, 0.00, 0.00, 0.00
91,"Node 91", 35.00, 1.00, 16.00, 0.00, 0.00
92,"Node 92", 33.00, 4.00, 15.00, 0.00, 0.00
93,"Node 93", 0.00, 0.00, 0.00, 0.00, 0.00
94,"Node 94", 26.00, 6.00, 20.00, 0.00, 0.00
95,"Node 95", 32.00, 6.00, 14.00, 0.00, 0.00
96,"Node 96", 0.00, 0.00, 0.00, 0.00, 0.00
97,"Node 97", 29.00, 9.00, 14.00, 0.00, 0.00
98,"Node 98", 0.00, 0.00, 0.00, 0.00, 0.00
99,"Node 99", 0.00, 0.00, 0.00, 0.00, 0.00
100,"Node 100", 32.00, 1.00, 19.00, 0.00, 0.00
101,"Node 101", 0.00, 0.00, 0.00, 0.00, 0.00
