Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 201.00, 2.00, 5.00, 0.00, 0.00
2,"Node 2", 207.00, 0.00, 1.00, 0.00, 0.00
3,"Node 3", 206.00, 0.00, 2.00, 0.00, 0.00
4,"Node 4", 206.00, 0.00, 2.00, 0.00, 0.00
5,"Node 5", 202.00, 5.00, 1.00, 0.00, 0.00
6,"Node 6", 200.00, 7.00, 1.00, 0.00, 0.00
7,"Node 7", 195.00, 12.00, 1.00, 0.00, 0.00
8,"Node 8", 205.00, 1.00, 2.00, 0.00, 0.00
9,"Node 9", 204.00, 4.00, 0.00, 0.00, 0.00
10,"Node 10", 174.00, 30.00, 4.00, 0.00, 0.00
11,"Node 11", 174.00, 33.00, 1.00, 0.00, 0.00
12,"Node 12", 183.00, 24.00, 1.00, 0.00, 0.00
13,"Node 13", 183.00, 23.00, 2.00, 0.00, 0.00
14,"Node 14", 195.00, 12.00, 1.00, 0.00, 0.00
15,"Node 15", 184.00, 23.00, 1.00, 0.00, 0.00
16,"Node 16", 176.00, 31.00, 1.00, 0.00, 0.00
17,"Node 17", 181.00, 27.00, 0.00, 0.00, 0.00
18,"Node 18", 179.00, 28.00, 1.00, 0.00, 0.00
19,"Node 19", 182.00, 25.00, 1.00, 0.00, 0.00
20,"Node 20", 170.00, 37.00, 1.00, 0.00, 0.00
21,"Node 21", 178.00, 30.00, 0.00, 0.00, 0.00
22,"Node 22", 160.00, 48.00, 0.00, 0.00, 0.00
23,"Node 23", 131.00, 75.00, 2.00, 0.00, 0.00
24,"Node 24", 181.00, 22.00, 5.00, 0.00, 0.00
25,"Node 25", 195.00, 12.00, 1.00, 0.00, 0.00
26,"Node 26", 152.00, 56.00, 0.00, 0.00, 0.00
27,"Node 27", 141.00, 67.00, 0.00, 0.00, 0.00
28,"Node 28", 173.00, 34.00, 1.00, 0.00, 0.00
29,"Node 29", 159.00, 48.00, 1.00, 0.00, 0.00
30,"Node 30", 162.00, 44.00, 2.00, 0.00, 0.00
31,"Node 31", 162.00, 43.00, 3.00, 0.00, 0.00
32,"Node 32", 154.00, 54.00, 0.00, 0.00, 0.00
33,"Node 33", 167.00, 40.00, 1.00, 0.00, 0.00
34,"Node 34", 134.00, 74.00, 0.00, 0.00, 0.00
35,"Node 35", 175.00, 31.00, 2.00, 0.00, 0.00
36,"Node 36", 154.00, 50.00, 4.00, 0.00, 0.00
37,"Node 37", 161.00, 46.00, 1.00, 0.00, 0.00
38,"Node 38", 165.00, 41.00, 2.00, 0.00, 0.00
