Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
1,"Node 1", 48.00, 2.00, 2.00, 0.00, 0.00
2,"Node 2", 50.00, 0.00, 2.00, 0.00, 0.00
3,"Node 3", 48.00, 0.00, 4.00, 0.00, 0.00
4,"Node 4", 49.00, 0.00, 3.00, 0.00, 0.00
5,"Node 5", 50.00, 2.00, 0.00, 0.00, 0.00
6,"Node 6", 47.00, 4.00, 1.00, 0.00, 0.00
7,"Node 7", 47.00, 4.00, 1.00, 0.00, 0.00
8,"Node 8", 49.00, 1.00, 2.00, 0.00, 0.00
9,"Node 9", 48.00, 3.00, 1.00, 0.00, 0.00
10,"Node 10", 45.00, 5.00, 2.00, 0.00, 0.00
11,"Node 11", 40.00, 12.00, 0.00, 0.00, 0.00
12,"Node 12", 44.00, 6.00, 2.00, 0.00, 0.00
13,"Node 13", 45.00, 6.00, 1.00, 0.00, 0.00
14,"Node 14", 49.00, 1.00, 2.00, 0.00, 0.00
15,"Node 15", 40.00, 10.00, 2.00, 0.00, 0.00
16,"Node 16", 41.00, 9.00, 2.00, 0.00, 0.00
17,"Node 17", 49.00, 3.00, 0.00, 0.00, 0.00
18,"Node 18", 46.00, 5.00, 1.00, 0.00, 0.00
19,"Node 19", 49.00, 3.00, 0.00, 0.00, 0.00
20,"Node 20", 43.00, 6.00, 3.00, 0.00, 0.00
21,"Node 21", 42.00, 9.00, 1.00, 0.00, 0.00
22,"Node 22", 35.00, 16.00, 1.00, 0.00, 0.00
23,"Node 23", 30.00, 22.00, 0.00, 0.00, 0.00
24,"Node 24", 43.00, 8.00, 1.00, 0.00, 0.00
25,"Node 25", 46.00, 5.00, 1.00, 0.00, 0.00
26,"Node 26", 31.00, 19.00, 2.00, 0.00, 0.00
27,"Node 27", 39.00, 12.00, 1.00, 0.00, 0.00
28,"Node 28", 39.00, 11.00, 2.00, 0.00, 0.00
29,"Node 29", 39.00, 12.00, 1.00, 0.00, 0.00
30,"Node 30", 34.00, 15.00, 3.00, 0.00, 0.00
31,"Node 31", 41.00, 11.00, 0.00, 0.00, 0.00
32,"Node 32", 38.00, 12.00, 2.00, 0.00, 0.00
33,"Node 33", 39.00, 11.00, 2.00, 0.00, 0.00
34,"Node 34", 36.00, 15.00, 1.00, 0.00, 0.00
35,"Node 35", 40.00, 9.00, 3.00, 0.00, 0.00
36,"Node 36", 41.00, 10.00, 1.00, 0.00, 0.00
37,"Node 37", 38.00, 13.00, 1.00, 0.00, 0.00
38,"Node 38", 41.00, 10.00, 1.00, 0.00, 0.00
39,"Node 39", 41.00, 9.00, 2.00, 0.00, 0.00
40,"Node 40", 45.00, 3.00, 4.00, 0.00, 0.00
41,"Node 41", 31.00, 21.00, 0.00, 0.00, 0.00
42,"Node 42", 42.00, 8.00, 2.00, 0.00, 0.00
43,"Node 43", 41.00, 7.00, 4.00, 0.00, 0.00
44,"Node 44", 31.00, 20.00, 1.00, 0.00, 0.00
45,"Node 45", 36.00, 12.00, 4.00, 0.00, 0.00
46,"Node 46", 41.00, 10.00, 1.00, 0.00, 0.00
47,"Node 47", 29.00, 23.00, 0.00, 0.00, 0.00
48,"Node 48", 33.00, 18.00, 1.00, 0.00, 0.00
49,"Node 49", 42.00, 10.00, 0.00, 0.00, 0.00
50,"Node 50", 32.00, 20.00, 0.00, 0.00, 0.00
51,"Node 51", 30.00, 19.00, 3.00, 0.00, 0.00
52,"Node 52", 35.00, 16.00, 1.00, 0.00, 0.00
53,"Node 53", 32.00, 18.00, 2.00, 0.00, 0.00
54,"Node 54", 43.00, 8.00, 1.00, 0.00, 0.00
55,"Node 55", 32.00, 18.00, 2.00, 0.00, 0.00
56,"Node 56", 31.00, 20.00, 1.00, 0.00, 0.00
57,"Node 57", 28.00, 24.00, 0.00, 0.00, 0.00
58,"Node 58", 37.00, 13.00, 2.00, 0.00, 0.00
59,"Node 59", 29.00, 22.00, 1.00, 0.00, 0.00
60,"Node 60", 32.00, 20.00, 0.00, 0.00, 0.00
61,"Node 61", 27.00, 24.00, 1.00, 0.00, 0.00
62,"Node 62", 26.00, 26.00, 0.00, 0.00, 0.00
63,"Node 63", 20.00, 32.00, 0.00, 0.00, 0.00
64,"Node 64", 42.00, 8.00, 2.00, 0.00, 0.00
65,"Node 65", 32.00, 20.00, 0.00, 0.00, 0.00
66,"Node 66", 36.00, 16.00, 0.00, 0.00, 0.00
67,"Node 67", 34.00, 15.00, 3.00, 0.00, 0.00
68,"Node 68", 22.00, 30.00, 0.00, 0.00, 0.00
69,"Node 69", 35.00, 16.00, 1.00, 0.00, 0.00
70,"Node 70", 38.00, 11.00, 3.00, 0.00, 0.00
71,"Node 71", 23.00, 29.00, 0.00, 0.00, 0.00
72,"Node 72", 34.00, 16.00, 2.00, 0.00, 0.00
73,"Node 73", 34.00, 17.00, 1.00, 0.00, 0.00
74,"Node 74", 31.00, 20.00, 1.00, 0.00, 0.00
75,"Node 75", 30.00, 22.00, 0.00, 0.00, 0.00
76,"Node 76", 24.00, 28.00, 0.00, 0.00, 0.00
77,"Node 77", 42.00, 9.00, 1.00, 0.00, 0.00
78,"Node 78", 34.00, 17.00, 1.00, 0.00, 0.00
79,"Node 79", 30.00, 22.00, 0.00, 0.00, 0.00
80,"Node 80", 27.00, 25.00, 0.00, 0.00, 0.00
81,"Node 81", 32.00, 18.00, 2.00, 0.00, 0.00
82,"Node 82", 33.00, 18.00, 1.00, 0.00, 0.00
83,"Node 83", 30.00, 21.00, 1.00, 0.00, 0.00
84,"Node 84", 21.00, 30.00, 1.00, 0.00, 0.00
85,"Node 85", 34.00, 16.00, 2.00, 0.00, 0.00
86,"Node 86", 29.00, 22.00, 1.00, 0.00, 0.00
87,"Node 87", 41.00, 10.00, 1.00, 0.00, 0.00
88,"Node 88", 20.00, 32.00, 0.00, 0.00, 0.00
89,"Node 89", 26.00, 23.00, 3.00, 0.00, 0.00
90,"Node 90", 33.00, 19.00, 0.00, 0.00, 0.00
91,"Node 91", 22.00, 30.00, 0.00, 0.00, 0.00
92,"Node 92", 22.00, 29.00, 1.00, 0.00, 0.00
93,"Node 93", 17.00, 31.00, 4.00, 0.00, 0.00
94,"Node 94", 23.00, 29.00, 0.00, 0.00, 0.00
95,"Node 95", 22.00, 27.00, 3.00, 0.00, 0.00
96,"Node 96", 30.00, 21.00, 1.00, 0.00, 0.00
97,"Node 97", 36.00, 14.00, 2.00, 0.00, 0.00
98,"Node 98", 32.00, 17.00, 3.00, 0.00, 0.00
99,"Node 99", 22.00, 30.00, 0.00, 0.00, 0.00
100,"Node 100", 32.00, 19.00, 1.00, 0.00, 0.00
