Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,AgentType
1,"Node 1", 192.00, 0.00, 16.00, 0.00, 0.00,  2
2,"Node 2", 188.00, 0.00, 20.00, 0.00, 0.00,  2
3,"Node 3", 151.00, 0.00, 57.00, 0.00, 0.00,  1
4,"Node 4", 165.00, 0.00, 43.00, 0.00, 0.00,  1
5,"Node 5", 196.00, 0.00, 12.00, 0.00, 0.00,  2
6,"Node 6", 193.00, 0.00, 15.00, 0.00, 0.00,  2
7,"Node 7", 169.00, 0.00, 39.00, 0.00, 0.00,  1
8,"Node 8", 198.00, 0.00, 10.00, 0.00, 0.00,  2
9,"Node 9", 177.00, 0.00, 31.00, 0.00, 0.00,  2
10,"Node 10", 198.00, 0.00, 10.00, 0.00, 0.00,  2
11,"Node 11", 184.00, 0.00, 24.00, 0.00, 0.00,  2
12,"Node 12", 188.00, 0.00, 20.00, 0.00, 0.00,  2
13,"Node 13", 163.00, 0.00, 45.00, 0.00, 0.00,  1
14,"Node 14", 194.00, 0.00, 14.00, 0.00, 0.00,  2
15,"Node 15", 0.00, 0.00, 0.00, 0.00, 0.00,  0
16,"Node 16", 183.00, 0.00, 25.00, 0.00, 0.00,  2
17,"Node 17", 176.00, 12.00, 20.00, 0.00, 0.00,  1
18,"Node 18", 198.00, 0.00, 10.00, 0.00, 0.00,  2
19,"Node 19", 153.00, 0.00, 55.00, 0.00, 0.00,  2
20,"Node 20", 174.00, 0.00, 34.00, 0.00, 0.00,  1
21,"Node 21", 170.00, 0.00, 38.00, 0.00, 0.00,  2
22,"Node 22", 190.00, 0.00, 18.00, 0.00, 0.00,  1
23,"Node 23", 198.00, 2.00, 8.00, 0.00, 0.00,  2
24,"Node 24", 192.00, 0.00, 16.00, 0.00, 0.00,  1
25,"Node 25", 186.00, 4.00, 18.00, 0.00, 0.00,  2
26,"Node 26", 163.00, 0.00, 45.00, 0.00, 0.00,  2
27,"Node 27", 196.00, 0.00, 12.00, 0.00, 0.00,  2
28,"Node 28", 190.00, 0.00, 18.00, 0.00, 0.00,  2
29,"Node 29", 173.00, 0.00, 35.00, 0.00, 0.00,  1
30,"Node 30", 192.00, 0.00, 16.00, 0.00, 0.00,  2
31,"Node 31", 180.00, 4.00, 24.00, 0.00, 0.00,  1
32,"Node 32", 170.00, 0.00, 38.00, 0.00, 0.00,  2
33,"Node 33", 0.00, 0.00, 0.00, 0.00, 0.00,  0
34,"Node 34", 193.00, 0.00, 15.00, 0.00, 0.00,  1
35,"Node 35", 168.00, 5.00, 35.00, 0.00, 0.00,  2
36,"Node 36", 155.00, 0.00, 53.00, 0.00, 0.00,  2
37,"Node 37", 183.00, 0.00, 25.00, 0.00, 0.00,  2
38,"Node 38", 169.00, 13.00, 26.00, 0.00, 0.00,  2
39,"Node 39", 191.00, 0.00, 17.00, 0.00, 0.00,  2
40,"Node 40", 169.00, 0.00, 39.00, 0.00, 0.00,  2
41,"Node 41", 184.00, 0.00, 24.00, 0.00, 0.00,  2
42,"Node 42", 185.00, 0.00, 23.00, 0.00, 0.00,  2
43,"Node 43", 173.00, 9.00, 26.00, 0.00, 0.00,  2
44,"Node 44", 185.00, 2.00, 21.00, 0.00, 0.00,  2
45,"Node 45", 171.00, 7.00, 30.00, 0.00, 0.00,  2
46,"Node 46", 171.00, 0.00, 37.00, 0.00, 0.00,  2
47,"Node 47", 166.00, 0.00, 42.00, 0.00, 0.00,  2
48,"Node 48", 163.00, 3.00, 42.00, 0.00, 0.00,  2
49,"Node 49", 182.00, 0.00, 26.00, 0.00, 0.00,  1
50,"Node 50", 156.00, 17.00, 35.00, 0.00, 0.00,  2
51,"Node 51", 172.00, 9.00, 27.00, 0.00, 0.00,  2
52,"Node 52", 187.00, 3.00, 18.00, 0.00, 0.00,  1
53,"Node 53", 179.00, 2.00, 27.00, 0.00, 0.00,  2
54,"Node 54", 163.00, 8.00, 37.00, 0.00, 0.00,  2
55,"Node 55", 152.00, 0.00, 56.00, 0.00, 0.00,  2
56,"Node 56", 167.00, 9.00, 32.00, 0.00, 0.00,  1
57,"Node 57", 145.00, 12.00, 51.00, 0.00, 0.00,  2
58,"Node 58", 148.00, 29.00, 31.00, 0.00, 0.00,  2
59,"Node 59", 151.00, 23.00, 34.00, 0.00, 0.00,  2
60,"Node 60", 147.00, 0.00, 61.00, 0.00, 0.00,  2
61,"Node 61", 184.00, 0.00, 24.00, 0.00, 0.00,  1
62,"Node 62", 161.00, 0.00, 47.00, 0.00, 0.00,  2
63,"Node 63", 184.00, 0.00, 24.00, 0.00, 0.00,  2
64,"Node 64", 0.00, 0.00, 0.00, 0.00, 0.00,  0
65,"Node 65", 0.00, 0.00, 0.00, 0.00, 0.00,  0
66,"Node 66", 180.00, 0.00, 28.00, 0.00, 0.00,  2
67,"Node 67", 0.00, 0.00, 0.00, 0.00, 0.00,  0
68,"Node 68", 167.00, 0.00, 41.00, 0.00, 0.00,  1
69,"Node 69", 165.00, 0.00, 43.00, 0.00, 0.00,  2
70,"Node 70", 169.00, 3.00, 36.00, 0.00, 0.00,  1
71,"Node 71", 135.00, 41.00, 32.00, 0.00, 0.00,  2
72,"Node 72", 178.00, 0.00, 30.00, 0.00, 0.00,  2
73,"Node 73", 186.00, 5.00, 17.00, 0.00, 0.00,  1
74,"Node 74", 178.00, 7.00, 23.00, 0.00, 0.00,  1
75,"Node 75", 165.00, 0.00, 43.00, 0.00, 0.00,  2
76,"Node 76", 177.00, 0.00, 31.00, 0.00, 0.00,  2
77,"Node 77", 177.00, 6.00, 25.00, 0.00, 0.00,  2
78,"Node 78", 158.00, 6.00, 44.00, 0.00, 0.00,  2
79,"Node 79", 169.00, 10.00, 29.00, 0.00, 0.00,  2
80,"Node 80", 160.00, 22.00, 26.00, 0.00, 0.00,  2
81,"Node 81", 173.00, 2.00, 33.00, 0.00, 0.00,  2
82,"Node 82", 156.00, 9.00, 43.00, 0.00, 0.00,  2
83,"Node 83", 166.00, 13.00, 29.00, 0.00, 0.00,  2
84,"Node 84", 180.00, 5.00, 23.00, 0.00, 0.00,  2
85,"Node 85", 176.00, 0.00, 32.00, 0.00, 0.00,  2
86,"Node 86", 154.00, 13.00, 41.00, 0.00, 0.00,  2
87,"Node 87", 153.00, 0.00, 55.00, 0.00, 0.00,  1
88,"Node 88", 173.00, 14.00, 21.00, 0.00, 0.00,  1
89,"Node 89", 141.00, 0.00, 67.00, 0.00, 0.00,  2
90,"Node 90", 159.00, 0.00, 49.00, 0.00, 0.00,  1
91,"Node 91", 158.00, 8.00, 42.00, 0.00, 0.00,  2
92,"Node 92", 127.00, 34.00, 47.00, 0.00, 0.00,  2
93,"Node 93", 185.00, 3.00, 20.00, 0.00, 0.00,  2
94,"Node 94", 147.00, 5.00, 56.00, 0.00, 0.00,  1
95,"Node 95", 181.00, 0.00, 27.00, 0.00, 0.00,  2
96,"Node 96", 138.00, 26.00, 44.00, 0.00, 0.00,  2
97,"Node 97", 119.00, 35.00, 54.00, 0.00, 0.00,  2
98,"Node 98", 130.00, 27.00, 51.00, 0.00, 0.00,  2
99,"Node 99", 116.00, 49.00, 43.00, 0.00, 0.00,  2
100,"Node 100", 160.00, 0.00, 48.00, 0.00, 0.00,  1
